task_type,m1_1,m2_1,m3_1,m4_1
T2,33.329,65.559,117.366,126.502
T2,38.041,61.418,124.226,135.667
T2,37.314,70.216,125.941,118.294
T1,31.386,53.369,116.634,116.173
T2,34.886,65.755,131.331,133.573
T4,45.765,72.564,151.21,162.674
T3,36.467,77.283,128.904,138.524
T4,40.345,73.173,145.772,162.299
T2,33.045,65.974,124.501,119.505
T2,35.176,68.184,130.381,125.505
T3,38.435,73.987,136.977,148.963
T2,33.967,66.161,134.417,121.722
T1,30.3,53.577,105.394,111.474
T1,31.647,58.937,111.95,110.31
T1,32.87,58.29,113.066,119.581
T4,40.222,77.402,156.353,140.034
T4,40.981,81.254,137.517,151.254
T2,36.476,63.8,124.148,136.478
T4,40.016,75.601,160.067,152.696
T2,35.249,61.663,116.757,132.051
T3,40.079,66.228,135.326,129.41
T3,36.226,67.441,147.888,146.36
T4,43.339,83.695,159.456,145.062
T1,33.015,60.098,101.998,108.148
T3,40.293,71.303,131.425,134.614
T1,31.822,55.566,118.509,106.421
T4,46.129,73.025,154.707,142.956
T3,41.082,68.084,145.54,129.179
T3,38.696,68.413,146.695,138.121
T1,33.452,56.922,113.412,101.778
T2,34.928,64.491,134.188,117.788
T3,41.715,76.731,146.509,141.638
T3,36.856,76.12,144.413,132.146
T2,37.271,69.762,117.728,126.832
T1,33.146,52.486,105.274,101.897
T1,31.178,54.823,106.359,114.091
T3,41.842,65.961,136.004,139.562
T2,37.72,62.964,122.129,120.602
T4,43.252,76.865,148.849,148.912
T4,42.577,84.396,144.464,145.841
T2,33.255,65.99,125.657,135.01
T3,40.941,76.697,127.028,148.88
T4,42.572,73.156,159.759,155.869
T4,42.406,80.703,150.623,150.744
T2,37.036,68.759,127.983,132.052
T4,41.467,72.541,141.498,153.08
T3,37.605,73.475,132.183,139.877
T2,34.197,60.436,120.3,125.251
T3,42.074,68.386,136.437,138.053
T2,38.843,69.534,133.889,130.128
T1,32.108,55.668,108.065,103.226
T4,40.207,73.038,145.021,151.761
T3,41.779,74.089,144.339,136.084
T1,32.023,59.343,101.463,101.192
T2,35.416,65.478,136.4,117.353
T3,36.808,74.231,150.867,129.644
T3,41.346,72.149,150.847,148.748
T4,39.759,74.17,159.335,160.575
T3,41.623,69.486,128.407,134.634
T4,44.931,82.283,159.794,160.484
T4,42.309,82.222,158.621,138.986
T2,32.985,64.043,123.771,122.519
T1,31.333,52.759,119.67,115.073
T1,30.934,61.45,104.241,119.462
T2,36.538,66.286,133.546,117.669
T1,31.694,53.106,109.133,115.326
T2,38.095,70.242,123.032,121.039
T4,39.088,76.129,153.937,160.461
T4,39.85,76.768,156.953,137.778
T4,42.197,75.044,153.611,148.692
T4,42.247,80.727,137.265,155.813
T2,33.754,65.715,127.682,127.176
T3,40.287,66.578,131.948,143.276
T1,28.877,55.927,109.787,119.076
T3,39.156,68.9,136.187,130.227
T2,34.14,61.938,116.038,116.827
T2,35.957,60.517,116.798,119.513
T4,44.029,72.436,154.073,158.115
T3,41.587,73.194,143.318,144.465
T3,40.011,72.389,133.498,131.119
T2,36.453,63.119,127.783,115.904
T2,38.846,67.083,128.31,117.438
T3,40.06,71.465,150.177,145.91
T3,42.718,76.659,150.058,144.343
T3,41.996,78.027,143.43,143.198
T4,40.586,74.83,155.83,156.006
T3,36.754,78.173,129.914,132.125
T3,37.702,75.996,127.629,144.164
T4,39.429,72.894,161.676,146.011
T2,34.181,65.376,118.473,128.083
T3,38.815,71.317,146.008,146.03
