task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T4,0.172,107.77,105.92,1.07,108.1,116.7,104.21,109.79,1.01,114.69,111.04,1.09,106.78,108.49,96.91,106.6,1.18
T1,0.221,113.23,109.18,1.17,101.8,115.88,101.14,106.99,1.01,109.82,114.52,0.99,106.74,110.01,115.15,116.09,1.16
T4,0.278,105.39,112.56,1.0,93.81,100.42,100.21,107.44,1.07,109.65,104.79,1.0,101.35,107.85,96.07,94.9,1.18
T1,0.512,116.82,108.39,1.04,109.98,109.7,116.83,104.25,1.01,110.23,106.78,1.17,108.96,118.8,118.54,102.07,0.99
T4,1.197,102.39,102.32,1.05,109.43,113.45,102.7,109.15,1.02,103.94,106.56,0.93,104.74,116.34,107.73,96.18,1.19
T3,1.232,108.13,101.94,1.15,105.12,98.71,117.77,98.37,0.94,100.85,104.14,1.02,110.97,108.81,118.16,112.41,0.98
T2,1.502,116.48,98.41,1.14,110.77,100.71,95.67,100.82,1.07,104.58,95.76,1.0,112.11,107.61,92.15,104.62,1.04
T1,1.549,114.18,112.36,1.17,110.03,111.74,106.11,103.87,1.12,101.61,106.43,1.02,111.96,118.54,103.25,117.23,1.09
T3,1.552,113.02,108.98,1.02,110.79,97.56,107.53,105.09,0.98,108.03,111.56,0.99,112.93,102.12,113.32,113.5,0.98
T1,1.755,112.7,101.0,1.06,102.94,103.26,107.47,104.83,1.07,107.37,104.86,1.01,104.6,104.54,106.89,109.76,1.0
T1,1.763,108.63,113.53,1.17,103.38,103.75,100.56,101.66,1.1,107.42,106.56,1.09,113.98,116.8,103.79,109.18,1.06
T2,1.972,109.87,103.66,1.07,108.07,113.7,100.59,110.38,1.03,112.42,99.77,1.07,102.27,114.54,105.42,106.76,1.11
T3,2.043,101.96,111.55,0.99,97.39,101.93,106.89,104.37,1.07,107.62,100.33,1.11,111.19,102.71,117.33,104.22,1.07
T4,2.189,111.43,110.65,1.04,109.07,114.28,97.76,100.38,1.17,110.77,102.74,0.93,108.49,112.64,99.93,102.73,1.09
T1,2.259,107.18,104.86,1.06,111.73,107.27,108.92,117.73,1.01,115.68,107.56,1.02,115.56,108.82,109.88,103.07,0.99
T2,2.27,115.58,106.52,1.06,95.93,113.59,95.92,110.74,1.11,103.68,100.92,1.06,105.58,115.03,108.28,112.86,1.05
T3,2.382,112.7,115.84,0.99,101.16,109.36,114.81,95.98,1.04,105.78,107.96,0.98,106.17,94.84,117.43,113.69,1.0
T4,2.778,114.01,105.17,1.03,103.75,115.25,106.39,104.59,1.16,101.06,99.13,1.06,95.5,102.93,106.31,105.7,1.18
T3,3.06,107.63,107.85,1.15,95.24,105.6,104.79,103.75,1.03,115.24,105.55,1.13,109.83,102.76,103.71,106.22,1.03
T1,3.062,117.74,97.12,1.05,106.06,105.0,114.67,107.6,1.06,101.47,99.21,1.17,103.38,102.5,115.45,108.07,1.04
T2,3.273,103.42,97.21,1.07,104.53,106.96,98.74,113.65,1.14,115.09,102.28,1.07,101.08,115.06,102.23,108.82,1.07
T4,3.334,109.17,111.89,0.94,96.52,100.24,101.16,109.18,1.15,100.47,99.7,1.04,108.9,110.18,92.99,104.94,1.13
T2,3.382,111.5,99.79,1.12,111.91,100.28,100.38,105.01,1.09,109.33,92.87,1.13,98.9,116.43,106.54,105.95,1.12
