task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.218,2.435,1.586,3.725,0.719,1.952,1.758,4.275,1.0
2,1.707,1.912,1.791,4.063,0.837,2.479,1.554,3.92,0.819
2,2.49,2.61,2.108,4.871,0.808,1.891,1.596,3.813,0.75
1,2.865,2.521,1.8,3.797,0.82,2.388,1.579,4.052,0.691
1,4.154,2.195,1.41,3.92,0.843,2.428,1.974,4.053,0.687
2,4.411,1.937,2.078,4.032,1.0,2.495,1.66,4.036,0.923
2,4.92,1.888,2.095,3.707,0.838,2.584,1.545,3.632,0.752
1,5.802,2.175,1.803,4.342,0.66,2.309,1.917,3.997,0.744
2,5.87,2.605,1.716,5.03,0.96,2.266,1.773,3.679,0.77
2,7.316,2.404,1.52,4.868,0.808,2.368,2.069,4.062,0.886
2,8.739,2.479,1.588,4.18,0.933,2.181,1.901,4.238,1.005
2,9.06,2.327,2.04,4.842,0.973,2.529,1.613,4.542,0.904
2,10.41,2.39,1.991,4.268,0.994,2.51,1.629,4.803,0.993
1,10.521,2.116,1.775,4.926,0.842,2.455,1.463,3.628,0.688
2,10.704,2.176,2.047,3.983,0.871,2.016,1.946,5.109,0.868
1,10.797,2.491,1.427,3.908,0.618,2.51,1.905,3.8,0.793
2,13.986,2.277,1.598,3.819,0.966,2.263,2.099,4.245,0.799
2,14.531,2.416,1.967,4.446,0.904,2.172,1.72,4.85,0.732
2,14.995,2.364,1.633,3.777,0.867,2.544,1.925,4.37,0.72
1,18.105,1.955,1.651,4.741,0.727,2.284,1.688,4.825,0.617
1,18.22,2.455,1.437,4.39,0.775,2.272,1.454,4.774,0.715
1,18.693,2.259,1.844,3.724,0.772,2.517,1.408,4.774,0.617
1,19.955,2.215,1.623,4.418,0.842,2.477,1.482,3.937,0.675
2,20.631,1.906,1.784,4.999,0.86,2.462,1.867,3.984,0.882
2,22.122,2.252,2.042,4.007,0.957,2.391,1.757,5.001,0.901
1,22.25,2.318,1.755,5.111,0.705,2.571,1.438,4.809,0.611
2,22.406,2.352,1.803,3.63,0.847,2.236,2.089,4.189,0.911
1,22.78,2.497,1.791,3.737,0.723,2.4,1.891,4.567,0.722
2,23.579,2.49,1.97,4.965,0.793,2.15,1.615,4.331,0.847
1,23.95,2.162,1.663,4.634,0.679,1.986,1.611,4.688,0.837
2,25.167,1.976,1.654,3.918,0.748,2.043,1.688,4.384,0.819
1,25.3,1.854,1.783,3.863,0.619,2.245,1.932,4.025,0.753
2,25.686,1.996,1.967,4.331,1.006,2.048,1.539,4.115,0.873
1,26.049,2.348,1.851,3.618,0.689,2.213,1.638,4.916,0.763
1,26.575,2.211,1.906,4.994,0.666,2.009,1.777,4.696,0.691
1,28.22,2.166,1.479,4.714,0.817,2.334,1.82,4.93,0.709
2,28.774,2.295,1.819,4.956,0.911,2.596,2.069,3.777,0.916
2,30.095,2.509,1.68,3.98,0.886,2.169,1.953,4.306,0.91
1,30.393,2.608,1.527,3.605,0.707,2.069,1.955,4.429,0.689
2,30.6,2.37,1.953,4.036,0.96,2.562,1.626,4.37,0.742
2,31.311,2.462,1.556,3.628,0.73,2.09,1.617,4.536,0.838
2,31.427,2.566,2.022,4.235,0.836,2.139,1.95,3.95,0.808
2,33.164,1.877,1.897,3.795,0.916,2.195,1.758,4.533,0.863
2,33.2,2.093,1.656,4.357,0.915,2.136,2.063,4.944,0.947
2,33.69,2.542,1.96,4.589,0.854,2.456,1.984,4.768,0.981
1,34.664,2.287,1.888,4.724,0.837,2.38,1.797,4.051,0.775
1,34.923,2.455,1.623,3.893,0.858,2.11,1.574,3.748,0.711
2,35.118,2.266,1.544,4.56,0.888,1.892,1.527,4.097,0.923
2,35.497,2.319,1.999,4.06,1.014,2.262,1.753,4.743,0.719
1,35.773,2.143,1.583,3.659,0.646,2.458,1.866,3.605,0.722
2,36.579,1.888,1.775,4.902,0.776,1.87,1.716,4.259,0.88
2,38.104,2.059,1.734,4.62,0.799,2.207,2.122,3.886,0.884
2,38.539,1.989,1.687,4.712,0.943,2.562,1.991,3.702,0.959
1,38.724,2.161,1.702,4.731,0.837,1.985,1.627,4.386,0.723
2,39.865,2.544,2.073,4.946,1.009,2.52,1.945,3.978,0.843
2,40.034,2.554,1.989,5.06,0.841,2.115,1.961,4.902,0.806
1,41.154,1.943,1.618,4.76,0.833,2.029,1.854,3.733,0.693
1,42.271,2.382,1.662,4.617,0.642,2.045,1.758,4.263,0.856
2,44.353,2.027,1.917,4.324,0.768,2.34,1.532,4.557,0.89
2,44.566,2.188,1.681,5.046,0.98,2.36,1.861,4.231,0.918
1,45.135,1.879,1.684,3.861,0.796,2.019,1.518,4.28,0.704
1,45.624,2.59,1.402,3.905,0.753,1.921,1.439,4.634,0.791
1,46.322,2.041,1.553,4.441,0.629,2.412,1.616,4.28,0.72
2,46.373,2.635,2.122,3.8,0.855,2.479,1.98,4.112,0.866
2,46.778,2.375,2.124,4.656,1.002,2.056,2.027,5.035,0.89
1,48.798,2.162,1.499,4.001,0.676,1.873,1.638,4.454,0.81
2,48.895,1.93,1.917,4.395,1.003,2.581,1.978,4.587,0.746
1,51.789,1.953,1.955,4.829,0.768,2.388,1.633,5.047,0.676
1,53.803,1.886,1.826,4.677,0.859,2.009,1.762,3.878,0.633
2,54.084,2.197,1.913,4.23,0.88,2.043,1.932,4.846,0.863
2,54.102,1.951,1.615,4.736,0.949,2.514,1.791,4.306,0.83
1,55.078,1.988,1.972,5.055,0.848,2.41,1.911,4.083,0.619
1,56.007,2.032,1.848,4.442,0.863,2.528,1.942,4.407,0.843
2,56.135,2.404,2.087,3.97,0.771,1.88,1.528,3.652,1.006
2,56.614,2.414,1.73,4.072,0.944,2.502,1.88,5.083,0.72
2,57.274,1.92,1.889,4.365,0.988,2.252,1.599,4.656,0.975
2,57.464,2.135,1.887,4.504,0.988,2.629,2.078,4.83,0.775
1,57.502,1.857,1.702,4.62,0.681,2.469,1.838,4.945,0.825
2,57.948,2.394,1.762,3.773,0.995,2.264,1.554,4.542,0.774
2,58.686,2.256,1.613,3.848,0.883,2.011,1.845,5.069,0.863
2,60.619,1.982,1.698,3.74,0.899,2.325,1.927,4.695,0.726
2,62.046,1.879,1.856,5.03,0.789,2.0,1.52,4.768,0.866
2,62.617,2.088,1.894,4.841,0.941,2.474,1.656,3.792,0.722
1,63.806,2.41,1.465,4.674,0.822,2.22,1.948,4.07,0.791
2,63.883,2.549,1.546,4.816,0.958,2.581,1.935,4.743,0.721
1,64.268,2.483,1.44,4.784,0.684,2.608,1.737,4.233,0.627
2,64.769,2.484,1.557,3.82,0.75,2.558,1.702,4.474,0.78
1,64.922,1.972,1.827,3.835,0.738,2.574,1.562,3.904,0.701
2,65.543,2.215,2.078,3.63,0.722,2.548,1.743,3.683,0.918
2,66.033,1.901,1.681,4.97,0.872,2.635,1.72,5.114,0.97
1,66.341,2.155,1.79,4.201,0.83,2.552,1.547,3.997,0.722
1,69.203,2.52,1.607,3.617,0.716,1.868,1.841,4.841,0.65
2,70.249,2.308,1.627,4.344,0.829,2.08,1.526,4.245,0.779
2,71.26,2.269,1.537,5.097,0.74,2.302,1.766,4.196,0.731
1,71.307,1.955,1.927,3.931,0.617,2.037,1.42,4.759,0.848
1,71.364,2.42,1.582,4.25,0.857,2.1,1.626,4.584,0.681
2,72.486,2.631,1.921,3.647,0.727,2.584,2.105,3.992,0.81
2,73.04,2.421,2.101,4.235,0.772,2.04,1.519,3.714,0.799
2,76.096,2.548,1.845,3.768,0.777,2.037,1.58,4.978,0.896
1,76.147,2.497,1.656,4.26,0.754,2.218,1.462,4.508,0.676
2,76.375,2.436,1.809,3.888,0.881,2.301,1.667,4.118,0.73
1,77.502,2.346,1.913,4.775,0.846,2.593,1.809,3.972,0.632
2,78.178,2.548,1.652,3.94,0.821,2.622,1.96,3.878,0.728
1,79.493,2.561,1.86,4.112,0.682,2.319,1.877,4.25,0.689
2,80.61,2.34,1.921,4.674,0.726,2.315,2.108,4.673,0.96
1,80.777,2.069,1.531,3.861,0.855,2.07,1.619,4.08,0.642
2,81.541,2.247,1.975,4.93,1.0,2.225,1.73,4.44,0.869
