task_type,m1_1,m2_1,m3_1,m4_1
T2,0.268,5.062,6.525,8.821
T2,0.306,4.742,6.906,9.46
T2,0.3,5.422,7.002,8.249
T1,0.006,0.094,0.149,0.186
T2,0.28,5.077,7.301,9.314
T4,0.351,5.357,8.037,10.845
T3,0.293,5.962,7.161,9.652
T4,0.31,5.402,7.748,10.82
T2,0.265,5.094,6.921,8.333
T2,0.283,5.265,7.248,8.752
T3,0.308,5.708,7.609,10.379
T2,0.273,5.108,7.473,8.488
T1,0.006,0.095,0.134,0.178
T1,0.006,0.104,0.143,0.176
T1,0.006,0.103,0.144,0.191
T4,0.309,5.714,8.31,9.336
T4,0.315,5.998,7.309,10.084
T2,0.293,4.926,6.902,9.517
T4,0.307,5.581,8.508,10.18
T2,0.283,4.761,6.491,9.208
T3,0.322,5.109,7.517,9.017
T3,0.291,5.203,8.215,10.198
T4,0.333,6.178,8.475,9.671
T1,0.006,0.106,0.13,0.173
T3,0.323,5.501,7.301,9.379
T1,0.006,0.098,0.151,0.17
T4,0.354,5.391,8.223,9.53
T3,0.33,5.253,8.085,9.001
T3,0.311,5.278,8.149,9.624
T1,0.006,0.101,0.145,0.163
T2,0.281,4.979,7.46,8.214
T3,0.335,5.92,8.139,9.869
T3,0.296,5.873,8.022,9.207
T2,0.299,5.386,6.545,8.844
T1,0.006,0.093,0.134,0.163
T1,0.006,0.097,0.136,0.182
T3,0.336,5.089,7.555,9.724
T2,0.303,4.862,6.79,8.41
T4,0.332,5.674,7.911,9.927
T4,0.327,6.23,7.678,9.723
T2,0.267,5.095,6.986,9.414
T3,0.329,5.917,7.056,10.373
T4,0.327,5.4,8.491,10.391
T4,0.326,5.957,8.006,10.05
T2,0.297,5.309,7.115,9.208
T4,0.318,5.355,7.521,10.205
T3,0.302,5.669,7.343,9.746
T2,0.275,4.666,6.688,8.734
T3,0.338,5.276,7.579,9.619
T2,0.312,5.369,7.443,9.074
T1,0.006,0.099,0.138,0.165
T4,0.309,5.392,7.708,10.117
T3,0.335,5.716,8.018,9.482
T1,0.006,0.105,0.129,0.162
T2,0.284,5.056,7.583,8.183
T3,0.295,5.727,8.381,9.033
T3,0.332,5.566,8.38,10.364
T4,0.305,5.475,8.469,10.705
T3,0.334,5.361,7.133,9.381
T4,0.345,6.074,8.493,10.699
T4,0.325,6.07,8.431,9.266
T2,0.265,4.945,6.881,8.543
T1,0.006,0.093,0.153,0.184
T1,0.006,0.109,0.133,0.191
T2,0.293,5.118,7.424,8.205
T1,0.006,0.094,0.139,0.184
T2,0.306,5.424,6.84,8.44
T4,0.3,5.62,8.182,10.697
T4,0.306,5.667,8.342,9.185
T4,0.324,5.54,8.165,9.913
T4,0.324,5.959,7.296,10.388
T2,0.271,5.074,7.098,8.868
T3,0.323,5.136,7.33,9.983
T1,0.005,0.099,0.14,0.19
T3,0.314,5.316,7.565,9.074
T2,0.274,4.782,6.451,8.146
T2,0.289,4.673,6.493,8.334
T4,0.338,5.347,8.189,10.541
T3,0.334,5.647,7.961,10.066
T3,0.321,5.585,7.416,9.136
T2,0.293,4.874,7.104,8.082
T2,0.312,5.18,7.133,8.189
T3,0.322,5.514,8.342,10.166
T3,0.343,5.914,8.336,10.057
T3,0.337,6.02,7.968,9.977
T4,0.312,5.524,8.282,10.4
T3,0.295,6.031,7.217,9.206
T3,0.303,5.863,7.09,10.045
T4,0.303,5.381,8.593,9.734
T2,0.275,5.048,6.586,8.931
T3,0.312,5.502,8.111,10.175
T3,0.335,5.32,8.015,10.387
T1,0.006,0.093,0.141,0.167
T4,0.353,5.834,8.206,10.714
T1,0.005,0.095,0.143,0.176
T4,0.346,5.813,7.504,10.275
T4,0.329,5.334,7.387,10.844
T3,0.293,5.093,7.408,9.394
T4,0.349,5.881,7.512,10.801
T3,0.314,5.819,8.267,9.861
T2,0.312,5.063,6.483,8.6
T3,0.323,5.887,8.082,9.714
T3,0.293,5.639,8.026,9.473
T2,0.298,5.409,7.185,9.189
T2,0.29,5.474,6.951,8.615
T3,0.313,5.847,8.372,10.36
T1,0.006,0.106,0.144,0.187
T2,0.298,5.469,6.652,8.54
T2,0.281,5.396,7.127,8.038
T2,0.28,5.054,6.558,9.35
T3,0.316,5.487,7.088,10.208
T4,0.333,5.261,7.797,9.55
T1,0.006,0.105,0.146,0.191
T1,0.006,0.11,0.148,0.164
T2,0.308,5.276,6.866,8.368
T3,0.312,5.746,8.275,10.248
T2,0.271,4.979,7.074,8.984
T4,0.311,5.901,7.298,10.241
T2,0.286,5.109,6.447,8.893
T1,0.005,0.105,0.143,0.187
T3,0.312,5.628,7.204,10.437
T1,0.006,0.1,0.152,0.184
T1,0.005,0.093,0.134,0.185
T2,0.276,5.302,6.964,8.147
T1,0.005,0.108,0.139,0.165
T1,0.006,0.098,0.143,0.163
T1,0.005,0.094,0.139,0.184
T4,0.346,5.363,7.412,10.13
T4,0.302,5.837,7.922,9.174
T1,0.006,0.093,0.148,0.169
T4,0.355,6.019,7.518,9.521
T1,0.006,0.1,0.142,0.179
T1,0.006,0.103,0.145,0.186
T1,0.006,0.096,0.139,0.19
T4,0.326,5.984,7.566,10.12
T2,0.303,4.642,7.113,9.224
T1,0.006,0.093,0.151,0.192
T1,0.006,0.096,0.129,0.177
T3,0.332,5.107,8.19,10.186
T1,0.006,0.103,0.151,0.177
T2,0.277,5.243,7.182,9.141
T1,0.005,0.098,0.13,0.179
T1,0.005,0.108,0.135,0.188
T4,0.302,5.755,8.592,10.802
T4,0.347,5.492,8.272,9.886
T3,0.314,5.81,8.167,8.898
T2,0.267,4.848,6.415,9.268
T1,0.006,0.095,0.149,0.182
T1,0.005,0.098,0.136,0.18
T2,0.287,5.452,6.717,8.331
