task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
4,0.027,1.795,1.726,4.896,0.972,2.076,1.825,3.934,0.866
2,0.028,2.549,1.807,4.568,0.929,2.554,2.059,4.894,0.797
3,0.078,1.747,1.481,5.508,0.954,2.132,1.729,4.728,0.987
4,0.161,2.007,1.593,4.877,1.019,2.113,1.522,4.227,0.798
3,0.187,1.873,1.52,5.357,0.793,2.367,1.405,5.897,0.866
4,0.23,2.163,1.52,3.975,0.83,2.408,1.562,4.175,1.022
4,0.236,2.286,1.476,4.865,0.933,2.155,1.514,5.081,0.922
2,0.256,2.045,1.979,3.756,0.792,2.554,1.755,3.948,0.818
3,0.306,1.851,1.34,4.309,0.733,2.311,1.675,5.777,0.867
4,0.492,1.878,1.746,4.973,1.062,1.938,1.373,4.771,0.972
4,0.507,2.215,1.859,3.766,1.029,2.3,1.694,4.975,1.008
4,0.594,1.756,1.365,4.518,0.888,1.9,1.848,3.929,0.867
2,0.704,2.534,1.595,3.898,0.924,2.115,1.788,3.876,0.738
1,0.723,2.466,1.862,4.45,0.848,2.032,1.463,3.871,0.835
1,0.784,2.526,1.562,3.664,0.766,1.856,1.987,4.115,0.753
4,0.837,2.19,1.896,3.877,0.883,2.454,1.52,4.205,1.043
1,0.853,2.54,1.682,4.677,0.776,2.447,1.879,5.086,0.836
4,0.921,2.077,1.353,3.713,0.904,2.309,1.77,3.934,0.982
2,0.966,2.265,1.546,3.707,0.949,2.115,1.964,4.936,0.999
4,0.969,2.263,1.745,3.682,0.983,1.91,1.713,4.255,0.823
3,1.069,1.83,1.401,5.638,0.793,1.829,1.38,4.309,0.75
4,1.152,1.935,1.358,4.576,0.846,1.916,1.851,4.341,1.042
4,1.159,1.803,1.862,3.937,1.029,1.854,1.459,5.013,0.998
1,1.185,2.186,1.905,3.676,0.806,2.023,1.441,3.997,0.667
3,1.252,1.724,1.607,5.095,0.914,1.951,1.72,4.419,0.922
2,1.255,2.072,1.689,4.444,0.833,2.563,1.52,3.911,0.92
1,1.272,2.161,1.708,4.263,0.841,2.12,1.88,4.517,0.634
2,1.307,2.61,1.864,4.007,0.881,2.256,1.725,4.469,0.928
4,1.329,1.749,1.427,4.472,1.04,1.806,1.822,3.696,0.874
1,1.341,2.341,1.939,4.298,0.641,2.209,1.496,4.912,0.751
4,1.345,2.027,1.75,4.185,0.785,1.851,1.381,3.748,0.88
2,1.349,2.092,1.928,4.465,0.883,2.466,2.032,4.106,0.81
2,1.361,1.951,1.789,3.834,0.895,2.252,1.622,5.076,0.775
2,1.423,1.897,1.917,4.721,0.886,2.295,1.575,4.613,0.817
2,1.469,2.15,1.869,5.073,0.83,2.481,1.937,4.289,0.74
3,1.526,2.095,1.285,4.367,0.876,2.397,1.451,5.016,1.009
4,1.657,2.07,1.478,4.908,0.799,2.259,1.361,4.7,1.009
3,1.688,2.149,1.6,5.209,0.724,2.266,1.275,5.414,0.753
1,1.821,1.913,1.538,4.741,0.772,2.177,1.807,4.35,0.612
2,2.032,2.381,1.585,4.645,0.737,1.94,1.925,3.743,0.737
4,2.089,2.075,1.648,4.208,1.063,1.896,1.722,4.639,0.777
2,2.109,2.257,2.141,5.003,0.839,2.51,1.912,4.555,0.736
3,2.135,2.174,1.362,5.978,0.886,1.901,1.341,4.637,0.72
3,2.149,2.007,1.467,5.944,0.96,2.354,1.374,4.75,0.731
1,2.173,2.49,1.425,3.61,0.675,2.521,1.982,4.666,0.827
