task_type,m1_1,m2_1,m3_1,m4_1
T2,1.358,4.578,24.097,25.972
T2,1.55,4.289,25.505,27.854
T2,1.52,4.903,25.857,24.287
T1,1.023,2.983,19.169,19.093
T2,1.421,4.592,26.964,27.424
T4,3.027,8.227,50.403,54.225
T3,1.872,6.802,33.354,35.843
T4,2.668,8.296,48.591,54.1
T2,1.346,4.607,25.561,24.536
T2,1.433,4.761,26.769,25.768
T3,1.973,6.511,35.443,38.544
T2,1.384,4.62,27.597,24.991
T1,0.988,2.995,17.322,18.321
T1,1.032,3.295,18.399,18.13
T1,1.072,3.258,18.583,19.653
T4,2.66,8.776,52.118,46.678
T4,2.71,9.212,45.839,50.418
T2,1.486,4.455,25.489,28.021
T4,2.647,8.571,53.356,50.899
T2,1.436,4.306,23.972,27.112
T3,2.058,5.829,35.015,33.485
T3,1.86,5.935,38.266,37.87
T4,2.866,9.489,53.152,48.354
T1,1.077,3.36,16.764,17.774
T3,2.069,6.275,34.006,34.831
T1,1.038,3.106,19.477,17.49
T4,3.051,8.279,51.569,47.652
T3,2.109,5.992,37.658,33.425
T3,1.987,6.021,37.957,35.739
T1,1.091,3.182,18.639,16.727
T2,1.423,4.504,27.55,24.183
T3,2.142,6.753,37.909,36.648
T3,1.892,6.699,37.366,34.192
T2,1.518,4.872,24.171,26.04
T1,1.081,2.934,17.302,16.747
T1,1.017,3.065,17.48,18.751
T3,2.148,5.805,35.191,36.111
T2,1.537,4.397,25.074,24.761
T4,2.861,8.715,49.616,49.637
T4,2.816,9.569,48.155,48.614
T2,1.355,4.608,25.799,27.719
T3,2.102,6.75,32.868,38.522
T4,2.816,8.294,53.253,51.956
T4,2.805,9.15,50.208,50.248
T2,1.509,4.802,26.276,27.112
T4,2.743,8.224,47.166,51.027
T3,1.931,6.466,34.202,36.193
T2,1.393,4.22,24.699,25.715
T3,2.16,6.019,35.303,35.721
T2,1.582,4.856,27.489,26.717
T1,1.047,3.112,17.761,16.965
T4,2.659,8.281,48.34,50.587
T3,2.145,6.52,37.347,35.211
T1,1.044,3.317,16.676,16.631
T2,1.443,4.573,28.005,24.094
T3,1.89,6.533,39.036,33.545
T3,2.123,6.35,39.031,38.488
T4,2.63,8.409,53.112,53.525
T3,2.137,6.115,33.225,34.836
T4,2.972,9.329,53.265,53.495
T4,2.798,9.322,52.874,46.329
T2,1.344,4.472,25.411,25.155
T1,1.022,2.949,19.668,18.912
T1,1.009,3.435,17.132,19.634
T2,1.489,4.629,27.419,24.159
T1,1.034,2.969,17.936,18.954
T2,1.552,4.905,25.26,24.851
T4,2.585,8.631,51.312,53.487
T4,2.636,8.704,52.318,45.926
T4,2.791,8.508,51.204,49.564
T4,2.794,9.153,45.755,51.938
T2,1.375,4.589,26.215,26.111
T3,2.068,5.859,34.141,37.072
T1,0.942,3.126,18.044,19.57
T3,2.01,6.064,35.238,33.696
T2,1.391,4.325,23.824,23.986
T2,1.465,4.226,23.98,24.537
T4,2.912,8.213,51.358,52.705
T3,2.135,6.442,37.083,37.38
T3,2.054,6.371,34.542,33.927
T2,1.485,4.408,26.235,23.796
T2,1.583,4.685,26.344,24.111
T3,2.057,6.29,38.858,37.754
T3,2.193,6.747,38.827,37.348
T3,2.156,6.867,37.112,37.052
T4,2.684,8.484,51.943,52.002
T3,1.887,6.88,33.615,34.187
T3,1.936,6.688,33.024,37.302
T4,2.608,8.264,53.892,48.67
T2,1.392,4.565,24.324,26.297
T3,1.993,6.276,37.779,37.785
T3,2.143,6.068,37.333,38.572
T1,1.01,2.948,18.151,17.218
T4,3.037,8.961,51.464,53.569
T1,0.958,2.985,18.42,18.096
T4,2.982,8.928,47.058,51.376
T4,2.833,8.193,46.329,54.22
T3,1.876,5.81,34.504,34.884
T4,3.006,9.033,47.113,54.005
T3,2.01,6.638,38.509,36.619
T2,1.582,4.579,23.942,25.322
T3,2.067,6.716,37.645,36.073
T3,1.874,6.432,37.383,35.178
T2,1.514,4.892,26.535,27.056
T2,1.471,4.951,25.671,25.364
T3,2.0,6.67,38.997,38.472
T1,1.068,3.336,18.631,19.251
T2,1.513,4.946,24.565,25.146
T2,1.425,4.88,26.322,23.667
T2,1.422,4.571,24.221,27.529
T3,2.024,6.259,33.013,37.909
T4,2.865,8.081,48.901,47.749
T1,1.076,3.302,18.794,19.642
T1,1.019,3.477,19.111,16.893
T2,1.563,4.771,25.355,24.637
T3,1.995,6.555,38.543,38.055
T2,1.372,4.503,26.124,26.452
T4,2.682,9.063,45.772,51.207
T2,1.45,4.62,23.809,26.183
T1,0.956,3.313,18.405,19.2
T3,1.994,6.421,33.555,38.757
T1,1.051,3.151,19.586,18.944
T1,0.968,2.934,17.237,19.056
T2,1.398,4.795,25.72,23.987
T1,0.948,3.411,17.868,16.951
T1,1.091,3.083,18.389,16.787
T1,0.958,2.961,17.89,18.895
T4,2.982,8.238,46.485,50.648
T4,2.599,8.966,49.686,45.871
T1,1.065,2.939,19.066,17.365
T4,3.054,9.244,47.151,47.604
T1,1.002,3.151,18.336,18.44
T1,0.997,3.247,18.755,19.14
T1,0.995,3.019,17.934,19.576
T4,2.806,9.191,47.448,50.601
T2,1.536,4.198,26.268,27.157
T1,1.01,2.939,19.495,19.708
T1,1.086,3.044,16.604,18.177
T3,2.122,5.825,38.15,37.828
T1,1.004,3.244,19.42,18.207
T2,1.404,4.742,26.525,26.915
T1,0.969,3.085,16.789,18.361
T1,0.96,3.395,17.406,19.372
T4,2.6,8.839,53.887,54.008
T4,2.99,8.436,51.878,49.43
T3,2.009,6.627,38.043,33.042
T2,1.354,4.385,23.691,27.287
T1,1.099,2.995,19.153,18.735
T1,0.966,3.101,17.547,18.484
T2,1.456,4.931,24.807,24.528
T4,2.738,8.201,47.349,50.563
T3,2.055,6.171,35.494,35.529
T3,1.983,6.768,39.005,35.498
T2,1.483,4.629,26.005,27.465
T1,0.958,3.147,16.574,19.071
T2,1.504,4.333,25.2,26.632
T3,1.873,6.421,33.493,33.515
T2,1.377,4.266,26.484,26.189
T2,1.558,4.298,25.408,24.545
T3,1.894,5.946,35.741,33.687
T2,1.39,4.284,25.513,24.946
T4,2.913,8.116,47.305,46.25
