task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
2,0.404,0.979,1.094,112.202,107.668,101.078,102.476,103.851,1.0,0.99,104.031,100.78,101.995,99.074,104.631
3,1.003,110.0,0.975,101.138,97.671,111.422,98.839,108.317,99.801,1.037,95.195,93.476,106.098,102.562,104.048
2,1.826,0.99,0.963,100.102,103.913,102.993,111.124,113.504,0.964,0.969,103.304,108.885,100.433,107.61,104.507
4,1.928,100.129,115.049,117.22,11.512,96.209,0.983,100.803,104.896,114.747,105.451,10.282,94.196,1.007,102.169
4,3.214,102.361,107.975,112.533,10.011,97.695,1.022,93.528,105.226,106.618,117.979,11.233,101.749,1.063,98.014
1,3.889,1.031,113.248,98.524,1.014,107.913,10.383,110.949,0.96,113.917,105.7,1.059,117.284,9.465,110.698
4,3.962,100.276,110.072,114.255,10.318,104.651,1.073,107.148,101.582,107.634,109.906,10.529,101.955,1.021,97.312
4,5.394,96.599,108.737,106.316,10.834,109.045,1.032,97.287,98.967,108.829,115.203,11.436,108.61,1.069,96.688
3,5.503,105.931,0.952,107.922,99.563,101.546,102.689,104.629,114.337,0.954,92.721,102.632,104.174,97.596,96.397
2,5.896,1.042,1.002,110.395,111.509,107.413,112.828,115.351,1.101,0.954,112.684,103.525,112.652,113.975,106.147
4,5.9,94.401,102.682,118.372,10.074,111.221,1.016,92.85,110.906,102.524,117.723,10.22,109.692,1.066,100.609
1,6.109,0.975,100.105,110.972,1.047,117.088,10.687,101.155,1.016,108.527,115.587,1.015,113.131,9.838,107.559
2,7.119,0.997,1.086,116.316,115.223,110.968,101.118,103.215,1.052,0.949,104.395,98.681,99.835,107.032,106.201
1,7.296,0.95,101.195,105.243,1.128,109.345,10.872,111.747,0.991,101.708,101.761,1.061,109.469,10.657,100.544
3,7.416,114.398,0.988,96.351,96.69,106.259,98.96,105.0,105.596,0.947,105.063,102.599,105.084,93.395,101.015
4,7.563,94.317,103.778,114.817,11.545,106.118,0.955,103.105,109.284,117.389,105.445,11.075,106.404,1.105,99.35
2,8.137,1.002,1.009,104.228,110.667,102.511,106.927,105.816,0.959,1.044,115.08,105.199,97.792,106.734,115.186
4,8.509,109.078,102.223,115.518,9.804,111.42,1.077,100.029,110.346,116.45,111.363,11.128,104.979,1.052,99.227
3,9.605,100.947,0.953,100.381,109.867,96.547,105.014,103.587,101.334,1.049,102.693,96.367,109.064,95.772,106.788
2,10.077,1.001,0.966,107.776,100.077,111.24,114.824,110.616,1.093,0.969,110.903,113.032,105.306,106.495,105.678
1,10.295,0.962,104.657,105.7,1.114,114.385,9.593,98.299,1.093,110.107,100.643,1.041,114.385,10.794,105.073
1,10.535,1.048,107.928,105.867,1.054,103.403,10.116,97.18,0.958,99.802,98.082,0.99,115.795,10.046,101.772
3,10.579,109.339,0.936,104.782,94.253,111.344,95.849,109.321,101.38,1.052,102.406,95.131,98.125,96.083,105.972
1,11.107,0.949,101.256,113.407,1.159,102.817,9.309,108.031,1.055,100.251,114.747,1.054,113.854,10.087,102.409
3,11.605,103.737,1.089,106.189,109.517,107.231,93.728,108.205,101.896,0.94,96.037,101.671,100.837,109.668,94.908
2,11.786,1.03,1.084,106.539,110.606,113.933,102.378,112.346,0.947,1.057,114.42,99.904,103.81,101.525,98.575
3,11.938,99.851,0.988,92.808,106.216,109.247,101.463,97.634,101.541,0.947,104.354,101.668,101.323,100.741,101.234
1,11.945,1.099,104.521,113.98,1.134,102.129,10.774,105.359,1.043,100.149,103.484,1.017,115.297,10.941,108.058
2,12.55,1.073,1.106,101.874,107.068,103.507,113.761,107.62,1.09,1.086,105.152,102.802,99.347,100.014,112.539
2,12.749,0.968,0.991,109.65,100.045,99.559,114.098,108.115,0.943,1.096,104.205,114.745,98.065,105.157,106.72
2,13.163,0.936,1.08,109.34,115.47,101.463,114.402,115.144,0.979,1.034,110.547,102.437,103.947,111.887,114.454
4,13.199,105.46,117.136,117.9,11.265,94.107,1.024,92.52,108.319,105.538,115.888,10.825,98.155,1.026,108.282
2,13.44,0.974,1.092,109.403,100.207,104.959,100.014,114.782,1.092,1.02,110.087,108.505,109.466,97.579,102.44
3,14.065,98.446,0.975,102.541,100.176,100.635,101.451,102.545,114.6,1.055,105.234,104.576,103.583,108.352,106.787
3,14.23,101.863,1.068,102.97,108.746,101.652,98.586,101.875,102.189,0.988,106.609,110.886,101.539,104.198,99.606
1,15.367,1.094,110.637,110.007,1.11,103.371,10.6,95.538,0.97,111.311,102.916,1.126,107.328,10.45,112.754
3,15.876,107.816,1.044,104.682,98.787,109.668,95.763,103.269,99.121,0.948,99.763,102.769,98.794,103.404,109.384
3,17.238,114.853,1.074,96.748,98.336,110.053,98.851,108.936,104.489,1.086,106.883,109.139,98.794,106.288,99.308
4,17.73,98.575,108.999,115.694,10.777,102.584,1.041,103.288,110.941,101.744,109.056,11.536,93.999,0.983,103.333
1,17.811,0.936,111.296,105.7,1.138,99.769,9.398,101.485,0.979,111.971,99.676,1.143,111.701,10.446,107.445
2,18.15,1.071,0.987,115.577,115.18,107.147,104.222,104.328,0.943,1.08,109.019,107.645,109.141,104.957,112.089
3,18.495,108.188,0.98,101.665,97.19,100.241,94.212,106.218,104.493,0.931,105.608,99.652,105.125,93.198,97.531
1,18.994,0.944,104.106,103.973,1.059,99.091,10.732,108.167,1.097,109.258,102.347,1.057,100.28,10.188,102.287
1,19.265,0.978,104.11,99.489,1.074,103.86,9.791,104.882,1.005,99.237,111.275,1.087,111.13,9.674,107.208
4,19.416,97.844,107.421,104.465,11.328,99.501,1.065,101.582,97.246,107.934,107.32,10.378,98.436,1.1,109.832
1,19.679,1.041,97.499,114.382,1.043,101.731,10.358,108.769,1.016,112.221,109.328,1.096,108.52,10.687,101.233
2,19.954,1.073,0.973,105.227,109.221,99.631,99.662,106.767,0.98,0.986,104.614,107.25,108.699,113.522,110.517
3,19.992,105.175,1.046,103.162,106.83,95.922,92.238,106.843,98.094,1.003,104.263,110.736,101.323,109.065,101.836
1,20.032,0.979,99.934,105.191,1.097,114.09,10.981,107.974,0.989,103.445,102.122,0.998,112.826,10.433,102.743
3,20.358,114.25,1.077,102.749,109.069,98.242,101.977,104.827,108.303,1.101,102.842,105.176,100.887,106.883,102.835
3,20.546,105.804,1.102,108.663,104.047,97.716,102.483,109.07,103.759,1.041,100.501,102.029,111.746,97.172,98.358
1,20.624,1.09,108.726,103.354,1.094,99.282,10.718,109.339,1.089,105.22,110.201,1.107,103.325,9.703,101.702
2,20.766,0.983,1.079,116.873,104.397,104.719,106.025,106.867,1.024,1.108,114.392,114.898,111.658,97.949,113.212
4,21.0,98.419,113.736,105.251,10.633,96.444,0.983,93.878,108.527,108.823,105.238,10.315,106.22,1.029,107.478
3,21.367,113.238,0.979,96.731,102.146,101.838,109.154,104.276,105.543,1.081,99.915,96.643,99.652,109.434,102.424
1,21.577,0.944,97.792,115.052,1.011,104.086,10.865,106.714,1.033,107.099,101.174,1.041,110.535,10.201,96.679
1,21.925,1.07,112.75,101.954,1.127,103.947,9.468,102.263,1.006,98.876,109.365,1.027,115.12,10.88,101.048
3,22.295,113.828,1.046,92.808,102.69,97.764,106.109,99.791,113.267,0.975,94.674,106.721,107.516,96.488,94.406
4,22.358,106.162,108.09,111.885,10.808,106.228,1.055,104.664,101.207,111.384,102.731,10.125,94.597,1.068,100.215
4,22.842,95.157,101.864,113.116,10.565,96.444,1.017,95.246,108.597,112.678,107.823,10.441,95.219,1.059,101.754
4,23.569,98.062,115.669,104.838,11.411,98.436,1.052,96.912,101.849,114.268,114.994,10.011,96.835,1.075,93.367
2,23.763,1.073,0.94,105.043,107.876,98.781,113.535,115.5,0.949,1.08,100.796,104.813,105.753,103.912,105.754
1,23.87,0.984,104.903,102.003,1.034,112.216,10.008,112.893,0.967,108.262,100.208,1.084,116.335,9.466,106.278
2,24.642,1.044,1.049,104.249,114.673,106.177,100.438,115.193,1.089,0.948,113.97,99.379,103.497,100.818,113.21
2,24.661,1.003,0.944,111.686,110.621,104.439,102.149,113.978,1.082,1.022,102.56,100.675,106.161,98.655,101.224
3,25.018,106.48,1.015,93.114,108.913,101.038,98.96,99.287,110.184,0.996,99.301,104.022,106.098,100.221,106.91
3,25.139,99.067,0.962,100.764,96.794,102.159,99.909,104.354,107.563,0.954,104.084,106.845,96.476,105.349,107.727
3,25.547,112.084,1.019,101.459,110.64,99.586,105.288,99.019,102.477,0.931,100.982,108.253,97.263,96.207,104.52
3,25.593,101.581,0.954,93.149,100.459,107.674,103.894,98.414,107.87,0.985,99.33,107.459,104.476,103.302,104.97
3,27.234,104.394,1.067,95.259,103.639,104.697,104.166,98.156,103.867,1.078,93.808,103.13,99.477,106.288,102.091
2,27.952,1.0,1.062,117.51,107.847,100.175,115.129,115.376,1.107,1.086,105.363,101.495,102.873,109.814,113.234
2,28.262,1.016,1.081,106.151,105.057,98.066,112.239,106.469,1.0,1.103,106.94,103.501,97.73,111.118,108.663
1,28.534,0.945,96.208,113.805,1.133,105.572,10.992,108.67,0.993,103.74,113.386,1.137,116.269,9.918,107.818
1,28.678,0.982,105.557,109.349,1.11,100.901,10.78,105.611,1.004,103.637,98.128,1.097,109.382,9.785,95.486
3,28.761,104.363,1.028,105.154,104.726,109.298,98.031,105.148,114.126,1.089,105.015,95.582,102.557,104.748,106.071
4,28.767,100.003,105.369,100.41,10.608,109.348,1.011,101.529,94.713,115.071,104.666,10.684,106.055,1.026,102.168
1,28.799,0.971,104.294,109.144,1.065,106.225,10.299,96.324,0.93,105.081,101.618,1.06,102.625,10.289,99.854
1,28.885,1.094,102.105,98.969,1.058,100.623,10.957,102.477,1.068,107.224,100.927,1.151,110.946,10.836,96.148
