task_type,arrival_time
T2,0.74
T3,0.916
T3,3.156
T1,4.704
T1,6.661
T2,7.186
T3,8.011
T3,8.818
T1,9.976
T2,10.012
T4,10.753
T3,12.904
T4,13.097
T2,15.704
T4,15.964
T4,18.16
T1,21.154
T1,21.182
T1,21.96
T2,22.531
T4,23.177
T3,28.144
T1,28.626
T2,29.414
T4,30.374
T3,31.01
T4,31.546
T3,31.822
T4,34.53
T4,36.694
T1,39.113
T1,39.995
T4,44.638
T1,45.13
T2,48.022
T2,54.106
T2,58.422
T1,58.446
T2,58.963
T1,59.854
T4,60.931
T1,61.084
T1,61.773
T2,61.904
T1,63.261
T2,63.962
T2,64.835
T2,64.896
T2,68.091
T3,71.933
T2,72.162
T2,72.291
T4,72.563
T4,75.661
T4,76.001
T4,76.48
T2,77.211
T2,77.695
T3,80.776
T2,80.837
T2,83.1
T1,86.334
T3,88.634
T3,88.827
T4,91.564
T2,91.932
T4,96.192
T1,96.352
T2,97.445
T1,97.484
T3,98.802
T3,99.119
T4,99.966
T2,100.686
T4,101.657
T2,103.135
T2,103.287
T2,103.85
T3,104.2
T4,105.511
T3,106.688
T1,107.648
T3,108.162
T1,109.57
T4,112.235
T1,112.96
T2,115.398
T3,116.83
T2,119.451
T2,121.174
T2,129.769
T1,129.844
T2,134.431
T3,134.541
T4,135.12
T2,137.354
T1,140.055
T3,141.888
T1,142.513
T2,143.552
T1,143.67
T2,144.682
T1,146.469
T1,146.503
T1,148.249
T2,152.092
T2,152.339
T4,156.308
T1,157.777
T2,157.835
T1,157.869
T3,157.986
T2,159.199
T4,160.762
T2,160.917
T3,161.453
T1,163.349
T2,163.973
T3,167.369
T1,168.904
T1,169.571
T2,171.481
T1,172.458
T1,172.681
T4,173.927
T3,173.972
T3,174.462
T3,174.878
T3,178.841
T2,180.915
T4,184.293
T1,185.947
T3,191.832
T4,193.823
T2,194.43
T2,195.925
T2,196.004
T4,198.837
T3,201.523
T2,204.587
T4,204.768
T2,205.797
T4,207.81
T3,209.631
T1,209.702
T1,210.073
T3,211.219
T4,212.904
T2,215.263
T4,219.155
T4,220.3
T1,223.347
T4,223.942
T3,228.248
T1,228.507
T2,233.329
T2,233.352
T4,235.844
T1,236.647
T4,239.46
T1,242.616
T3,243.622
T2,247.065
T3,247.542
T1,247.847
T1,247.971
T1,249.386
T4,250.642
T4,251.1
T1,254.106
T3,258.433
T3,259.135
T2,260.116
T1,262.901
T3,263.622
T3,264.567
T1,264.633
T3,264.7
T1,266.653
T3,267.377
T3,277.468
T1,278.133
T4,279.585
T4,280.774
T2,286.145
T4,286.747
T4,287.929
T3,289.388
T4,289.87
T3,292.957
T4,293.543
T3,293.618
T2,297.894
T2,299.95
T1,300.267
T4,301.856
T3,306.058
T3,308.155
T4,309.692
T1,313.237
T2,313.341
T4,314.942
T4,315.352
T1,315.91
T4,315.917
T4,316.46
T2,317.345
T3,317.909
T3,318.872
T3,319.921
T3,320.339
T1,321.391
T2,321.402
T1,324.02
T4,324.885
T1,326.514
T4,327.359
T1,327.691
T1,329.32
T3,329.396
T4,329.485
T1,329.595
T4,331.642
T1,333.819
T2,335.6
T1,336.651
T1,342.042
T3,344.322
T2,344.499
T1,348.007
T1,348.93
T2,351.002
T3,351.78
T2,354.075
T3,354.773
T4,356.736
T3,360.536
T4,361.246
T3,361.428
T4,364.779
T2,365.02
T1,365.224
T2,368.137
T3,368.45
T2,368.551
T3,369.138
T4,373.572
T2,374.588
T2,375.706
T3,376.495
T4,377.186
T1,382.779
T3,385.723
T1,388.311
T2,388.405
T3,389.456
T2,389.952
T3,390.189
T2,390.465
T1,391.255
T3,392.18
T4,392.275
T3,393.296
T1,393.963
T1,395.334
T2,395.344
T1,397.279
T1,398.977
T3,399.395
T1,400.121
T3,400.452
T3,405.335
T2,406.773
T2,407.064
T3,409.951
