task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T7,0.001,102.42,9.67,26.7,4.81,25.34,108.06,105.47,1.02,112.64,10.64,26.2,5.49,24.04,108.92,112.78,1.15
T8,0.027,112.98,9.94,25.12,5.23,28.97,113.0,104.1,1.02,107.97,9.8,27.28,5.6,28.57,105.89,93.28,1.07
T9,0.039,98.5,11.74,26.75,4.98,23.9,106.11,104.43,0.94,104.22,11.53,25.43,5.56,24.07,114.12,94.41,0.98
T9,0.043,110.03,10.1,27.42,4.86,25.43,103.1,103.62,1.03,100.2,10.31,27.89,4.88,24.75,116.93,104.1,1.04
T9,0.054,103.66,11.26,24.9,4.89,23.78,107.28,103.32,1.0,107.84,10.62,27.76,5.27,26.52,109.84,106.98,0.96
T2,0.058,101.55,10.12,26.6,5.74,26.46,104.85,95.5,0.98,106.6,10.04,23.43,5.32,25.35,115.98,101.59,1.01
T3,0.067,92.49,9.83,26.86,5.4,26.25,117.24,105.13,1.03,99.2,10.13,25.44,4.78,25.6,115.31,99.88,1.03
T1,0.073,102.52,11.2,24.61,5.4,26.41,102.33,110.08,0.96,96.07,11.2,24.45,5.61,26.8,105.37,101.59,1.07
T7,0.088,100.38,9.52,23.78,5.65,24.89,99.76,101.18,1.18,110.4,10.68,23.61,5.04,26.53,118.44,95.87,1.03
T3,0.093,99.1,10.42,27.04,5.32,27.03,103.03,106.37,1.03,92.92,10.05,24.23,4.61,28.2,116.95,109.54,1.11
T6,0.116,100.28,10.63,24.51,5.3,24.54,97.94,96.76,1.05,105.96,10.11,24.02,5.29,26.24,100.06,101.77,1.02
T4,0.134,95.95,10.45,26.68,5.27,24.58,106.18,113.15,1.13,100.41,10.51,28.37,5.65,27.17,95.54,99.78,1.0
T7,0.136,114.87,9.41,23.49,5.2,27.48,105.81,101.08,1.15,106.79,10.72,24.58,4.89,28.14,107.32,96.21,1.1
T10,0.141,96.72,9.54,28.28,5.18,24.55,109.58,105.86,1.02,114.79,9.93,28.59,5.1,26.48,93.78,95.17,0.96
T9,0.143,103.7,11.74,25.44,4.78,23.64,102.13,102.77,1.08,99.66,10.78,24.42,5.44,27.82,112.21,96.3,1.06
T10,0.156,112.18,10.84,28.0,5.52,24.27,101.88,99.22,1.04,100.62,10.3,25.34,5.59,25.73,94.22,105.26,1.09
