task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
2,0.632,94.82,1.061,106.381,109.728,102.461,100.283,1.09,96.126,1.077,99.916,110.013,112.104,105.245,1.064
4,1.136,103.148,103.733,100.38,0.991,0.962,103.518,10.231,102.14,97.947,105.92,0.984,1.008,105.814,10.715
3,1.256,105.892,105.621,114.102,9.821,111.843,115.982,102.206,115.011,107.94,110.226,9.809,111.115,105.811,111.426
3,1.314,108.522,105.678,107.995,11.466,114.734,102.683,99.798,105.57,111.9,103.816,11.151,117.209,118.458,97.423
4,1.49,93.932,101.289,104.571,1.098,1.068,103.5,10.603,102.521,104.226,101.226,1.101,0.992,99.973,10.09
2,2.071,101.682,1.12,95.182,113.663,114.089,105.882,1.064,108.952,1.005,95.354,99.334,106.124,108.315,1.137
3,2.593,100.049,94.991,113.18,10.142,109.694,118.103,110.856,114.967,99.873,111.181,10.265,116.599,113.967,101.985
4,3.582,100.916,114.733,106.746,1.067,1.05,102.772,11.019,94.453,115.99,112.952,1.067,1.088,92.698,10.941
3,4.322,113.524,94.46,109.102,10.488,116.665,118.37,108.941,101.457,96.584,101.523,11.221,115.828,106.932,94.423
2,5.106,101.759,1.013,103.994,113.816,112.134,104.401,0.989,93.433,1.152,98.96,107.921,98.559,104.517,1.094
2,5.768,104.898,1.061,96.848,103.577,98.736,112.012,1.158,102.8,1.077,108.819,104.783,111.73,107.611,1.124
1,5.918,111.76,11.906,96.546,99.757,93.185,101.971,1.164,102.407,10.992,98.613,97.909,92.087,107.556,1.048
2,6.835,104.861,1.063,98.748,111.984,109.631,96.621,1.059,104.044,1.135,105.438,102.65,104.439,111.078,1.148
2,6.974,108.247,1.034,95.154,103.619,105.494,97.791,1.128,107.345,1.019,96.821,101.365,101.868,100.068,1.114
2,7.213,95.462,0.994,95.476,107.921,101.061,107.831,0.987,109.584,1.176,98.909,106.584,109.213,110.51,0.993
3,7.807,112.827,103.467,113.799,11.133,107.171,105.449,98.767,109.993,100.69,96.904,10.49,113.024,110.448,110.59
4,8.63,98.581,101.07,104.171,1.036,1.021,92.154,11.082,107.311,101.925,108.634,1.04,1.0,97.123,10.773
2,9.246,92.819,1.055,94.236,103.786,100.958,109.844,1.065,99.973,0.996,94.033,113.849,116.63,103.887,1.077
1,9.754,107.564,10.212,100.57,99.031,102.659,108.964,1.045,101.111,10.665,94.291,99.06,95.554,110.028,1.074
3,9.801,107.046,104.853,107.456,11.232,118.463,118.24,96.932,98.89,108.267,110.347,10.43,100.477,115.069,109.887
4,9.914,109.023,106.451,114.71,0.978,0.965,99.381,9.784,105.905,103.453,104.219,1.109,1.039,102.276,9.738
4,10.137,105.734,100.806,116.811,0.969,1.088,96.268,10.949,106.598,107.163,114.118,1.072,1.009,104.273,10.664
3,10.169,109.719,111.069,109.509,10.903,115.117,115.072,96.056,103.888,105.292,105.59,11.553,102.073,115.316,101.623
1,10.198,96.106,11.067,94.062,106.264,106.787,96.569,0.989,102.023,11.336,95.28,99.758,99.264,106.571,1.162
2,10.827,109.906,1.038,104.168,110.179,108.364,111.92,1.159,106.983,1.036,109.224,99.399,111.398,109.717,1.151
1,10.876,104.45,10.265,98.057,113.406,97.257,98.066,1.12,109.033,11.279,101.684,96.968,107.599,100.616,1.162
3,11.153,107.893,105.763,101.299,10.729,102.692,104.024,109.58,103.377,95.543,97.317,11.394,114.419,113.133,101.174
2,11.468,94.566,1.056,106.201,98.485,98.987,101.722,1.051,95.155,1.166,107.292,103.665,116.732,112.885,0.997
3,11.953,104.464,96.504,111.442,10.894,104.156,107.408,105.941,105.803,110.5,103.433,9.788,106.1,107.175,97.423
4,12.402,100.272,108.058,112.423,1.007,1.048,100.069,10.261,96.655,112.006,112.399,0.971,1.036,94.122,9.54
3,12.682,108.26,102.135,107.728,10.651,109.266,102.767,110.596,105.238,109.756,107.271,11.012,112.798,109.777,110.003
1,12.885,111.044,11.384,102.418,97.3,106.588,96.676,1.015,102.735,11.383,98.573,100.233,108.182,108.471,1.056
4,12.931,106.256,98.867,104.402,1.068,1.077,103.527,10.165,100.421,101.505,116.872,0.986,1.034,102.652,10.453
2,13.193,100.035,1.02,101.53,112.905,103.34,110.976,1.113,109.566,1.006,107.554,108.682,104.024,99.719,1.139
3,13.279,102.878,100.532,97.55,10.067,114.041,102.891,106.584,103.639,95.918,106.097,10.868,112.648,111.897,110.673
2,13.306,102.21,1.008,94.733,110.509,106.349,106.558,1.072,93.547,1.082,109.845,107.056,110.061,105.816,1.07
4,13.397,100.259,100.99,101.542,1.014,0.983,92.637,10.551,104.375,106.33,104.326,1.092,0.93,107.597,10.312
4,13.61,93.322,105.626,109.547,0.943,0.998,94.093,9.737,108.348,114.185,110.871,0.964,0.928,94.739,10.248
1,13.714,107.899,10.996,101.667,104.569,99.377,106.645,1.058,97.445,11.596,100.392,114.836,96.973,105.527,0.992
2,14.7,107.22,0.992,100.809,101.735,108.038,96.175,1.048,103.679,0.996,96.243,114.074,108.863,107.443,0.983
4,14.907,93.619,110.42,108.567,1.103,0.947,95.194,11.09,110.649,100.939,114.531,1.061,0.941,106.229,9.595
1,14.91,97.945,11.347,99.304,106.8,100.488,100.312,1.114,110.409,11.802,93.298,110.972,102.255,103.238,1.09
4,14.955,100.277,105.576,107.052,1.098,1.079,103.667,10.092,103.264,106.09,101.277,1.021,1.013,97.429,10.091
3,15.004,111.525,107.288,112.813,11.174,108.444,104.713,100.767,105.107,102.017,109.872,9.821,118.731,111.76,98.198
2,15.9,100.047,1.038,106.815,115.446,107.638,108.893,1.108,107.516,1.106,107.396,103.588,107.267,103.864,1.025
3,16.125,104.618,107.38,99.823,10.729,112.148,103.872,101.114,103.129,104.715,103.949,11.104,115.644,101.654,100.856
3,18.327,116.614,108.21,112.628,11.154,108.225,102.238,96.668,110.882,111.708,102.796,10.255,110.965,104.57,98.176
3,18.413,108.595,111.279,110.895,11.304,100.897,108.151,109.222,100.193,104.236,101.5,10.795,112.149,108.942,94.586
