task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
1,0.295,104.204,11.124,104.638,98.093,96.403,108.99,0.982,100.369,10.481,93.745,108.993,95.952,96.928,1.131
2,0.35,102.211,1.003,95.825,100.984,103.418,105.96,1.096,99.867,1.123,111.119,103.6,104.787,109.672,1.084
1,0.621,105.295,11.436,95.244,113.548,104.453,95.588,0.983,108.054,10.014,104.97,98.026,98.327,109.908,1.096
4,1.065,109.729,104.522,116.05,1.103,0.995,102.474,10.091,94.559,114.638,113.521,0.981,0.959,101.866,11.081
4,1.393,97.796,113.938,102.203,0.964,1.055,93.788,9.874,98.197,101.92,104.918,0.978,1.041,107.61,10.041
2,1.521,109.932,1.093,102.269,106.835,106.467,105.235,1.008,95.741,1.039,105.826,108.585,105.747,106.368,1.049
3,1.533,105.52,104.807,108.505,10.668,100.883,105.378,99.532,113.066,99.49,102.223,11.563,117.626,112.304,109.537
3,1.706,114.305,110.153,108.616,11.133,113.896,116.206,111.017,115.612,99.627,101.775,11.366,111.869,103.225,96.668
1,2.051,102.645,11.608,108.664,107.719,106.347,104.317,1.021,98.598,11.211,99.375,98.727,96.328,95.588,1.086
4,2.452,105.682,101.835,108.931,1.042,1.066,94.968,11.0,109.104,114.09,114.533,1.091,0.987,95.397,9.989
3,3.099,113.77,102.771,104.348,9.763,116.121,103.427,103.367,113.201,96.409,111.898,9.932,107.594,116.541,111.72
4,3.252,95.865,114.237,103.209,1.042,0.962,105.764,10.583,103.264,110.929,107.852,1.042,1.088,104.114,11.004
3,4.127,105.52,99.99,100.397,11.296,113.856,100.313,106.015,111.899,105.555,99.681,11.017,112.536,110.6,102.206
2,4.473,95.767,1.119,98.644,100.999,107.375,113.002,0.987,92.678,1.153,97.086,108.442,106.896,99.819,0.98
4,4.721,106.936,110.994,110.904,1.02,0.999,96.414,9.455,94.214,111.848,106.881,1.098,0.942,96.935,10.018
3,4.858,113.931,106.952,109.563,11.268,113.861,100.39,98.468,109.574,98.893,103.805,10.467,115.132,116.776,95.497
3,5.011,98.471,107.366,109.216,10.276,109.935,100.215,100.897,103.719,112.072,99.599,11.482,118.482,108.837,109.128
1,5.086,96.788,11.197,107.225,112.43,93.702,94.654,1.157,109.146,10.751,106.715,114.253,99.926,107.74,1.129
1,5.422,106.529,11.124,106.51,100.353,102.989,103.403,1.038,111.562,11.04,92.847,108.042,102.79,101.423,1.148
3,5.827,104.858,109.691,105.757,10.602,106.739,114.027,97.298,99.151,98.58,99.253,10.349,108.752,105.231,110.052
2,6.017,102.916,1.035,102.748,115.172,104.835,105.688,1.027,98.322,1.064,94.85,107.243,103.549,98.86,1.114
2,6.08,98.219,0.999,96.081,115.775,115.456,108.544,0.987,99.021,1.085,105.492,98.595,99.475,111.514,1.087
2,8.554,94.705,1.003,107.875,115.249,101.954,111.686,1.095,102.365,1.106,98.911,100.672,110.231,112.567,1.121
3,8.676,111.322,111.069,106.243,11.072,102.816,101.752,107.66,98.972,100.417,104.51,10.012,117.206,112.825,97.386
4,8.763,108.879,112.43,108.188,0.975,1.02,108.59,10.715,106.094,115.618,114.518,1.069,1.058,104.025,11.161
4,9.179,94.17,106.878,114.343,1.051,0.93,100.96,10.077,108.136,104.305,107.243,1.099,0.988,106.163,9.479
2,9.222,95.758,1.086,95.988,114.099,116.736,111.02,0.985,104.416,1.006,100.559,109.819,104.632,102.742,0.981
2,9.443,94.749,1.087,98.351,107.855,112.312,101.95,1.161,104.586,1.013,97.727,115.299,116.863,99.598,1.054
3,9.495,110.602,107.642,111.628,11.3,118.667,115.013,99.445,115.215,102.1,111.721,9.841,100.271,116.361,96.059
3,11.103,115.58,97.8,110.605,10.282,101.973,103.368,100.359,108.795,108.167,97.463,11.272,109.849,109.806,99.967
1,11.108,112.188,11.831,98.129,103.745,106.09,95.642,1.044,99.914,10.999,101.402,103.427,98.791,101.712,1.112
1,11.356,103.842,10.048,96.312,99.245,96.107,96.245,0.998,97.857,10.182,92.733,99.044,97.769,93.921,1.154
2,11.569,96.308,1.035,93.926,110.573,115.794,99.519,1.043,105.283,1.09,107.926,108.233,114.171,111.313,1.095
2,11.853,98.532,1.176,109.688,111.287,104.701,113.118,1.134,96.08,1.018,94.778,102.017,115.442,105.234,1.027
1,12.435,112.791,10.642,102.341,108.531,106.187,96.805,1.004,105.523,10.864,103.915,103.412,94.257,105.678,1.146
1,12.6,98.093,10.109,103.902,111.118,96.461,109.851,1.003,112.525,10.219,92.406,111.537,97.453,101.605,1.097
3,12.75,115.825,108.615,113.412,11.349,116.29,118.736,109.569,100.358,104.735,106.915,9.817,100.575,104.683,101.019
1,12.984,110.172,10.29,101.686,106.303,98.112,102.231,1.035,112.409,10.418,101.719,99.04,92.022,107.827,1.138
1,13.707,112.781,11.696,101.257,108.273,93.008,107.626,1.108,107.783,11.801,106.474,104.699,98.141,106.645,0.99
2,14.227,96.62,1.109,96.702,104.783,102.999,98.761,0.996,99.477,1.12,98.203,101.719,103.168,105.792,1.075
1,14.262,107.089,11.124,102.38,102.552,91.896,105.745,1.125,101.36,10.48,108.363,105.651,100.767,97.814,1.049
3,14.294,107.768,97.679,100.185,10.723,114.291,113.647,94.78,108.388,110.481,112.726,10.66,117.366,103.044,109.853
1,14.844,106.317,10.643,103.781,99.273,108.373,106.456,0.984,111.157,10.902,101.69,111.576,108.444,108.99,1.048
4,15.111,96.97,98.534,106.748,0.983,0.987,93.656,9.862,94.22,100.336,102.349,0.962,0.998,93.957,10.108
3,15.466,104.357,104.031,100.842,10.381,116.258,116.566,110.438,108.495,110.521,99.414,10.495,112.567,118.141,99.193
3,15.51,110.537,105.049,100.185,10.205,114.805,115.753,100.462,108.844,100.913,108.992,9.769,108.061,104.849,106.797
2,16.157,97.777,1.044,107.986,107.652,101.04,96.81,1.119,106.01,1.177,101.397,112.968,101.729,103.45,1.142
2,16.188,97.393,1.126,99.81,98.525,116.528,107.731,1.136,105.101,1.068,98.291,115.182,108.212,104.376,1.035
2,16.32,106.948,1.078,94.607,98.623,110.795,112.404,1.088,104.187,1.143,98.137,99.656,104.132,96.429,1.109
2,16.702,106.916,0.994,95.521,98.595,98.967,105.786,1.156,107.73,1.132,100.829,101.122,110.35,110.583,1.119
4,16.706,107.255,108.39,116.675,1.057,1.055,98.6,10.146,93.894,106.794,104.357,0.965,0.977,93.142,11.019
1,16.831,105.05,11.344,103.209,109.962,99.444,107.971,1.047,104.919,10.574,93.043,112.76,92.327,108.489,1.132
1,17.352,98.04,11.139,101.059,111.118,100.925,102.077,1.162,111.352,11.224,100.914,105.834,105.266,101.504,1.082
3,17.376,116.978,108.878,106.958,10.443,100.492,118.016,94.416,102.767,108.48,100.366,11.112,107.668,101.612,95.293
1,17.848,96.538,10.403,102.772,103.722,94.792,99.316,1.038,107.031,10.016,101.138,106.167,100.913,94.801,1.1
3,17.878,106.239,96.504,110.612,11.326,100.236,112.196,107.886,108.372,97.17,98.287,10.064,108.508,102.1,101.455
4,17.931,104.749,103.087,102.559,0.965,0.932,100.448,9.912,101.118,109.688,104.571,0.961,1.017,106.774,9.965
1,18.143,101.498,11.081,99.037,109.503,98.464,96.269,1.004,110.364,11.279,100.19,104.103,95.952,100.312,1.015
1,18.143,105.825,10.316,105.334,100.353,93.265,106.579,1.038,101.214,11.879,101.421,105.333,101.007,93.816,1.114
3,18.254,107.797,96.451,102.231,10.367,108.399,102.343,99.635,109.956,99.95,112.446,11.195,109.909,112.546,106.329
2,18.65,96.096,1.078,103.423,104.477,115.346,113.52,1.103,103.85,1.087,109.991,99.078,101.442,96.063,1.087
3,19.046,113.094,99.627,98.864,10.28,118.072,100.2,100.813,111.568,110.481,100.665,10.38,101.836,108.718,102.845
4,19.121,110.79,115.723,99.73,1.021,0.99,93.226,10.678,103.045,110.678,113.317,1.022,1.033,99.69,10.123
4,19.423,105.8,112.8,112.712,1.062,0.947,103.423,9.498,96.535,104.584,105.32,0.965,1.038,94.764,10.382
4,19.548,104.294,108.003,113.711,0.976,0.935,103.79,10.146,109.955,103.044,103.64,0.98,0.954,101.75,11.222
4,19.647,100.926,111.052,104.254,0.936,1.053,101.729,10.483,105.918,103.689,105.47,1.069,1.055,98.482,9.968
3,19.654,116.281,96.451,112.591,10.479,110.063,107.644,94.92,109.45,97.291,105.63,10.579,110.264,106.109,110.814
3,20.03,108.48,98.627,111.809,10.181,117.98,100.279,106.465,103.849,111.257,102.243,11.45,113.002,111.937,95.978
1,20.121,96.624,10.525,92.406,101.83,107.944,95.266,1.163,105.147,11.162,97.265,98.026,93.727,103.952,1.134
2,21.137,94.369,1.153,109.866,102.293,100.882,102.065,1.01,107.624,1.005,103.405,98.623,107.775,107.088,1.077
2,21.484,108.446,1.045,101.432,115.036,99.169,103.462,1.136,105.373,1.082,110.16,113.663,113.766,98.693,1.095
2,21.49,93.707,0.992,111.116,108.983,100.176,100.942,1.132,95.401,1.019,100.952,108.224,113.849,99.45,1.055
3,22.588,103.77,106.423,113.139,10.291,101.245,117.708,105.781,111.476,100.982,101.517,10.296,108.399,113.161,109.643
4,22.676,104.282,110.839,116.49,0.948,1.042,105.871,10.363,98.668,110.897,103.206,1.084,0.98,95.732,10.76
3,22.947,111.476,112.0,96.796,10.065,107.162,104.57,101.614,102.338,106.55,98.558,11.445,107.971,110.043,97.423
4,23.012,105.432,102.168,105.735,0.947,1.033,97.832,10.182,105.061,111.074,117.26,1.083,0.999,98.647,9.837
4,23.698,101.808,99.103,116.59,1.027,0.946,106.357,11.087,105.977,108.84,114.187,0.988,1.033,94.023,9.535
2,24.312,94.856,1.044,101.237,97.763,106.319,102.468,0.993,103.776,1.085,94.92,109.446,116.046,113.355,1.159
4,24.525,101.118,115.128,103.124,1.089,1.06,106.01,11.221,96.213,115.751,105.92,0.971,1.014,106.114,10.108
4,24.85,102.611,101.066,116.648,1.067,0.981,93.01,9.778,107.575,104.198,117.312,1.061,1.082,92.267,9.658
2,26.228,106.787,1.062,109.236,110.702,99.641,111.102,0.993,92.899,1.035,99.157,108.813,107.142,107.715,1.069
1,26.339,111.401,11.132,103.681,114.313,100.17,105.971,1.132,100.092,11.89,106.866,107.72,106.656,105.609,1.158
1,27.413,104.493,10.32,97.046,99.863,103.682,96.207,1.026,105.618,10.059,103.187,108.225,97.358,95.66,1.048
2,27.61,108.241,1.111,103.703,101.259,109.677,102.169,1.104,94.334,1.059,98.516,113.257,116.736,113.355,1.042
3,28.296,113.386,102.306,103.468,10.081,102.348,116.43,94.461,105.24,100.676,97.977,10.668,110.087,109.439,102.814
1,28.359,106.185,10.788,98.717,103.666,105.784,99.236,1.005,110.188,11.771,104.329,98.078,102.514,106.549,1.103
1,28.535,108.739,10.214,102.737,101.283,108.657,98.697,1.006,105.784,10.109,99.375,102.719,97.634,109.97,1.113
2,29.621,105.63,1.02,109.362,111.915,113.987,99.909,1.084,103.446,1.074,110.887,115.289,105.841,105.677,1.076
3,29.765,102.968,109.661,106.924,11.077,101.455,112.554,110.597,98.762,110.72,110.605,10.652,113.002,104.455,95.355
1,30.466,95.046,10.405,104.626,99.935,104.971,93.827,1.052,108.0,11.391,97.993,100.201,106.719,106.283,1.101
2,30.754,104.558,1.025,103.217,98.595,115.383,109.081,0.991,105.101,0.996,98.24,110.013,98.884,97.558,1.041
3,30.92,110.091,102.772,107.561,10.326,118.252,105.913,104.845,111.448,109.765,108.778,10.602,117.818,107.408,105.091
1,30.932,105.788,10.855,92.668,105.536,92.802,105.801,1.068,97.599,10.582,98.886,104.968,103.053,98.713,1.065
1,31.694,111.562,11.387,105.277,101.519,105.418,101.503,1.057,96.816,10.376,106.094,103.167,102.79,98.35,1.012
3,32.113,103.806,108.2,103.196,10.126,101.095,103.347,96.424,104.6,99.412,99.181,11.292,104.617,113.118,95.238
3,32.263,111.109,108.091,103.327,11.437,107.793,109.164,98.582,104.893,108.561,110.59,10.967,105.435,107.851,102.633
1,32.77,98.778,11.572,94.86,114.297,102.9,94.732,1.09,98.724,11.499,93.921,98.59,102.647,98.584,1.132
1,33.261,101.36,10.197,107.669,107.545,104.237,101.924,1.15,98.741,10.108,94.132,99.832,95.338,100.707,0.995
3,33.755,109.942,100.906,107.62,11.466,110.645,115.12,100.856,105.007,106.031,110.491,9.767,105.32,115.473,99.194
3,33.967,103.161,96.127,100.857,11.239,112.783,108.853,96.0,109.838,94.862,100.521,10.108,112.698,117.039,105.761
4,34.209,101.693,102.564,99.476,1.046,1.055,95.738,10.144,101.793,111.406,106.616,0.995,1.081,92.277,10.17
