task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.422,3.032,5.948,3.056,5.912
2,3.42,3.099,5.958,3.081,5.947
2,3.432,3.018,5.934,3.024,5.957
1,4.211,1.992,1.039,1.916,1.046
2,5.204,3.077,5.969,3.02,5.958
2,5.961,3.033,5.938,3.023,5.914
2,5.976,3.095,5.939,3.043,5.94
2,6.936,3.005,5.911,3.043,5.909
1,6.94,1.919,1.0,1.958,1.082
2,7.39,3.095,5.932,3.009,5.911
2,7.801,3.003,5.973,3.032,5.983
2,8.035,3.099,5.992,3.078,5.94
1,8.05,1.926,1.043,1.902,1.041
2,8.123,3.015,5.901,3.084,5.922
2,9.619,3.037,5.923,3.059,5.901
1,11.563,1.979,1.087,1.95,1.076
1,12.002,1.915,1.031,1.935,1.006
1,12.426,1.902,1.047,1.935,1.047
2,12.759,3.083,5.939,3.059,5.905
1,13.27,1.957,1.087,1.951,1.077
1,15.443,1.949,1.046,1.957,1.035
2,15.748,3.045,5.96,3.038,5.975
2,16.018,3.031,5.982,3.013,5.979
2,19.228,3.013,5.953,3.005,5.991
1,21.076,1.987,1.054,1.958,1.008
2,21.597,3.055,5.909,3.081,5.915
2,22.002,3.077,5.929,3.091,5.998
2,22.585,3.021,5.908,3.02,5.937
2,22.885,3.083,5.909,3.093,5.946
1,23.618,1.903,1.029,1.94,1.098
1,24.417,1.916,1.014,1.929,1.041
2,25.731,3.071,5.947,3.042,5.967
2,25.891,3.089,5.957,3.082,5.946
1,26.252,1.984,1.026,1.913,1.001
2,27.003,3.033,5.971,3.058,5.986
2,27.752,3.059,5.987,3.068,5.955
1,28.161,1.922,1.03,1.993,1.038
2,29.213,3.04,5.912,3.041,5.982
2,29.555,3.013,5.936,3.08,5.935
2,30.301,3.068,5.912,3.085,5.999
1,30.371,1.914,1.03,1.961,1.002
2,30.894,3.034,5.968,3.054,5.989
2,31.476,3.076,5.971,3.048,5.955
2,33.429,3.047,5.963,3.1,5.938
1,33.57,1.902,1.026,1.99,1.057
1,35.205,1.922,1.028,1.986,1.016
2,35.418,3.025,5.939,3.019,5.985
2,36.711,3.066,5.952,3.076,5.926
2,38.191,3.095,5.973,3.086,5.905
2,39.602,3.088,5.999,3.0,5.942
1,40.39,1.982,1.029,1.946,1.077
2,40.623,3.076,5.963,3.078,5.908
2,40.644,3.084,5.945,3.017,5.966
2,42.92,3.033,5.976,3.031,5.923
2,43.05,3.037,5.954,3.054,5.958
2,43.535,3.089,5.957,3.029,5.967
