task_type,arrival_time
T1,0.002
T2,0.006
T2,0.01
T2,0.012
T1,0.016
T4,0.023
T1,0.024
T4,0.025
T1,0.027
T4,0.029
T3,0.029
T3,0.03
T1,0.031
T4,0.032
T1,0.033
T2,0.034
T2,0.036
T1,0.037
T1,0.037
T1,0.04
T3,0.042
T1,0.049
T3,0.054
T3,0.061
T2,0.063
T2,0.063
T4,0.066
T3,0.068
T2,0.077
T2,0.078
T2,0.08
T1,0.085
T3,0.09
T2,0.091
T3,0.091
T1,0.097
T4,0.1
T4,0.107
T1,0.109
T3,0.11
T1,0.112
T3,0.114
T1,0.118
T1,0.121
T2,0.125
T4,0.125
T1,0.136
T2,0.142
T4,0.142
T1,0.153
T4,0.154
T1,0.155
T2,0.165
T4,0.168
T3,0.175
T2,0.179
T1,0.181
T1,0.182
T4,0.186
T3,0.19
T1,0.19
T1,0.191
T4,0.192
T2,0.192
T2,0.193
T1,0.197
T4,0.198
T1,0.202
T3,0.204
T2,0.206
T1,0.208
T2,0.21
T1,0.215
T4,0.216
T3,0.216
T2,0.218
T1,0.218
T2,0.219
T2,0.219
T2,0.219
T4,0.221
T4,0.225
T2,0.227
T2,0.228
T3,0.23
T3,0.23
T4,0.238
T4,0.248
T4,0.249
T2,0.25
T3,0.25
T4,0.255
T3,0.257
T3,0.259
T4,0.263
T3,0.269
T4,0.27
T4,0.273
T1,0.273
T4,0.275
T1,0.278
T1,0.283
T2,0.285
T4,0.287
T3,0.291
T4,0.296
T2,0.303
T4,0.304
T1,0.308
T3,0.309
T4,0.315
T2,0.318
T4,0.319
T3,0.33
T2,0.331
T1,0.335
T3,0.338
T3,0.344
T4,0.355
T3,0.362
T1,0.369
T3,0.37
T4,0.371
T2,0.372
T3,0.373
T4,0.376
T1,0.376
T2,0.379
T3,0.384
T4,0.388
T3,0.391
T3,0.396
T1,0.399
T2,0.403
T3,0.406
T1,0.406
T4,0.407
T4,0.408
T2,0.412
T1,0.416
T4,0.419
T2,0.42
T3,0.426
T1,0.428
T2,0.434
T4,0.435
T2,0.435
T4,0.435
T4,0.435
T2,0.436
T3,0.444
