task_type,m1_1,m2_1,m3_1,m4_1
T2,1.104,2.805,6.867,7.402
T2,1.261,2.627,7.269,7.938
T2,1.236,3.004,7.369,6.922
T1,0.964,2.115,6.323,6.298
T2,1.156,2.813,7.685,7.816
T4,1.728,3.537,10.081,10.845
T3,1.293,3.539,8.074,8.676
T4,1.523,3.567,9.718,10.82
T2,1.095,2.822,7.285,6.993
T2,1.166,2.917,7.629,7.344
T3,1.363,3.388,8.579,9.33
T2,1.126,2.83,7.865,7.122
T1,0.93,2.124,5.714,6.043
T1,0.972,2.336,6.069,5.98
T1,1.009,2.31,6.129,6.483
T4,1.519,3.773,10.424,9.336
T4,1.547,3.96,9.168,10.084
T2,1.209,2.729,7.264,7.986
T4,1.511,3.685,10.671,10.18
T2,1.168,2.638,6.832,7.727
T3,1.422,3.033,8.476,8.105
T3,1.285,3.088,9.263,9.167
T4,1.636,4.079,10.63,9.671
T1,1.014,2.382,5.529,5.863
T3,1.429,3.265,8.231,8.431
T1,0.977,2.202,6.424,5.769
T4,1.742,3.559,10.314,9.53
T3,1.457,3.118,9.115,8.091
T3,1.373,3.133,9.188,8.651
T1,1.027,2.256,6.148,5.517
T2,1.157,2.759,7.852,6.892
T3,1.48,3.514,9.176,8.871
T3,1.307,3.486,9.045,8.277
T2,1.235,2.984,6.889,7.421
T1,1.018,2.08,5.707,5.524
T1,0.957,2.173,5.766,6.185
T3,1.484,3.02,8.518,8.741
T2,1.25,2.694,7.146,7.057
T4,1.633,3.747,9.923,9.927
T4,1.607,4.114,9.631,9.723
T2,1.102,2.823,7.353,7.9
T3,1.452,3.512,7.956,9.325
T4,1.607,3.566,10.651,10.391
T4,1.601,3.934,10.042,10.05
T2,1.227,2.941,7.489,7.727
T4,1.566,3.536,9.433,10.205
T3,1.334,3.365,8.279,8.761
T2,1.133,2.585,7.039,7.329
T3,1.492,3.131,8.545,8.647
T2,1.287,2.975,7.834,7.614
T1,0.986,2.206,5.858,5.596
T4,1.518,3.56,9.668,10.117
T3,1.482,3.393,9.04,8.523
T1,0.983,2.352,5.5,5.486
T2,1.174,2.801,7.981,6.867
T3,1.306,3.399,9.449,8.12
T3,1.467,3.304,9.448,9.316
T4,1.501,3.615,10.622,10.705
T3,1.476,3.182,8.042,8.432
T4,1.696,4.011,10.653,10.699
T4,1.597,4.008,10.575,9.266
T2,1.093,2.74,7.242,7.169
T1,0.962,2.091,6.487,6.238
T1,0.95,2.436,5.651,6.476
T2,1.211,2.836,7.814,6.885
T1,0.973,2.105,5.916,6.252
T2,1.262,3.005,7.199,7.082
T4,1.476,3.711,10.262,10.697
T4,1.504,3.742,10.464,9.185
T4,1.593,3.658,10.241,9.913
T4,1.595,3.935,9.151,10.388
T2,1.119,2.811,7.471,7.441
T3,1.429,3.049,8.264,8.974
T1,0.887,2.217,5.952,6.455
T3,1.389,3.155,8.53,8.156
T2,1.131,2.65,6.79,6.836
T2,1.192,2.589,6.834,6.993
T4,1.662,3.531,10.272,10.541
T3,1.475,3.352,8.976,9.048
T3,1.419,3.315,8.361,8.212
T2,1.208,2.7,7.477,6.782
T2,1.287,2.87,7.508,6.872
T3,1.421,3.272,9.406,9.139
T3,1.515,3.51,9.398,9.041
T3,1.49,3.573,8.983,8.969
T4,1.532,3.647,10.389,10.4
T3,1.304,3.58,8.137,8.275
T3,1.337,3.48,7.994,9.029
T4,1.489,3.553,10.778,9.734
T2,1.133,2.797,6.932,7.495
T3,1.377,3.266,9.145,9.146
T3,1.48,3.157,9.037,9.337
T1,0.951,2.09,5.987,5.679
T4,1.734,3.852,10.293,10.714
T1,0.902,2.117,6.076,5.969
