task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.494,2.421,1.529,4.37,0.987,2.188,1.775,4.062,1.003
1,1.113,2.034,1.658,4.182,0.81,2.585,1.667,4.617,0.696
2,1.912,2.097,1.863,4.733,0.826,2.014,2.011,5.025,0.996
2,1.967,2.281,2.058,4.622,0.837,2.016,2.02,3.837,0.904
2,3.403,2.116,1.628,3.823,0.828,2.296,2.125,4.788,0.732
1,4.006,2.453,1.916,3.654,0.763,2.597,1.605,3.676,0.689
1,5.055,1.954,1.451,4.756,0.833,2.548,1.531,3.724,0.623
2,5.557,2.495,1.793,4.643,0.975,2.45,2.068,4.029,0.971
2,6.089,2.15,1.585,4.95,0.858,2.065,1.999,4.626,0.852
2,6.944,1.916,2.14,5.001,0.731,2.631,1.879,4.359,0.874
2,7.11,2.552,2.067,3.75,0.98,2.118,1.735,5.034,0.843
2,7.671,2.166,1.974,3.67,0.839,2.261,1.513,4.897,0.807
2,8.122,1.904,1.63,4.474,0.821,1.888,2.032,3.948,0.839
2,8.587,2.231,2.104,4.56,0.904,2.557,2.104,4.759,1.003
1,8.638,2.375,1.905,4.614,0.658,2.235,1.567,4.389,0.83
2,9.082,2.629,1.859,4.638,0.987,2.404,1.576,3.978,0.8
1,9.408,2.309,1.959,3.875,0.835,2.602,1.858,3.888,0.851
1,9.83,2.195,1.836,5.096,0.753,2.407,1.59,3.746,0.791
1,9.885,2.059,1.898,3.614,0.821,2.044,1.633,4.29,0.647
2,10.069,1.971,1.633,3.713,0.724,2.556,2.032,4.283,0.747
1,10.403,2.418,1.697,4.824,0.782,2.31,1.521,4.279,0.759
1,11.133,2.479,1.619,3.773,0.824,2.323,1.569,4.852,0.639
2,11.299,2.0,2.088,4.357,0.797,2.207,1.83,3.642,0.92
2,11.622,2.438,2.069,3.637,0.877,2.32,1.517,4.767,0.822
2,11.778,1.984,1.953,4.504,0.837,1.965,1.548,4.351,0.74
2,11.907,2.4,2.034,3.985,0.72,2.195,2.014,4.501,0.913
2,12.161,2.381,1.585,5.01,0.933,2.541,1.966,4.182,0.874
2,12.623,2.343,1.836,3.95,0.799,2.447,1.612,4.365,0.732
2,12.935,2.422,1.843,4.797,0.918,2.048,1.598,3.737,0.844
2,13.475,2.474,1.9,4.592,0.765,2.544,2.078,4.175,0.941
2,14.385,1.946,1.61,4.877,0.903,2.201,2.085,4.365,0.775
2,14.923,2.615,2.078,4.357,0.847,2.601,1.681,4.901,0.722
2,15.403,2.071,2.13,4.356,0.766,2.584,1.656,4.714,0.834
1,15.638,2.558,1.891,3.972,0.627,2.044,1.737,4.841,0.791
1,15.875,2.36,1.853,4.407,0.86,2.596,1.814,4.916,0.717
2,16.137,2.19,1.82,3.948,0.829,2.436,1.909,4.571,0.72
2,16.2,2.063,1.84,3.922,0.997,2.026,2.005,4.692,0.719
2,16.558,2.044,2.012,4.119,0.928,2.446,2.054,4.623,0.904
2,17.028,1.925,1.958,3.85,0.98,2.37,1.655,3.795,0.793
2,18.159,2.499,2.127,3.737,0.839,2.066,1.565,5.109,0.719
2,18.226,2.629,1.554,4.055,0.804,2.283,2.055,4.317,0.754
2,18.275,2.558,1.904,4.767,0.966,2.207,1.871,4.226,0.995
2,18.95,2.218,2.064,3.848,0.999,2.442,1.82,5.114,0.964
2,20.636,2.607,2.04,4.447,1.009,2.574,1.528,4.665,0.814
2,21.038,2.529,1.998,4.585,1.014,2.369,1.659,4.841,1.01
1,21.09,2.131,1.917,5.096,0.776,2.507,1.587,3.839,0.774
1,21.284,2.541,1.552,3.696,0.826,2.493,1.735,4.77,0.789
2,21.689,2.129,1.844,4.177,0.813,2.57,1.737,4.818,0.79
2,21.774,1.971,2.034,4.37,0.871,2.08,1.705,3.848,0.839
1,22.133,1.899,1.76,5.098,0.704,2.24,1.895,3.944,0.681
2,22.24,2.64,2.057,4.555,0.913,1.89,1.593,4.176,0.912
2,22.487,2.099,1.884,4.555,0.732,2.121,2.039,4.368,0.766
2,23.663,2.513,1.806,4.673,0.899,2.428,1.998,3.894,0.999
1,24.011,2.147,1.551,4.613,0.706,1.935,1.942,4.996,0.752
2,24.082,2.137,1.538,3.984,0.997,2.127,1.935,4.995,0.998
2,24.762,2.065,1.66,4.396,0.91,2.297,2.122,4.151,0.739
2,25.483,2.211,1.862,3.835,0.888,2.253,2.046,3.659,1.015
2,26.226,2.011,1.718,4.05,0.794,2.642,1.921,3.653,0.909
2,26.602,2.473,1.578,3.97,0.834,2.073,1.563,4.975,0.733
2,26.827,2.555,1.749,5.056,0.911,2.251,2.069,4.56,0.855
2,26.973,2.571,1.581,4.658,0.953,2.191,1.702,4.119,0.89
2,27.405,2.024,2.121,4.596,0.918,2.591,1.68,3.922,0.957
2,27.423,2.361,1.72,4.604,0.88,2.607,1.733,4.641,0.89
2,28.335,2.176,2.098,4.592,0.8,1.966,1.811,4.465,0.736
2,28.44,2.319,1.831,4.729,0.985,2.014,2.084,4.956,0.849
2,28.598,2.475,1.772,4.029,0.78,2.099,1.888,3.647,0.967
2,28.646,1.971,2.122,4.213,0.864,2.188,1.571,4.75,0.862
2,29.636,1.9,1.673,3.772,0.981,2.318,1.682,4.848,0.904
1,29.774,2.384,1.763,4.083,0.632,2.142,1.867,3.659,0.738
1,31.111,2.104,1.518,4.169,0.739,2.388,1.988,4.833,0.762
1,31.205,2.201,1.439,5.11,0.773,1.872,1.702,4.176,0.668
1,31.374,2.044,1.467,4.258,0.64,2.171,1.707,4.112,0.843
2,31.379,2.383,1.733,4.59,0.84,1.887,1.903,4.031,0.763
2,31.933,1.92,1.532,4.614,0.96,2.457,1.908,4.934,0.876
1,32.01,2.044,1.426,3.69,0.744,2.511,1.492,4.605,0.726
2,32.286,2.514,1.736,4.344,0.822,2.076,1.598,4.703,0.738
2,32.311,2.005,2.071,4.838,0.968,2.471,1.705,4.23,0.936
2,32.339,2.095,2.132,4.713,0.78,1.926,2.027,4.809,0.746
2,32.646,2.253,1.75,4.335,0.833,2.541,2.025,4.677,0.822
1,32.785,2.4,1.439,4.412,0.618,2.623,1.663,3.964,0.628
2,33.183,2.405,1.957,3.738,1.0,2.058,2.091,3.782,0.752
2,33.185,2.007,1.72,4.746,0.892,2.056,1.836,4.089,1.009
1,33.32,2.469,1.736,4.068,0.627,2.496,1.655,4.891,0.84
2,33.592,1.966,1.612,4.569,0.776,1.956,1.912,3.782,0.792
1,33.892,1.896,1.598,4.632,0.803,2.165,1.588,4.045,0.759
