task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
1,0.032,1.298,1.181,1.282,1.249
1,0.05,1.437,0.858,1.289,1.218
2,0.062,2.193,1.391,2.45,3.486
2,0.066,5.064,1.86,13.287,0.731
2,0.076,9.692,0.874,3.273,0.822
2,0.082,3.649,1.556,13.059,1.587
1,0.095,0.994,1.458,1.841,1.245
1,0.129,1.491,0.841,1.422,1.178
1,0.134,1.794,1.16,1.032,1.22
2,0.136,6.225,3.167,5.064,0.853
1,0.16,1.541,0.89,1.228,0.839
2,0.192,5.279,1.179,5.746,2.632
1,0.201,1.794,0.878,2.277,0.621
1,0.242,1.267,0.873,1.403,0.87
1,0.273,1.281,1.189,1.798,0.968
2,0.28,3.538,3.373,4.705,1.366
2,0.296,1.812,1.721,4.684,1.101
1,0.301,0.989,1.093,1.512,0.932
2,0.305,5.279,0.543,1.969,1.86
2,0.305,8.355,0.713,2.662,1.695
1,0.309,2.124,0.953,2.02,1.153
1,0.351,1.26,0.653,1.101,0.903
1,0.362,1.199,1.088,1.791,0.63
2,0.4,11.772,0.528,6.447,1.09
1,0.408,1.259,0.817,1.105,1.342
2,0.42,1.911,1.818,2.268,0.691
1,0.447,1.752,0.885,1.852,0.934
1,0.489,2.023,1.459,2.051,0.924
1,0.505,1.852,0.922,1.406,0.935
2,0.51,2.457,2.455,11.928,0.805
1,0.521,1.306,1.333,1.437,1.157
2,0.528,4.179,0.541,3.966,1.958
2,0.535,1.9,2.232,7.019,1.563
2,0.563,9.02,1.584,1.955,1.366
2,0.588,1.408,1.706,9.015,0.685
2,0.591,7.091,1.659,4.776,0.733
1,0.624,2.072,0.901,1.273,1.216
1,0.643,1.059,1.4,2.046,0.925
1,0.645,2.144,0.915,1.008,0.674
1,0.674,1.325,0.727,1.791,1.22
2,0.701,5.927,1.364,5.488,1.046
2,0.756,12.424,0.779,10.779,1.95
2,0.794,5.488,0.656,2.584,1.504
1,0.817,1.292,0.872,1.255,0.967
1,0.839,0.966,0.998,2.037,1.346
1,0.85,1.757,0.952,1.252,0.903
1,0.851,1.265,0.91,1.292,1.129
1,0.864,1.262,0.912,1.01,0.865
2,0.871,10.576,1.436,4.555,0.615
2,0.883,2.143,1.703,5.1,1.969
2,0.907,4.107,2.002,2.063,1.261
1,0.915,2.06,1.011,0.94,1.597
1,0.924,1.329,1.387,1.012,0.914
1,0.926,1.272,0.874,1.916,1.179
2,0.934,2.638,0.729,3.381,1.333
2,0.937,11.941,2.298,3.949,2.292
2,0.943,7.115,2.017,6.145,1.257
2,0.951,2.873,1.212,3.845,2.265
1,0.953,0.976,1.231,1.434,0.624
2,0.984,11.284,0.891,2.688,1.057
1,0.988,1.228,0.884,1.309,0.936
1,0.998,1.287,0.856,2.001,1.244
1,1.017,1.757,0.82,1.247,0.968
2,1.05,5.887,1.231,5.965,1.695
2,1.063,11.905,1.025,3.943,0.852
1,1.072,0.973,1.123,1.414,1.394
2,1.079,9.34,0.689,5.97,2.943
1,1.127,1.032,1.335,2.073,1.21
1,1.136,0.994,0.918,1.757,0.91
2,1.138,6.039,1.646,4.882,1.991
2,1.171,5.165,1.857,2.023,1.606
1,1.173,1.216,0.934,1.232,0.905
2,1.181,11.972,2.23,2.696,1.401
2,1.189,12.565,0.761,8.036,2.048
2,1.229,4.845,1.849,2.023,1.156
2,1.242,7.178,1.301,2.064,0.822
2,1.247,12.982,1.694,5.813,0.987
2,1.294,1.579,0.907,6.553,0.852
1,1.308,1.295,0.585,1.789,0.869
2,1.378,1.799,1.373,13.9,1.694
1,1.381,1.266,0.883,1.925,1.248
1,1.396,1.312,0.967,2.145,0.97
1,1.399,1.274,0.871,1.941,0.843
2,1.401,3.527,1.961,11.284,2.236
2,1.403,5.748,0.689,9.016,1.124
1,1.441,1.381,0.783,1.499,1.177
1,1.441,1.792,0.903,1.926,0.928
1,1.458,1.297,0.978,1.251,0.785
2,1.465,2.085,1.159,4.634,1.154
1,1.473,1.011,1.405,1.957,0.911
2,1.496,11.821,0.852,6.372,1.072
1,1.515,1.253,0.858,1.79,0.616
1,1.588,2.441,0.922,1.212,0.983
2,1.592,5.61,1.32,1.874,1.435
2,1.602,7.605,0.701,2.662,1.531
2,1.602,3.688,1.663,5.068,1.173
2,1.614,7.463,1.194,6.309,1.018
2,1.638,13.779,0.775,7.67,0.625
1,1.642,1.227,1.191,1.292,1.146
1,1.65,0.964,1.444,1.42,0.994
2,1.651,2.488,2.291,4.312,2.292
1,1.675,1.959,0.611,1.757,1.247
2,1.677,3.791,3.112,6.796,0.914
2,1.749,4.129,2.954,3.73,3.457
1,1.817,1.426,0.952,1.566,0.924
1,1.825,1.24,0.946,1.237,0.995
2,1.859,4.735,2.992,4.684,0.543
1,1.861,1.336,1.128,1.305,0.947
2,1.872,2.992,0.683,6.134,0.542
2,1.88,2.31,2.295,9.53,3.415
1,1.882,1.524,0.872,1.983,1.002
1,1.935,1.218,1.245,1.294,0.883
2,1.936,8.355,0.752,4.028,0.842
2,1.946,4.58,1.934,10.607,1.166
1,1.947,1.798,0.998,1.511,0.883
1,1.978,1.018,0.867,2.371,0.779
1,1.993,1.531,0.901,2.333,0.912
1,1.999,1.223,0.956,1.28,0.847
1,2.009,1.321,0.789,1.434,0.935
2,2.011,11.772,0.944,4.07,2.142
1,2.015,1.005,1.009,1.5,1.401
1,2.021,1.791,0.82,1.799,0.914
1,2.022,1.079,0.867,0.954,1.386
2,2.029,2.478,0.832,6.04,0.611
1,2.033,1.343,0.63,0.964,0.917
2,2.036,8.387,1.188,7.08,1.728
2,2.076,4.792,1.553,4.684,0.939
2,2.148,2.902,1.822,12.185,0.983
2,2.168,1.993,1.093,2.578,0.67
1,2.179,1.803,0.915,2.032,1.405
2,2.197,4.961,0.682,3.845,0.663
1,2.2,2.126,1.527,1.424,1.128
2,2.203,4.195,1.247,2.923,1.658
2,2.211,8.355,0.929,2.563,0.682
1,2.256,1.252,0.62,0.957,0.884
1,2.26,0.983,0.857,1.772,0.864
2,2.289,6.82,0.729,4.42,2.23
2,2.291,2.097,1.213,7.543,1.158
1,2.308,1.029,0.853,1.102,0.988
1,2.317,1.249,1.389,1.207,1.386
2,2.322,3.046,2.199,12.87,3.141
1,2.352,1.488,0.903,1.798,0.93
