task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T7,0.192,9.22,112.7,10.8,108.76,9.55,0.94,104.27,24.56,10.68,96.86,10.8,106.48,10.82,0.93,117.09,26.72
T2,1.094,10.67,105.92,9.93,101.8,11.61,0.99,115.94,25.59,10.05,106.26,11.42,100.04,10.89,0.98,104.46,24.51
T4,1.944,10.7,95.03,10.33,102.53,10.6,1.01,116.03,27.05,9.72,107.33,11.14,102.28,10.71,0.96,113.35,26.27
T9,3.635,10.2,97.66,9.62,116.71,10.33,1.08,111.32,24.21,10.96,108.39,9.27,105.19,10.23,1.16,97.6,27.51
T5,3.866,10.98,113.61,10.97,101.07,9.94,1.09,104.32,23.52,10.53,110.65,9.81,103.93,11.58,1.05,96.66,25.6
T8,4.367,10.49,109.74,10.91,100.83,10.9,1.07,110.8,24.92,9.84,100.82,10.78,108.46,10.03,0.93,103.17,23.86
T10,4.784,10.52,111.81,11.34,94.54,11.4,1.04,107.83,28.84,10.01,103.83,10.03,106.95,9.97,1.02,106.58,28.74
T1,6.991,10.94,101.64,11.31,104.07,11.04,1.12,111.04,29.44,11.57,98.42,10.31,97.8,11.04,1.03,115.13,26.65
T8,7.217,10.05,104.74,10.94,106.74,10.34,1.05,113.35,27.14,9.76,113.66,11.29,97.72,10.41,1.04,100.94,25.38
T5,9.289,10.57,107.21,10.6,101.58,10.73,1.09,101.21,26.36,10.93,113.57,9.68,107.04,11.02,1.14,103.38,24.86
T4,11.455,10.14,92.57,10.09,116.06,9.69,0.95,102.38,26.67,10.34,106.75,11.37,98.59,10.09,1.0,109.65,25.86
T10,11.482,9.5,107.44,10.93,95.56,10.22,1.14,117.54,25.41,9.79,108.2,11.32,111.97,10.59,1.05,114.91,27.06
T1,11.548,11.56,109.68,11.27,112.05,10.8,1.02,108.08,28.46,11.07,116.41,11.04,111.76,11.62,0.99,115.84,26.4
T6,12.847,9.96,113.13,10.65,112.01,10.24,0.95,104.78,25.57,10.02,112.22,11.46,116.7,10.88,0.98,94.54,27.89
T10,13.445,9.77,105.49,10.62,104.37,11.17,1.11,101.36,26.75,9.57,114.58,10.32,111.93,11.48,1.08,103.56,29.06
T5,14.459,10.63,108.95,10.61,97.23,9.9,1.07,106.72,23.82,11.04,100.81,10.73,103.12,11.29,1.0,107.22,24.02
T6,15.976,10.9,104.95,11.43,114.56,11.46,0.97,105.55,27.34,11.2,117.62,10.69,106.41,10.46,1.04,93.05,26.16
T2,16.865,11.1,116.57,10.12,95.11,10.01,1.09,102.04,27.05,11.28,114.59,11.44,93.73,10.94,1.0,110.54,26.77
T1,17.478,11.77,100.22,11.06,111.42,10.14,1.06,108.25,25.93,10.93,109.06,11.16,100.8,10.46,1.0,115.25,26.81
T10,17.617,11.1,100.44,11.0,99.89,10.69,1.08,117.75,27.05,10.24,106.16,10.57,107.86,10.21,1.14,106.97,25.59
T10,18.072,11.29,103.93,10.82,102.67,11.17,1.13,108.82,25.48,9.6,102.58,11.1,109.76,10.12,1.08,105.15,28.77
T2,20.035,10.92,106.85,9.86,97.28,10.3,1.09,101.62,27.28,10.4,103.4,10.93,105.79,10.1,1.14,100.57,24.12
T4,21.931,10.26,95.39,10.38,100.96,10.51,1.07,114.8,24.19,9.64,107.92,11.17,100.12,9.74,1.01,100.28,25.19
T1,21.97,10.18,113.28,11.83,107.07,10.42,1.0,112.52,28.62,11.7,104.3,10.48,98.4,11.67,1.01,115.54,27.23
T8,22.03,11.54,108.25,10.44,94.53,11.19,0.99,109.49,24.86,10.06,102.68,10.21,109.74,10.51,0.98,117.43,24.54
T10,23.812,10.33,102.92,10.9,110.89,11.19,1.13,107.01,28.46,10.1,103.82,10.39,99.37,11.1,1.1,107.38,27.1
T10,24.175,10.73,114.85,11.43,103.75,10.91,1.15,108.19,27.09,9.93,110.38,10.43,100.44,10.42,0.98,114.36,27.41
T2,29.39,10.42,103.83,10.08,103.33,11.02,1.1,115.61,23.8,11.18,98.34,11.7,96.13,11.38,1.14,100.44,25.45
T1,32.067,11.52,108.04,11.01,109.81,10.63,1.09,110.22,28.75,10.76,103.43,11.27,98.53,11.24,1.02,106.52,28.12
T6,33.05,10.15,103.92,10.26,110.43,11.21,1.04,109.38,29.25,11.18,104.62,10.48,113.57,11.48,1.07,104.84,27.34
T8,33.83,10.37,106.09,10.66,105.14,9.98,1.1,110.18,24.6,10.62,117.07,11.35,104.04,10.97,1.05,110.07,25.06
T10,34.209,9.91,112.54,11.42,110.89,10.02,1.0,100.64,26.52,9.52,107.3,10.44,106.95,10.07,1.05,114.25,26.31
T9,34.218,10.8,110.11,9.48,110.78,10.9,1.14,103.97,25.27,10.56,95.76,10.06,104.07,9.44,1.06,101.62,26.35
T5,35.855,10.5,117.78,10.8,102.56,11.16,1.09,98.56,24.64,9.64,103.1,10.06,102.33,11.54,1.06,96.39,26.37
T10,36.663,9.99,110.14,9.84,101.28,10.7,1.03,113.64,28.12,11.17,118.35,10.44,105.47,10.31,0.98,108.2,26.92
T2,37.026,10.25,116.54,10.2,98.83,10.38,1.05,104.64,24.91,11.32,109.12,11.42,95.3,11.35,0.96,111.27,23.56
T1,39.826,10.22,101.82,10.88,112.11,10.01,1.08,103.11,29.07,10.44,104.52,10.89,104.93,10.25,1.1,105.66,25.01
T8,41.072,11.16,112.02,10.93,100.89,10.56,0.94,114.28,25.58,11.55,110.48,10.16,105.12,10.44,0.96,103.97,24.42
T7,43.253,9.85,100.22,10.71,102.55,9.73,1.01,108.59,27.19,10.07,104.67,10.17,99.22,9.99,1.0,104.99,26.16
T3,44.07,10.23,116.64,10.99,102.31,10.26,1.02,103.8,26.42,10.93,115.41,11.1,114.61,10.61,1.12,100.4,29.16
T1,44.112,10.62,98.09,10.48,98.21,11.44,1.11,100.82,27.68,11.36,108.19,10.42,104.6,10.31,1.08,103.22,28.7
T7,44.278,10.73,100.49,10.17,111.76,10.06,0.93,110.22,26.75,9.62,99.9,9.95,110.65,9.88,0.95,101.57,26.37
T1,44.278,11.48,103.21,10.91,113.89,11.03,1.1,110.11,26.19,11.08,111.62,10.34,108.7,11.37,1.15,102.3,29.39
T6,44.742,10.55,116.58,11.22,104.51,10.56,0.93,92.62,28.78,10.42,103.02,10.16,115.94,10.13,0.95,104.99,27.61
T3,46.798,11.02,113.42,11.3,106.89,9.78,0.95,110.5,29.1,11.12,116.39,11.29,107.27,10.69,1.12,103.22,27.28
T3,46.938,9.99,108.04,10.26,111.02,10.13,1.04,95.39,26.95,10.91,102.76,9.88,99.84,11.47,1.05,96.13,27.44
T2,47.299,10.9,108.54,10.12,93.15,10.64,1.07,110.32,23.28,10.71,104.39,10.85,103.03,11.72,1.04,111.64,23.97
T4,48.602,11.23,97.29,10.64,112.21,9.28,1.04,117.47,26.52,9.87,102.8,11.59,102.75,9.93,1.08,104.05,27.1
T10,51.3,9.69,109.3,11.25,103.48,10.89,1.15,106.67,24.88,11.18,109.74,10.11,107.86,9.99,1.02,112.34,27.62
T8,51.542,10.12,116.06,11.13,103.28,10.79,1.02,114.96,26.36,10.91,118.66,10.88,94.12,10.16,1.01,115.83,24.73
T5,51.57,10.95,111.22,10.45,105.58,11.6,1.06,101.73,26.68,9.86,104.29,9.87,110.38,10.4,1.16,102.84,23.49
T5,51.803,11.13,113.68,10.79,114.14,10.93,1.04,108.26,25.35,9.95,110.14,9.52,105.12,10.98,1.05,109.06,23.43
T7,51.903,10.05,96.63,11.15,108.26,9.98,1.06,107.62,25.24,10.76,110.34,10.87,113.24,10.37,0.96,106.08,24.18
T1,52.075,10.38,113.32,11.68,109.63,10.88,1.09,108.33,28.29,11.76,102.21,11.08,108.16,11.44,1.14,110.38,25.84
T1,52.34,11.32,114.02,11.14,104.19,11.44,1.13,103.21,29.47,10.54,106.67,10.99,104.13,10.79,1.15,118.74,27.86
T1,53.377,11.7,103.44,11.48,109.25,10.61,1.13,102.08,28.38,10.61,105.77,10.12,113.05,10.99,1.07,103.52,27.03
T2,53.753,10.51,104.07,11.17,96.94,10.21,1.04,118.28,24.93,11.09,108.44,11.46,95.31,11.38,1.09,114.42,27.25
T6,54.751,10.19,110.72,9.91,100.04,10.77,0.93,93.22,28.65,10.43,104.1,10.06,103.44,11.52,0.94,107.66,27.14
T7,54.954,9.44,108.08,10.54,108.32,9.79,0.93,100.86,26.82,9.15,99.14,11.02,110.49,9.24,0.97,106.21,27.02
T10,55.592,10.01,101.53,10.79,95.37,10.23,1.0,106.24,26.92,9.73,103.12,10.59,102.85,10.84,1.01,117.8,28.43
T5,58.503,9.84,109.71,9.62,99.31,10.56,1.1,98.04,27.31,9.82,110.6,10.76,113.14,10.9,1.1,108.56,25.43
T6,60.85,9.54,114.26,10.16,117.08,10.26,1.03,101.96,29.27,9.95,109.97,10.01,112.93,10.64,1.05,98.12,27.88
T2,63.023,10.62,104.41,11.26,108.07,11.29,1.12,100.18,26.33,10.98,99.86,11.55,97.03,10.54,1.08,106.24,24.19
T3,64.019,10.19,104.21,11.36,116.41,11.44,1.03,101.75,29.55,11.6,102.86,11.14,108.43,10.12,0.98,106.05,28.94
T5,64.057,10.57,115.24,9.46,107.69,10.82,1.04,101.13,24.12,10.37,110.59,9.71,110.99,11.41,1.1,105.74,24.54
T3,65.77,10.34,104.4,10.88,100.36,10.66,0.96,111.29,29.53,10.43,108.76,10.2,102.31,11.23,1.0,111.18,26.26
