task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
1,0.188,11.118,10.702,9.464,11.505,95.623,1.088,99.387,11.182,10.929,10.712,11.61,99.335,1.076,99.373
4,0.534,103.715,99.202,101.347,0.99,110.2,1.008,106.524,99.036,110.917,106.098,1.102,115.365,1.099,95.647
1,0.569,11.052,9.992,9.627,10.31,95.0,0.958,100.318,11.299,10.564,10.097,10.662,106.972,1.08,103.097
1,0.961,10.668,9.917,9.296,9.987,102.609,0.981,103.201,10.691,10.193,10.056,11.709,103.859,0.995,102.237
4,1.075,98.15,105.94,105.974,0.992,100.248,1.091,98.983,102.634,108.823,111.361,1.029,101.646,1.111,104.486
3,1.362,103.336,10.295,1.163,101.898,103.053,113.94,92.826,100.203,10.836,1.156,99.704,92.976,99.894,104.3
4,2.079,99.545,99.359,98.699,0.997,112.837,1.026,98.075,102.733,101.255,107.983,1.034,97.691,1.093,101.612
1,2.288,11.078,9.648,10.747,11.431,111.146,1.096,113.174,10.721,10.628,9.186,10.398,111.045,0.955,104.533
4,2.335,111.351,102.934,101.003,1.038,109.927,1.132,97.211,96.648,107.247,105.658,1.162,108.765,1.043,97.473
2,2.408,11.316,99.085,100.464,96.544,103.223,117.111,98.903,10.85,99.923,95.892,97.801,109.03,113.259,116.405
1,2.877,10.992,10.968,10.099,10.351,97.183,1.034,105.616,11.612,10.559,10.008,10.559,108.579,1.022,107.988
4,3.084,98.022,95.147,99.114,1.127,97.667,1.001,112.186,104.569,109.966,113.27,1.12,109.804,1.067,112.039
2,4.232,10.331,105.185,93.929,102.796,98.68,101.334,114.634,10.863,98.952,110.794,102.626,109.785,116.68,100.041
4,4.935,99.649,102.699,112.338,1.063,107.489,0.965,99.189,111.281,96.653,106.87,1.104,113.149,1.107,97.081
4,5.058,98.993,112.007,98.502,1.066,99.446,1.052,97.767,96.582,95.319,105.708,0.998,114.978,1.021,111.823
1,5.064,11.805,9.871,10.901,10.31,101.049,0.982,101.401,11.813,11.407,9.664,11.45,96.152,1.038,107.973
2,5.137,10.097,107.356,97.09,98.143,110.219,109.203,104.864,10.037,114.076,97.533,99.864,112.249,101.578,97.978
3,5.261,107.675,11.49,1.145,110.21,94.345,101.123,101.546,105.371,11.165,1.095,108.173,107.913,100.158,95.131
