task_type,m1_1,m2_1,m3_1,m4_1
T2,5.613,18.097,79.096,85.253
T2,6.407,16.954,83.719,91.429
T2,6.284,19.383,84.874,79.722
T1,4.363,12.159,64.876,64.619
T2,5.876,18.151,88.507,90.018
T4,11.437,29.723,151.21,162.674
T3,7.448,25.87,105.342,113.204
T4,10.083,29.972,145.772,162.299
T2,5.566,18.212,83.904,80.537
T2,5.924,18.822,87.867,84.581
T3,7.85,24.766,111.94,121.734
T2,5.721,18.264,90.587,82.032
T1,4.212,12.207,58.624,62.005
T1,4.399,13.428,62.27,61.358
T1,4.569,13.281,62.891,66.515
T4,10.052,31.705,156.353,140.034
T4,10.242,33.283,137.517,151.254
T2,6.143,17.612,83.666,91.976
T4,10.0,30.967,160.067,152.696
T2,5.937,17.022,78.685,88.992
T3,8.185,22.169,110.59,105.756
T3,7.398,22.575,120.856,119.607
T4,10.831,34.282,159.456,145.062
T1,4.589,13.693,56.735,60.155
T3,8.229,23.868,107.402,110.008
T1,4.424,12.66,65.919,59.195
T4,11.528,29.912,154.707,142.956
T3,8.39,22.79,118.937,105.567
T3,7.903,22.9,119.881,112.875
T1,4.65,12.969,63.083,56.612
T2,5.883,17.803,90.433,79.38
T3,8.519,25.685,119.729,115.748
T3,7.527,25.48,118.016,107.991
T2,6.277,19.257,79.34,85.475
T1,4.608,11.958,58.557,56.679
T1,4.334,12.491,59.16,63.461
T3,8.545,22.08,111.144,114.052
T2,6.353,17.381,82.305,81.276
T4,10.809,31.485,148.849,148.912
T4,10.64,34.569,144.464,145.841
T2,5.601,18.216,84.684,90.986
T3,8.361,25.674,103.809,121.666
T4,10.639,29.966,159.759,155.869
T4,10.598,33.057,150.623,150.744
T2,6.238,18.981,86.251,88.993
T4,10.363,29.714,141.498,153.08
T3,7.68,24.595,108.022,114.309
T2,5.76,16.683,81.073,84.41
T3,8.593,22.891,111.498,112.818
T2,6.542,19.194,90.231,87.696
T1,4.463,12.683,60.109,57.418
T4,10.048,29.917,145.021,151.761
T3,8.533,24.8,117.956,111.21
T1,4.451,13.521,56.437,56.287
T2,5.965,18.075,91.923,79.087
T3,7.517,24.848,123.29,105.947
T3,8.444,24.151,123.274,121.559
T4,9.936,30.381,159.335,160.575
T3,8.501,23.26,104.936,110.024
T4,11.229,33.704,159.794,160.484
T4,10.574,33.679,158.621,138.986
T2,5.555,17.679,83.412,82.569
T1,4.356,12.021,66.564,64.007
T1,4.3,14.001,57.982,66.448
T2,6.154,18.298,90.0,79.3
T1,4.406,12.1,60.704,64.148
T2,6.416,19.39,82.914,81.571
T4,9.769,31.183,153.937,160.461
T4,9.959,31.445,156.953,137.778
T4,10.546,30.739,153.611,148.692
T4,10.558,33.067,137.265,155.813
