task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.509,2.211,1.626,4.612,0.888,1.918,1.999,4.024,1.005
2,1.58,2.249,1.705,4.943,0.792,2.629,1.875,4.501,0.834
2,2.321,2.361,2.063,4.933,0.759,2.279,1.904,4.933,0.91
2,3.327,2.043,1.947,3.919,0.806,2.397,1.786,4.861,0.753
2,4.308,2.571,1.657,3.712,0.869,2.295,1.665,3.693,0.802
2,5.136,1.929,1.856,4.356,0.867,2.222,2.069,4.04,0.799
2,6.818,2.073,1.801,4.135,0.868,2.309,1.694,4.152,0.775
1,7.56,2.354,1.809,4.121,0.755,1.939,1.857,4.485,0.644
2,7.819,2.335,2.105,4.2,0.892,2.068,2.104,5.112,0.813
2,8.114,1.994,1.655,4.581,0.915,2.35,2.055,4.196,0.951
1,8.666,2.316,1.793,4.019,0.854,2.582,1.898,4.177,0.722
2,8.922,2.265,1.592,4.821,0.768,2.118,1.917,4.245,0.908
2,9.027,2.019,2.066,4.703,0.886,2.22,1.583,3.75,0.892
2,10.249,2.581,2.009,3.75,0.888,2.447,1.908,4.357,0.946
2,10.675,2.073,1.604,5.043,0.926,2.266,1.739,3.642,0.89
1,10.773,2.507,1.685,4.529,0.806,2.384,1.44,3.838,0.846
2,11.194,2.562,1.587,4.321,0.911,2.548,1.55,3.796,0.943
2,11.471,2.268,1.845,4.279,0.804,2.093,2.079,4.58,0.726
2,11.5,2.636,1.636,4.356,0.847,2.526,1.793,4.324,0.868
1,12.112,1.972,1.549,4.369,0.687,2.421,1.762,5.001,0.746
2,14.457,2.564,1.719,3.864,0.753,2.541,1.697,4.715,0.941
1,14.806,1.967,1.669,4.554,0.667,2.272,1.605,4.343,0.612
1,14.868,1.979,1.905,3.709,0.83,2.041,1.977,3.648,0.61
1,15.802,2.125,1.846,4.354,0.755,2.233,1.872,4.084,0.714
2,15.937,2.643,2.104,4.028,0.993,2.127,1.951,4.464,0.91
1,18.742,1.868,1.953,3.902,0.791,2.507,1.873,4.481,0.773
1,20.98,1.899,1.873,3.845,0.785,2.528,1.86,3.886,0.633
1,21.119,2.34,1.946,3.832,0.675,2.082,1.67,3.638,0.618
2,21.201,2.079,1.935,4.201,0.848,2.127,1.747,4.933,0.843
2,22.252,2.258,1.604,4.793,0.992,2.533,1.92,4.365,0.888
