task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
2,0.027,6.081,1.189,1.73,1.092
1,0.851,1.737,0.97,1.428,1.244
1,1.011,1.261,0.897,1.292,0.897
1,1.12,1.41,0.91,1.344,0.732
2,1.459,3.176,1.924,5.165,0.601
2,1.692,8.024,0.961,7.758,2.912
2,2.061,4.239,0.853,9.789,1.692
1,2.396,1.283,0.969,1.87,1.11
1,2.535,1.334,1.128,1.084,0.864
2,2.575,2.689,0.629,2.43,0.657
1,2.642,1.237,1.229,1.248,0.96
1,3.024,2.048,0.847,1.405,0.856
2,3.136,3.52,0.873,8.1,0.819
2,3.191,9.53,1.279,10.061,0.71
1,4.241,1.327,1.178,1.197,0.968
2,4.482,4.24,3.239,8.879,1.275
1,4.925,1.286,0.854,1.267,1.08
2,5.371,1.926,3.113,13.587,1.301
1,5.426,1.308,0.607,1.428,0.873
2,6.68,5.466,1.329,2.638,2.139
1,6.89,1.422,0.621,2.279,0.982
2,7.226,5.064,1.394,2.131,0.811
2,7.242,3.209,1.085,4.781,1.98
2,7.369,5.059,0.781,11.077,0.557
2,7.564,5.327,2.366,5.624,2.119
2,7.881,2.024,1.25,5.219,1.707
1,8.417,1.035,0.866,1.335,0.621
2,8.641,2.573,1.036,8.809,1.031
2,9.24,4.501,1.093,3.435,3.151
2,10.918,3.219,0.894,11.62,1.443
1,11.473,1.292,1.398,1.105,0.944
2,12.139,6.143,1.399,1.689,1.014
1,12.411,1.261,1.335,1.26,1.234
1,12.653,2.03,0.914,2.019,1.119
2,12.902,2.0,3.335,6.082,1.658
2,15.059,5.708,1.553,11.077,1.825
1,15.434,1.239,0.756,1.298,1.134
1,16.59,1.343,0.863,1.961,0.91
1,16.754,1.252,1.252,2.138,0.618
2,16.955,2.31,1.631,3.758,0.68
1,17.004,1.959,0.614,1.318,0.91
2,17.201,2.25,0.934,4.312,2.603
1,17.276,1.097,0.905,1.252,1.192
1,17.406,1.759,0.95,1.422,0.898
2,17.799,7.13,0.836,7.833,0.669
1,17.918,1.435,0.865,1.22,0.847
2,18.777,2.304,0.622,2.369,3.244
1,19.213,1.984,0.617,1.012,0.892
1,19.283,1.059,0.917,1.444,1.342
2,19.638,2.313,1.188,13.827,1.107
1,19.836,1.767,1.073,1.38,1.437
1,20.447,1.334,1.157,1.966,0.976
2,20.729,10.601,0.818,3.888,1.14
2,21.353,5.47,0.703,5.444,0.663
1,21.356,1.316,0.904,1.218,0.867
1,21.832,1.262,1.405,1.315,0.952
1,21.979,1.292,1.258,1.261,0.926
1,22.047,1.019,0.897,1.105,1.261
2,22.778,3.781,2.525,4.13,2.232
2,23.099,6.608,3.425,7.304,2.166
2,23.33,7.59,1.446,7.141,1.101
1,24.021,1.14,1.233,1.779,0.92
1,24.259,1.789,1.342,1.213,0.874
1,24.627,1.237,0.903,1.102,1.199
1,24.945,1.747,1.244,2.027,1.11
1,25.419,1.213,0.961,1.266,1.125
2,25.639,7.13,1.119,6.608,1.131
1,25.696,1.232,0.621,2.01,0.873
2,26.288,6.15,2.113,5.146,1.01
1,26.342,1.926,1.385,1.239,0.91
