task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
1,0.279,1.291,1.107,1.233,1.143
1,0.516,2.014,1.447,1.293,0.924
2,1.186,4.422,0.811,9.651,1.159
2,1.242,5.62,1.953,4.24,1.086
1,1.693,1.104,0.87,1.503,0.858
1,2.006,0.994,0.911,1.763,0.756
1,2.139,0.999,1.09,2.028,1.177
2,2.145,5.18,0.629,4.161,1.131
2,2.352,7.08,1.557,8.781,1.615
1,2.574,1.272,1.121,1.048,1.189
1,3.169,2.361,1.113,1.304,0.91
1,3.232,0.969,1.437,1.251,1.347
1,3.513,1.278,0.924,1.272,0.942
2,4.55,7.238,2.632,10.779,1.089
1,4.649,1.115,0.612,1.543,0.607
1,5.42,1.293,1.247,1.801,0.978
2,5.461,6.348,0.877,2.928,2.992
1,5.507,1.821,0.886,1.075,1.459
2,6.299,2.0,2.705,8.374,0.805
2,6.74,4.516,2.116,12.508,2.838
1,6.877,1.725,0.978,2.051,0.92
2,7.22,4.085,0.987,2.696,3.238
2,7.535,2.64,1.22,3.649,1.09
1,9.454,1.249,1.25,1.25,0.617
1,9.488,1.268,1.135,1.777,0.623
2,9.559,2.227,2.998,4.841,1.199
2,10.444,5.146,0.959,3.169,2.26
1,10.54,1.476,1.119,1.286,1.11
2,10.59,5.1,0.47,4.287,3.239
2,10.853,3.851,1.334,6.779,1.124
2,10.87,2.558,0.66,2.765,1.37
2,10.894,12.023,0.805,2.313,0.907
2,11.206,2.591,1.394,2.544,1.242
2,11.703,4.555,3.425,3.279,1.145
2,11.843,12.172,1.337,1.074,1.709
1,11.949,1.232,1.095,1.051,0.847
2,12.12,2.687,1.301,5.146,3.085
2,12.124,9.48,1.065,2.172,0.803
1,12.635,2.426,0.926,1.525,0.96
2,13.308,8.946,2.427,5.018,0.675
1,13.85,1.224,0.863,1.506,1.401
2,14.183,1.602,0.885,3.038,1.415
1,14.368,1.246,1.096,1.406,1.128
1,14.621,2.024,0.725,1.401,1.457
2,14.727,2.688,2.034,2.762,0.759
2,14.925,3.966,3.012,3.1,2.782
2,15.115,5.805,1.37,7.46,0.767
