task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
4,0.486,2.437,1.415,4.747,0.998,2.191,1.81,4.33,0.972
2,1.225,2.243,1.758,3.987,0.828,2.094,1.695,3.63,0.772
1,1.907,2.133,1.799,4.08,0.824,2.474,1.786,4.585,0.709
4,2.395,2.302,1.798,3.822,1.055,2.123,1.88,3.641,0.939
2,2.781,2.556,1.804,3.682,0.843,2.271,2.121,4.465,0.745
1,2.931,2.397,1.565,3.861,0.695,1.881,1.682,4.596,0.763
1,2.984,2.076,1.783,4.503,0.723,1.94,1.885,4.61,0.767
4,3.243,2.333,1.611,4.381,0.965,2.336,1.845,5.053,0.815
4,3.309,1.81,1.584,3.645,1.013,1.742,1.377,4.195,0.756
4,3.318,2.18,1.786,4.353,1.003,1.745,1.726,4.258,0.877
3,3.337,2.31,1.306,5.909,0.764,2.021,1.713,4.214,0.787
1,3.499,2.561,1.423,4.472,0.851,2.616,1.761,3.848,0.754
3,3.562,2.035,1.422,5.815,0.74,2.194,1.74,4.748,0.809
3,3.73,2.403,1.529,4.897,0.736,2.329,1.563,5.139,0.882
1,4.989,2.54,1.653,4.992,0.689,2.561,1.884,4.11,0.861
2,5.003,1.888,1.563,4.408,1.005,2.115,1.994,4.826,0.83
3,5.033,2.272,1.459,4.575,0.959,1.795,1.545,4.728,0.773
4,5.092,2.371,1.348,4.203,0.789,1.947,1.896,4.932,1.009
2,5.497,2.169,2.113,3.721,0.732,2.115,1.838,3.95,0.955
2,5.921,2.155,1.803,4.813,0.815,2.381,1.681,3.831,0.949
2,6.172,2.136,1.636,4.128,0.759,2.22,1.651,4.961,0.9
1,6.198,2.042,1.631,3.664,0.707,1.986,1.609,4.263,0.668
2,6.435,2.343,1.628,4.295,0.733,2.333,1.958,4.089,0.8
4,6.438,1.759,1.709,4.045,0.761,1.807,1.342,5.117,0.937
3,6.666,2.031,1.358,5.767,1.013,2.162,1.29,4.921,0.912
3,6.889,1.745,1.617,4.582,0.959,1.784,1.312,4.864,0.887
4,6.913,1.963,1.43,4.839,0.877,1.807,1.875,4.28,1.068
3,7.126,2.423,1.272,5.721,0.782,1.876,1.681,5.216,1.001
3,7.341,2.081,1.306,5.945,0.988,2.234,1.381,5.719,0.752
1,7.399,2.419,1.657,4.225,0.846,2.08,1.844,4.031,0.686
3,7.493,2.391,1.566,4.37,0.905,2.361,1.345,5.026,0.85
4,8.15,1.748,1.64,5.1,0.973,1.878,1.887,4.651,0.841
