task_type,m1_1,m2_1,m3_1,m4_1
T2,0.165,0.366,0.744,0.801
T2,0.189,0.343,0.787,0.859
T2,0.185,0.392,0.798,0.749
T1,0.151,0.289,0.716,0.713
T2,0.173,0.367,0.832,0.846
T4,0.239,0.427,1.008,1.084
T3,0.186,0.444,0.839,0.902
T4,0.21,0.43,0.972,1.082
T2,0.164,0.369,0.789,0.757
T2,0.174,0.381,0.826,0.795
T3,0.196,0.425,0.892,0.97
T2,0.168,0.37,0.852,0.771
T1,0.145,0.29,0.647,0.684
T1,0.152,0.319,0.687,0.677
T1,0.158,0.316,0.694,0.734
T4,0.21,0.455,1.042,0.934
T4,0.214,0.478,0.917,1.008
T2,0.181,0.356,0.786,0.865
T4,0.209,0.445,1.067,1.018
T2,0.175,0.345,0.74,0.837
T3,0.204,0.38,0.881,0.842
T3,0.184,0.387,0.963,0.953
T4,0.226,0.492,1.063,0.967
T1,0.159,0.325,0.626,0.664
T3,0.205,0.409,0.855,0.876
T1,0.153,0.301,0.727,0.653
T4,0.241,0.429,1.031,0.953
T3,0.209,0.391,0.947,0.841
T3,0.197,0.393,0.955,0.899
T1,0.161,0.308,0.696,0.625
T2,0.173,0.36,0.85,0.746
T3,0.212,0.441,0.954,0.922
T3,0.188,0.437,0.94,0.86
T2,0.185,0.39,0.746,0.803
T1,0.159,0.284,0.646,0.625
T1,0.15,0.297,0.653,0.7
T3,0.213,0.379,0.885,0.908
T2,0.187,0.352,0.774,0.764
T4,0.226,0.452,0.992,0.993
T4,0.222,0.496,0.963,0.972
T2,0.165,0.369,0.796,0.855
T3,0.208,0.44,0.827,0.969
T4,0.222,0.43,1.065,1.039
T4,0.221,0.475,1.004,1.005
T2,0.184,0.384,0.811,0.837
T4,0.216,0.427,0.943,1.021
T3,0.191,0.422,0.86,0.91
T2,0.17,0.338,0.762,0.793
T3,0.214,0.393,0.888,0.899
T2,0.193,0.389,0.848,0.824
T1,0.154,0.301,0.663,0.633
T4,0.21,0.43,0.967,1.012
T3,0.213,0.425,0.94,0.886
T1,0.154,0.321,0.623,0.621
T2,0.176,0.366,0.864,0.743
T3,0.187,0.426,0.982,0.844
T3,0.211,0.414,0.982,0.968
T4,0.207,0.436,1.062,1.07
T3,0.212,0.399,0.836,0.876
T4,0.234,0.484,1.065,1.07
T4,0.221,0.484,1.057,0.927
T2,0.164,0.358,0.784,0.776
T1,0.15,0.286,0.734,0.706
T1,0.149,0.333,0.64,0.733
T2,0.181,0.37,0.846,0.745
T1,0.152,0.287,0.67,0.708
T2,0.189,0.392,0.779,0.767
T4,0.204,0.448,1.026,1.07
T4,0.208,0.451,1.046,0.919
T4,0.22,0.441,1.024,0.991
T4,0.22,0.475,0.915,1.039
T2,0.167,0.367,0.809,0.806
T3,0.205,0.382,0.859,0.933
T1,0.139,0.303,0.674,0.731
T3,0.199,0.396,0.886,0.848
T2,0.169,0.346,0.735,0.74
T2,0.178,0.338,0.74,0.757
T4,0.23,0.426,1.027,1.054
T3,0.212,0.42,0.933,0.94
T3,0.204,0.416,0.869,0.853
T2,0.181,0.353,0.81,0.734
T2,0.193,0.375,0.813,0.744
T3,0.204,0.41,0.978,0.95
T3,0.218,0.44,0.977,0.94
T3,0.214,0.448,0.934,0.932
T4,0.212,0.44,1.039,1.04
T3,0.187,0.449,0.846,0.86
T3,0.192,0.436,0.831,0.938
T4,0.206,0.429,1.078,0.973
T2,0.169,0.365,0.751,0.811
T3,0.198,0.409,0.95,0.951
T3,0.213,0.396,0.939,0.97
T1,0.149,0.285,0.678,0.643
T4,0.239,0.465,1.029,1.071
T1,0.141,0.289,0.688,0.676
T4,0.235,0.463,0.941,1.028
T4,0.223,0.425,0.927,1.084
T3,0.186,0.379,0.868,0.878
T4,0.237,0.469,0.942,1.08
T3,0.199,0.433,0.969,0.921
T2,0.193,0.366,0.739,0.781
T3,0.205,0.438,0.947,0.907
T3,0.186,0.42,0.94,0.885
T2,0.184,0.391,0.819,0.835
T2,0.179,0.396,0.792,0.783
T3,0.198,0.435,0.981,0.968
T1,0.157,0.323,0.696,0.719
T2,0.184,0.396,0.758,0.776
T2,0.173,0.39,0.812,0.73
T2,0.173,0.366,0.747,0.849
T3,0.201,0.408,0.83,0.954
T4,0.226,0.419,0.978,0.955
T1,0.158,0.32,0.702,0.733
T1,0.15,0.337,0.714,0.631
T2,0.19,0.382,0.782,0.76
T3,0.198,0.428,0.97,0.957
T2,0.167,0.36,0.806,0.816
T4,0.212,0.47,0.915,1.024
T2,0.176,0.37,0.735,0.808
T1,0.141,0.321,0.687,0.717
T3,0.198,0.419,0.844,0.975
T1,0.155,0.305,0.731,0.707
T1,0.142,0.284,0.644,0.711
T2,0.17,0.384,0.794,0.74
T1,0.14,0.33,0.667,0.633
T1,0.161,0.299,0.687,0.627
T1,0.141,0.287,0.668,0.705
T4,0.235,0.427,0.93,1.013
T4,0.205,0.465,0.994,0.917
T1,0.157,0.285,0.712,0.648
T4,0.241,0.479,0.943,0.952
T1,0.148,0.305,0.685,0.688
T1,0.147,0.314,0.7,0.715
T1,0.147,0.292,0.67,0.731
T4,0.221,0.477,0.949,1.012
T2,0.187,0.336,0.811,0.838
T1,0.149,0.285,0.728,0.736
T1,0.16,0.295,0.62,0.679
T3,0.21,0.38,0.96,0.952
T1,0.148,0.314,0.725,0.68
T2,0.171,0.379,0.818,0.83
T1,0.143,0.299,0.627,0.686
T1,0.141,0.329,0.65,0.723
T4,0.205,0.458,1.078,1.08
T4,0.236,0.438,1.038,0.989
T3,0.199,0.432,0.957,0.831
T2,0.165,0.351,0.731,0.842
T1,0.162,0.29,0.715,0.699
T1,0.142,0.3,0.655,0.69
T2,0.177,0.395,0.765,0.757
T4,0.216,0.425,0.947,1.011
T3,0.204,0.403,0.893,0.894
T3,0.197,0.441,0.981,0.893
T2,0.18,0.37,0.802,0.847
T1,0.141,0.305,0.619,0.712
T2,0.183,0.347,0.778,0.822
T3,0.186,0.419,0.843,0.843
T2,0.168,0.341,0.817,0.808
T2,0.19,0.344,0.784,0.757
T3,0.188,0.388,0.899,0.847
T2,0.169,0.343,0.787,0.77
T4,0.23,0.421,0.946,0.925
T4,0.226,0.439,0.929,1.063
T4,0.21,0.432,0.943,1.063
T4,0.226,0.448,1.004,0.916
T3,0.184,0.401,0.967,0.958
T3,0.197,0.394,0.829,0.921
T3,0.196,0.388,0.949,0.921
T3,0.199,0.449,0.826,0.914
T2,0.167,0.355,0.862,0.837
T4,0.206,0.467,1.027,0.997
T3,0.2,0.431,0.939,0.879
T3,0.199,0.38,0.896,0.86
T2,0.192,0.359,0.734,0.807
T1,0.145,0.315,0.724,0.685
T4,0.208,0.465,1.0,0.999
T3,0.217,0.445,0.96,0.895
T2,0.173,0.344,0.775,0.744
T1,0.162,0.311,0.699,0.634
T3,0.188,0.429,0.978,0.943
T3,0.197,0.418,0.842,0.905
T1,0.163,0.328,0.706,0.619
T4,0.217,0.493,0.974,0.914
T2,0.18,0.383,0.79,0.831
T4,0.225,0.427,1.029,0.981
T4,0.235,0.457,0.93,1.045
T3,0.199,0.399,0.928,0.855
T2,0.164,0.342,0.866,0.814
T1,0.141,0.288,0.688,0.622
T2,0.177,0.364,0.773,0.806
T4,0.223,0.492,0.999,0.92
T3,0.191,0.399,0.868,0.858
T3,0.213,0.44,0.888,0.921
T4,0.223,0.496,0.966,0.93
T3,0.214,0.436,0.958,0.964
T4,0.217,0.427,0.989,1.069
T2,0.177,0.373,0.83,0.769
