task_type,m1_1,m2_1,m3_1,m4_1
T2,24.776,54.952,111.522,120.203
T2,28.278,51.481,118.04,128.912
T2,27.738,58.856,119.67,112.404
T1,22.601,43.334,107.358,106.933
T2,25.933,55.116,124.791,126.922
T4,35.803,64.011,151.21,162.674
T3,27.854,66.561,125.855,135.248
T4,31.563,64.548,145.772,162.299
T2,24.565,55.299,118.302,113.554
T2,26.148,57.152,123.889,119.256
T3,29.358,63.722,133.738,145.44
T2,25.25,55.457,127.724,115.661
T1,21.819,43.503,97.012,102.608
T1,22.789,47.855,103.047,101.536
T1,23.67,47.33,104.073,110.071
T4,31.467,68.279,156.353,140.034
T4,32.061,71.677,137.517,151.254
T2,27.115,53.477,117.966,129.683
T4,31.305,66.69,160.067,152.696
T2,26.203,51.686,110.943,125.476
T3,30.613,57.04,132.125,126.349
T3,27.67,58.085,144.391,142.898
T4,33.905,73.829,159.456,145.062
T1,23.774,48.798,93.886,99.546
T3,30.777,61.41,128.316,131.43
T1,22.915,45.118,109.084,97.957
T4,36.088,64.417,154.707,142.956
T3,31.379,58.638,142.098,126.124
T3,29.557,58.922,143.226,134.855
T1,24.089,46.219,104.392,93.683
T2,25.964,54.057,127.507,111.923
T3,31.862,66.086,143.043,138.288
T3,28.152,65.559,140.997,129.02
T2,27.706,58.475,111.866,120.517
T1,23.868,42.617,96.901,93.793
T1,22.451,44.515,97.9,105.017
T3,31.96,56.81,132.787,136.261
T2,28.04,52.777,116.048,114.597
T4,33.837,67.805,148.849,148.912
T4,33.309,74.448,144.464,145.841
T2,24.721,55.313,119.4,128.287
T3,31.272,66.057,124.024,145.359
T4,33.305,64.533,159.759,155.869
T4,33.175,71.191,150.623,150.744
T2,27.531,57.634,121.61,125.477
T4,32.44,63.991,141.498,153.08
T3,28.723,63.282,129.057,136.568
T2,25.421,50.658,114.31,119.014
T3,32.137,58.898,133.21,134.788
T2,28.875,58.283,127.222,123.648
T1,23.121,45.201,99.47,95.016
T4,31.455,64.429,145.021,151.761
T3,31.911,63.81,140.925,132.865
T1,23.06,48.185,93.393,93.144
T2,26.327,54.884,129.608,111.51
T3,28.115,63.932,147.299,126.578
T3,31.581,62.139,147.279,145.23
T4,31.104,65.427,159.335,160.575
T3,31.793,59.846,125.37,131.449
T4,35.151,72.584,159.794,160.484
T4,33.1,72.531,158.621,138.986
T2,24.52,53.682,117.608,116.419
T1,22.563,42.839,110.152,105.921
T1,22.276,49.896,95.95,109.96
T2,27.161,55.562,126.897,111.81
T1,22.823,43.121,100.454,106.154
T2,28.319,58.877,116.906,115.012
T4,30.579,67.156,153.937,160.461
T4,31.175,67.72,156.953,137.778
T4,33.012,66.198,153.611,148.692
T4,33.051,71.212,137.265,155.813
T2,25.092,55.083,121.325,120.843
T3,30.772,57.341,128.828,139.887
T1,20.795,45.411,101.055,109.605
T3,29.908,59.341,132.966,127.147
T2,25.379,51.917,110.26,111.009
T2,26.729,50.726,110.983,113.562
T4,34.445,63.898,154.073,158.115
T3,31.765,63.04,139.928,141.048
T3,30.561,62.346,130.34,128.018
T2,27.098,52.907,121.421,110.133
T2,28.877,56.229,121.921,111.59
T3,30.598,61.55,146.625,142.459
T3,32.629,66.023,146.509,140.929
T3,32.077,67.202,140.038,139.811
T4,31.752,66.009,155.83,156.006
T3,28.074,67.328,126.841,129.0
T3,28.798,65.453,124.61,140.755
T4,30.846,64.302,161.676,146.011
T2,25.409,54.799,112.573,121.706
T3,29.648,61.422,142.555,142.576
T3,31.878,59.386,140.872,145.546
T1,22.297,42.827,101.658,96.431
T4,35.927,69.718,154.391,160.708
T1,21.158,43.361,103.165,101.351
T4,35.274,69.466,141.174,154.127
T4,33.513,63.746,138.988,162.659
T3,27.907,56.858,130.196,131.631
T4,35.553,70.28,141.339,162.014
T3,29.898,64.965,145.308,138.178
T2,28.875,54.962,110.804,117.193
T3,30.755,65.721,142.05,136.116
T3,27.881,62.946,141.061,132.74
T2,27.618,58.723,122.806,125.221
T2,26.834,59.43,118.81,117.388
T3,29.747,65.277,147.149,145.167
T1,23.595,48.452,104.346,107.819
T2,27.609,59.37,113.691,116.378
T2,26.003,58.575,121.822,109.533
T2,25.941,54.861,112.096,127.41
T3,30.106,61.253,124.571,143.043
T4,33.888,62.872,146.702,143.246
T1,23.762,47.962,105.255,110.01
T1,22.499,50.504,107.034,94.613
T2,28.529,57.271,117.348,114.025
T3,29.681,64.147,145.439,143.595
T2,25.039,54.052,120.905,122.423
T4,31.728,70.517,137.315,153.62
T2,26.458,55.458,110.189,121.178
T1,21.109,48.126,103.081,107.532
T3,29.662,62.833,126.613,146.245
T1,23.205,45.774,109.693,106.101
T1,21.366,42.622,96.535,106.726
T2,25.503,57.56,119.036,111.013
T1,20.939,49.552,100.069,94.934
T1,24.096,44.781,102.992,94.015
T1,21.151,43.005,100.198,105.826
T4,35.271,64.092,139.456,151.944
T4,30.738,69.757,149.057,137.612
T1,23.515,42.689,106.779,97.254
T4,36.125,71.925,141.454,142.812
T1,22.129,45.772,102.692,103.273
T1,22.011,47.161,105.04,107.194
T1,21.982,43.851,100.442,109.64
T4,33.191,71.511,142.343,151.802
T2,28.034,50.39,121.574,125.687
T1,22.301,42.683,109.183,110.376
T1,23.992,44.22,92.992,101.804
T3,31.569,57.009,143.952,142.739
T1,22.166,47.12,108.764,101.97
T2,25.613,56.919,122.76,124.564
T1,21.398,44.804,94.029,102.834
T1,21.199,49.313,97.485,108.497
T4,30.753,68.772,161.662,162.024
T4,35.37,65.634,155.634,148.289
T3,29.894,64.857,143.551,124.68
T2,24.703,52.629,109.643,126.286
T1,24.26,43.496,107.27,104.927
T1,21.324,45.048,98.276,103.521
T2,26.572,59.184,114.81,113.521
T4,32.391,63.806,142.048,151.69
T3,30.566,60.395,133.932,134.064
T3,29.504,66.228,147.181,133.946
T2,27.053,55.558,120.354,127.111
T1,21.158,45.711,92.826,106.809
T2,27.45,52.013,116.628,123.256
T3,27.858,62.837,126.381,126.465
T2,25.124,51.2,122.57,121.205
T2,28.435,51.588,117.593,113.598
T3,28.184,58.186,134.864,127.112
T2,25.359,51.416,118.078,115.453
T4,34.454,63.15,141.915,138.75
T4,33.892,65.785,139.42,159.471
T4,31.522,64.728,141.454,159.42
T4,33.87,67.197,150.546,137.421
T3,27.626,60.186,144.986,143.762
T3,29.584,59.037,124.369,138.108
T3,29.427,58.147,142.273,138.166
T3,29.834,67.332,123.927,137.17
T2,25.04,53.312,129.268,125.588
T4,30.911,69.983,154.111,149.554
T3,29.964,64.691,140.868,131.896
T3,29.914,56.956,134.389,128.982
T2,28.784,53.876,110.08,121.067
T1,21.674,47.201,108.58,102.791
T4,31.253,69.801,149.994,149.898
T3,32.504,66.797,143.931,134.18
T2,25.936,51.637,116.305,111.616
T1,24.313,46.702,104.904,95.154
T3,28.238,64.369,146.631,141.464
T3,29.618,62.641,126.277,135.722
T1,24.493,49.242,105.922,92.918
T4,32.54,73.971,146.168,137.074
T2,26.997,57.416,118.553,124.586
T4,33.816,64.092,154.37,147.078
T4,35.304,68.581,139.431,156.763
T3,29.865,59.817,139.26,128.195
T2,24.52,51.369,129.912,122.024
T1,21.161,43.25,103.214,93.351
T2,26.57,54.564,115.986,120.96
T4,33.499,73.813,149.92,137.972
T3,28.637,59.783,130.17,128.759
T3,31.966,65.938,133.258,138.167
T4,33.402,74.459,144.909,139.514
T3,32.159,65.405,143.721,144.572
T4,32.545,64.065,148.321,160.276
T2,26.534,55.942,124.44,115.355
T4,34.237,64.865,157.933,162.512
T3,29.522,64.144,129.726,145.078
T2,26.404,55.483,117.068,121.873
T3,32.469,64.956,145.363,146.45
T4,35.338,73.691,145.115,154.777
T3,30.218,63.14,130.093,133.566
T4,33.693,69.442,160.896,147.435
T3,32.594,61.739,145.156,125.352
T3,30.781,62.025,128.2,141.901
T3,32.59,58.34,125.369,146.927
T4,31.369,64.363,149.973,149.541
T4,34.348,69.951,158.997,160.273
T2,25.478,58.562,120.729,128.259
T1,23.466,47.298,104.954,105.911
T3,28.977,58.476,129.334,132.873
T2,24.359,53.52,128.744,115.321
T2,25.094,53.847,118.365,119.146
T4,32.722,71.131,140.648,161.78
T4,30.543,71.514,155.749,152.258
T1,24.521,49.859,96.765,110.148
T1,22.227,48.399,102.817,95.896
T2,28.037,54.538,126.327,112.595
T3,31.102,57.407,138.165,132.729
T3,28.034,60.189,137.917,129.341
T1,22.311,44.288,105.495,108.023
T3,29.547,63.285,137.013,134.978
T1,23.876,45.581,109.832,109.648
T1,23.062,47.252,99.31,108.683
T2,26.636,52.445,110.695,125.617
T2,28.549,50.136,127.566,113.26
T3,28.21,58.106,145.794,125.997
T3,28.842,60.784,144.461,130.924
T2,26.913,59.438,111.682,119.35
T3,29.857,66.004,134.665,142.153
T4,34.138,66.33,142.911,144.631
T1,21.125,47.186,98.231,102.54
T3,28.22,62.405,132.871,139.553
T2,25.049,51.196,129.267,110.858
T2,26.338,54.12,113.846,116.301
T3,32.558,64.028,143.899,142.369
T4,34.68,69.446,162.485,151.235
T1,23.598,50.543,100.944,106.736
T2,26.836,50.998,121.735,113.875
T2,26.288,54.078,121.84,120.552
T1,23.228,43.172,103.791,107.271
T2,24.869,54.326,129.165,127.117
T4,36.129,72.789,148.846,150.183
T2,24.502,50.298,124.119,124.338
T3,29.306,60.882,136.718,143.944
T2,24.546,58.222,109.591,112.431
T1,23.243,47.534,103.558,107.152
T3,31.06,57.211,135.659,134.427
T2,28.849,50.901,124.48,113.635
T1,23.293,44.112,97.456,97.974
T4,35.008,74.641,154.522,142.788
T4,32.082,66.668,143.407,152.023
T1,22.702,48.286,102.346,104.974
T4,35.495,73.865,162.61,145.469
T1,20.859,42.81,109.553,98.484
T2,28.416,54.677,110.457,111.949
T4,31.835,66.412,148.759,146.109
T1,24.388,47.899,105.342,102.605
T3,30.386,58.776,146.113,129.907
T4,32.058,66.669,149.774,139.664
T2,24.611,58.715,128.716,127.549
T1,20.679,44.937,97.81,106.022
T2,28.726,52.628,114.563,114.578
T2,24.755,55.007,116.949,122.66
T4,33.951,68.039,140.903,138.91
T2,24.811,55.461,121.632,118.265
T1,20.816,49.533,105.836,107.414
T2,28.418,58.185,120.118,119.536
T2,28.0,56.06,128.796,124.566
T3,30.575,61.43,147.352,147.096
T4,32.568,64.899,151.816,149.63
T3,31.347,57.467,146.632,139.282
T2,28.7,51.357,120.393,123.443
T2,27.492,57.918,117.113,110.404
T2,24.766,57.933,119.363,124.819
T2,24.791,58.586,115.38,115.473
T3,31.906,64.905,134.24,125.26
T4,30.998,74.197,151.378,157.584
T3,29.104,60.917,131.44,139.19
T1,22.956,46.467,110.145,102.961
T4,36.096,67.429,150.338,157.567
T2,24.582,56.154,128.806,113.334
T1,23.483,48.547,94.067,94.7
T3,28.196,65.212,133.785,127.922
T3,31.17,60.14,129.119,142.281
T3,32.274,64.714,129.297,132.961
T2,24.492,57.812,126.19,119.753
T2,26.672,59.298,116.209,113.757
T1,24.173,42.762,95.002,107.943
T4,35.644,70.652,146.853,156.943
T3,28.917,63.865,131.754,139.047
T1,23.985,47.443,94.084,94.15
T3,31.365,59.126,129.877,132.801
T1,22.205,43.774,105.979,98.572
T2,27.314,54.828,122.056,127.95
T1,23.663,44.527,104.88,100.533
T1,23.676,47.909,96.683,99.841
T1,21.41,43.117,106.197,107.281
T1,21.373,45.59,108.755,105.423
T2,25.774,51.621,124.306,121.401
T2,25.818,58.327,111.428,115.722
T4,34.127,71.683,140.429,157.612
T1,23.152,43.127,93.425,106.967
T3,31.689,62.249,136.734,131.632
T2,28.433,58.077,128.112,118.777
T1,21.775,45.313,102.243,92.854
T3,30.365,60.458,138.796,123.966
T1,23.414,48.866,96.553,102.814
T1,24.15,50.236,103.67,103.564
T3,32.468,60.583,138.812,134.414
T4,34.514,68.983,157.531,162.246
T4,30.574,72.969,141.816,150.874
T4,33.01,67.453,138.551,141.146
T2,26.536,59.363,126.201,116.143
T2,26.073,56.363,127.939,111.723
T4,36.117,65.829,161.631,140.741
T3,30.775,61.158,136.535,145.694
T3,28.34,59.233,133.169,137.806
T4,36.067,63.962,157.062,148.651
T1,23.069,47.895,105.514,95.474
T2,26.978,50.378,129.16,121.376
T2,27.105,51.848,122.961,130.001
T3,32.323,63.134,124.794,147.096
T2,24.631,59.536,123.568,112.898
T2,27.253,50.351,129.634,118.781
T3,28.502,61.591,143.896,145.598
T4,34.644,70.861,141.199,162.425
T4,35.108,73.523,152.184,144.771
T2,27.156,54.918,120.025,127.226
T2,26.081,59.433,116.248,119.313
T2,27.073,50.943,123.231,128.46
T3,32.149,66.415,142.181,146.47
T4,35.498,65.063,161.692,148.074
T1,23.073,45.77,100.239,95.95
T3,29.605,65.338,146.563,130.693
T4,35.123,65.501,137.337,160.761
T3,32.517,67.105,125.937,142.611
T3,32.073,66.912,132.655,142.195
T1,21.711,48.434,103.668,106.467
T2,27.59,53.179,114.5,118.103
T4,35.199,73.015,151.58,139.878
T1,21.61,47.081,93.213,108.629
T3,28.155,61.667,123.95,140.744
T2,25.19,56.42,110.415,115.725
T2,28.148,52.747,126.611,119.751
T3,30.031,64.175,135.041,147.347
T1,20.672,47.215,95.761,101.698
T4,31.905,70.439,155.047,142.902
T3,28.371,57.348,125.194,144.36
T2,26.886,58.283,129.794,127.108
T4,34.033,67.114,139.22,155.669
T2,26.785,56.013,116.537,113.579
T4,32.731,74.731,149.709,161.782
T1,23.68,42.79,110.039,102.401
T4,31.999,70.152,155.172,157.203
T1,23.722,45.739,105.591,94.738
T2,26.753,58.72,129.041,115.612
T4,33.324,65.164,150.891,148.744
T1,21.535,48.837,105.84,100.307
T2,28.351,50.562,116.269,124.565
T3,31.603,67.488,127.713,132.939
T4,34.731,68.906,159.046,139.57
T1,20.979,46.865,98.219,97.264
T4,32.314,68.185,149.476,159.045
T2,27.936,55.067,110.662,110.39
T2,27.855,56.037,126.537,112.589
T4,32.301,62.979,147.124,153.91
T1,22.529,42.999,107.949,110.083
T4,35.402,66.956,144.417,153.704
T1,23.977,46.363,103.044,102.406
T1,22.63,48.342,107.669,104.326
T2,28.883,57.14,111.959,111.444
T3,31.771,62.609,130.094,125.926
T1,22.857,45.563,109.714,106.372
T4,35.878,68.499,149.511,154.698
T2,24.927,55.982,116.89,129.214
T4,34.845,68.299,147.944,141.75
T2,28.716,58.555,128.867,111.547
T4,33.185,64.358,158.023,151.636
T1,23.154,47.302,100.707,95.206
T1,22.09,44.081,105.295,104.896
T2,26.896,58.683,117.021,110.566
T2,28.512,52.941,121.939,127.698
T2,26.32,55.886,127.86,115.108
T3,30.807,58.666,143.669,130.469
T1,24.021,43.913,96.045,107.899
T2,26.113,56.544,121.078,126.92
T1,23.596,43.063,98.131,105.112
T2,24.519,58.007,125.504,128.537
T3,30.937,57.991,140.076,127.71
T2,26.907,58.968,116.664,126.531
T1,24.27,42.601,94.1,98.875
T3,31.298,62.272,138.962,131.464
T4,35.79,68.872,151.988,144.773
T2,27.916,54.061,116.081,117.373
T4,36.031,65.458,153.443,158.006
T3,28.174,59.169,132.603,146.891
T2,26.238,59.551,117.645,121.821
T2,27.599,56.095,128.919,129.026
T3,28.334,65.13,145.468,145.966
T1,24.163,47.614,100.581,108.62
T4,31.453,64.977,153.363,152.846
T3,30.787,63.809,144.004,146.413
T1,20.857,47.709,94.388,101.506
T2,24.635,54.763,111.028,119.898
T3,28.667,63.941,130.09,140.404
T4,32.373,69.672,140.553,160.975
T2,27.982,50.7,116.402,128.64
T4,32.202,64.269,162.817,148.692
T3,27.563,61.129,127.076,144.085
T4,33.216,71.739,142.46,152.659
T4,34.105,63.511,145.777,149.902
T4,32.668,68.192,152.186,150.762
T1,22.475,49.047,104.359,95.145
T1,21.608,44.553,93.585,107.709
T3,29.833,66.003,125.418,134.012
T2,27.021,53.493,121.636,114.36
T1,22.774,45.315,104.603,98.022
T4,31.523,73.412,151.028,147.347
T1,24.487,45.905,97.185,97.643
T4,33.784,70.383,142.419,159.936
T1,22.108,49.135,109.719,100.67
T1,20.885,45.798,97.945,97.266
T2,26.822,53.363,114.89,111.247
T1,21.808,47.812,107.649,99.356
T3,28.007,66.578,139.325,145.919
T1,23.42,44.419,106.007,107.576
T2,27.046,52.217,111.079,124.206
T2,26.14,55.168,109.601,113.023
T2,24.573,55.545,112.636,125.018
T4,32.352,73.889,159.817,142.351
T2,28.579,53.903,126.819,128.867
T1,23.158,48.808,108.628,101.055
T2,24.744,52.343,109.885,129.723
