task_type,m1_1,m2_1,m3_1,m4_1
T2,0.33,0.733,1.487,1.603
T2,0.377,0.686,1.574,1.719
T2,0.37,0.785,1.596,1.499
T1,0.301,0.578,1.431,1.426
T2,0.346,0.735,1.664,1.692
T4,0.477,0.853,2.016,2.169
T3,0.371,0.888,1.678,1.803
T4,0.421,0.861,1.944,2.164
T2,0.328,0.737,1.577,1.514
T2,0.349,0.762,1.652,1.59
T3,0.391,0.85,1.783,1.939
T2,0.337,0.739,1.703,1.542
T1,0.291,0.58,1.294,1.368
T1,0.304,0.638,1.374,1.354
T1,0.316,0.631,1.388,1.468
T4,0.42,0.91,2.085,1.867
T4,0.427,0.956,1.834,2.017
T2,0.361,0.713,1.573,1.729
T4,0.417,0.889,2.134,2.036
T2,0.349,0.689,1.479,1.673
T3,0.408,0.761,1.762,1.685
T3,0.369,0.774,1.925,1.905
T4,0.452,0.984,2.126,1.934
T1,0.317,0.651,1.252,1.327
T3,0.41,0.819,1.711,1.752
T1,0.305,0.602,1.454,1.306
T4,0.481,0.859,2.063,1.906
T3,0.418,0.782,1.895,1.682
T3,0.394,0.786,1.91,1.798
T1,0.321,0.616,1.392,1.249
T2,0.346,0.721,1.7,1.492
T3,0.425,0.881,1.907,1.844
T3,0.375,0.874,1.88,1.72
T2,0.369,0.78,1.492,1.607
T1,0.318,0.568,1.292,1.251
T1,0.299,0.594,1.305,1.4
T3,0.426,0.757,1.771,1.817
T2,0.374,0.704,1.547,1.528
T4,0.451,0.904,1.985,1.985
T4,0.444,0.993,1.926,1.945
T2,0.33,0.737,1.592,1.71
T3,0.417,0.881,1.654,1.938
T4,0.444,0.86,2.13,2.078
T4,0.442,0.949,2.008,2.01
T2,0.367,0.768,1.621,1.673
T4,0.432,0.853,1.887,2.041
T3,0.383,0.844,1.721,1.821
T2,0.339,0.675,1.524,1.587
T3,0.428,0.785,1.776,1.797
T2,0.385,0.777,1.696,1.649
T1,0.308,0.603,1.326,1.267
T4,0.419,0.859,1.934,2.023
T3,0.425,0.851,1.879,1.772
T1,0.307,0.642,1.245,1.242
T2,0.351,0.732,1.728,1.487
T3,0.375,0.852,1.964,1.688
T3,0.421,0.829,1.964,1.936
T4,0.415,0.872,2.124,2.141
T3,0.424,0.798,1.672,1.753
T4,0.469,0.968,2.131,2.14
T4,0.441,0.967,2.115,1.853
T2,0.327,0.716,1.568,1.552
T1,0.301,0.571,1.469,1.412
T1,0.297,0.665,1.279,1.466
T2,0.362,0.741,1.692,1.491
T1,0.304,0.575,1.339,1.415
T2,0.378,0.785,1.559,1.533
T4,0.408,0.895,2.052,2.139
T4,0.416,0.903,2.093,1.837
T4,0.44,0.883,2.048,1.983
T4,0.441,0.949,1.83,2.078
T2,0.335,0.734,1.618,1.611
T3,0.41,0.765,1.718,1.865
T1,0.277,0.605,1.347,1.461
T3,0.399,0.791,1.773,1.695
T2,0.338,0.692,1.47,1.48
T2,0.356,0.676,1.48,1.514
T4,0.459,0.852,2.054,2.108
T3,0.423,0.841,1.866,1.881
T3,0.407,0.831,1.738,1.707
T2,0.361,0.705,1.619,1.468
T2,0.385,0.75,1.626,1.488
T3,0.408,0.821,1.955,1.899
T3,0.435,0.88,1.953,1.879
T3,0.428,0.896,1.867,1.864
T4,0.423,0.88,2.078,2.08
T3,0.374,0.898,1.691,1.72
T3,0.384,0.873,1.662,1.877
T4,0.411,0.857,2.156,1.947
T2,0.339,0.731,1.501,1.623
T3,0.395,0.819,1.901,1.901
T3,0.425,0.792,1.878,1.941
T1,0.297,0.571,1.355,1.286
T4,0.479,0.93,2.059,2.143
T1,0.282,0.578,1.376,1.351
T4,0.47,0.926,1.882,2.055
T4,0.447,0.85,1.853,2.169
T3,0.372,0.758,1.736,1.755
T4,0.474,0.937,1.885,2.16
T3,0.399,0.866,1.937,1.842
T2,0.385,0.733,1.477,1.563
T3,0.41,0.876,1.894,1.815
T3,0.372,0.839,1.881,1.77
T2,0.368,0.783,1.637,1.67
T2,0.358,0.792,1.584,1.565
T3,0.397,0.87,1.962,1.936
T1,0.315,0.646,1.391,1.438
T2,0.368,0.792,1.516,1.552
T2,0.347,0.781,1.624,1.46
T2,0.346,0.731,1.495,1.699
T3,0.401,0.817,1.661,1.907
T4,0.452,0.838,1.956,1.91
T1,0.317,0.639,1.403,1.467
T1,0.3,0.673,1.427,1.262
T2,0.38,0.764,1.565,1.52
T3,0.396,0.855,1.939,1.915
T2,0.334,0.721,1.612,1.632
T4,0.423,0.94,1.831,2.048
T2,0.353,0.739,1.469,1.616
T1,0.281,0.642,1.374,1.434
T3,0.395,0.838,1.688,1.95
T1,0.309,0.61,1.463,1.415
T1,0.285,0.568,1.287,1.423
T2,0.34,0.767,1.587,1.48
T1,0.279,0.661,1.334,1.266
T1,0.321,0.597,1.373,1.254
T1,0.282,0.573,1.336,1.411
T4,0.47,0.855,1.859,2.026
T4,0.41,0.93,1.987,1.835
T1,0.313,0.569,1.424,1.297
T4,0.482,0.959,1.886,1.904
T1,0.295,0.61,1.369,1.377
T1,0.293,0.629,1.401,1.429
T1,0.293,0.585,1.339,1.462
T4,0.443,0.953,1.898,2.024
T2,0.374,0.672,1.621,1.676
T1,0.297,0.569,1.456,1.472
T1,0.32,0.59,1.24,1.357
T3,0.421,0.76,1.919,1.903
T1,0.295,0.628,1.45,1.36
