task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
1,0.571,2.321,1.876,4.279,0.757,2.069,1.512,4.624,0.759
2,1.235,2.227,2.005,4.128,0.737,2.587,1.561,4.089,0.808
2,1.504,2.035,1.719,4.536,0.775,2.248,1.995,5.076,0.833
2,1.548,2.416,2.084,4.931,0.991,2.534,1.799,4.225,0.852
1,2.728,2.337,1.613,4.76,0.816,2.308,1.638,4.945,0.668
1,2.774,2.575,1.459,4.533,0.803,2.314,1.885,3.624,0.633
1,2.844,2.104,1.869,4.067,0.786,1.904,1.654,4.322,0.765
2,3.267,2.145,2.098,4.237,0.792,2.397,1.633,3.93,0.914
2,4.096,2.426,1.804,4.396,0.726,2.295,1.716,3.642,0.897
2,4.276,2.635,1.921,4.623,0.772,2.044,1.95,4.686,0.907
1,4.647,2.193,1.754,4.87,0.759,2.261,1.989,4.038,0.775
2,4.939,2.381,1.843,4.107,0.916,1.904,1.891,3.812,0.926
1,5.01,1.956,1.457,4.962,0.824,1.906,1.738,4.977,0.843
2,5.156,2.169,1.859,4.472,0.826,2.23,1.617,4.613,0.893
2,5.242,2.622,1.77,4.22,0.854,2.438,1.832,4.673,0.784
2,5.925,1.905,1.823,4.014,0.886,1.99,1.654,4.418,0.952
2,6.286,1.944,1.666,4.014,0.861,2.035,1.743,4.175,0.858
1,6.792,2.12,1.858,4.871,0.626,2.075,1.486,4.916,0.852
2,7.273,2.327,1.959,4.674,0.837,1.902,1.959,4.893,0.756
2,7.703,2.482,2.117,3.778,0.963,2.1,1.965,4.346,0.961
1,8.296,1.896,1.646,3.797,0.842,2.221,1.643,4.759,0.837
2,9.249,1.871,1.591,4.356,0.74,1.921,2.056,4.498,0.804
1,10.036,1.982,1.443,4.749,0.632,2.185,1.961,5.036,0.712
2,10.69,2.183,1.609,4.592,0.728,2.373,1.681,4.082,0.877
2,11.097,2.391,1.532,5.111,0.91,2.325,1.733,5.043,0.884
1,11.988,1.913,1.546,4.575,0.825,1.922,1.478,4.088,0.843
