task_type,arrival_time
T3,0.162
T4,0.254
T3,0.295
T4,0.56
T3,0.68
T3,1.806
T1,2.323
T3,2.75
T2,2.971
T1,3.139
T1,4.206
T2,4.332
T4,4.349
T2,4.371
T2,4.764
T3,4.868
T2,5.152
T3,5.237
T3,5.625
T2,5.672
T2,5.747
T3,5.919
T1,5.993
T2,6.147
T1,6.216
T1,6.352
T3,6.527
T2,7.645
T3,7.701
T1,7.828
T2,7.834
T1,8.394
T2,8.584
T2,8.869
T1,8.881
T2,8.931
T3,8.988
T2,9.147
T3,9.149
T4,9.301
T2,9.72
T3,10.274
T1,10.412
T3,10.438
T2,10.773
T2,11.292
T3,11.943
T1,11.951
T3,12.023
T3,12.121
T1,12.129
T1,12.251
T3,12.294
T3,12.362
T1,12.656
T3,13.099
T1,13.576
T2,13.729
T4,14.598
T2,14.799
T4,15.446
T3,15.609
T1,15.678
T2,16.02
T4,16.361
T3,16.435
T4,16.482
T1,16.632
T2,16.79
T3,17.132
T1,17.184
T2,17.337
T3,17.443
T2,17.444
T2,17.923
T4,18.143
T2,18.289
T4,18.407
T3,19.732
T3,19.826
T1,20.35
T3,20.474
T3,21.111
T1,22.275
T3,22.348
T4,23.122
T2,23.125
T1,23.763
T4,23.927
T4,24.504
T4,24.595
T3,24.772
T4,25.172
T3,25.282
T2,25.621
T1,25.847
T1,25.929
T1,25.961
T2,25.982
T2,26.208
T2,26.532
T2,26.589
T3,26.683
T3,27.14
T1,27.186
T4,27.235
T2,27.698
T4,27.764
T3,27.86
T1,27.991
T2,28.042
T3,29.071
T4,29.124
T4,29.37
T3,29.407
T2,29.746
T1,29.924
T3,30.961
T3,31.121
T4,31.419
T2,31.533
T2,31.959
T4,32.224
T3,32.26
T4,32.439
T2,32.723
T4,33.004
T1,33.006
T3,33.084
T2,33.355
T1,33.65
T2,33.704
T4,34.408
T1,34.445
T2,34.558
T2,34.997
T4,35.033
T4,35.366
T2,35.438
T2,35.52
T2,35.65
T1,35.771
T3,36.44
T1,36.544
T2,36.924
T2,36.977
T2,37.253
T2,37.421
T4,37.505
T2,37.67
T3,37.844
T3,37.906
T1,37.911
T4,37.926
T3,38.278
T1,38.775
T1,38.969
T3,39.119
T2,39.158
T3,39.267
T2,39.295
T3,39.828
T2,40.372
T1,40.386
T2,40.396
T4,40.42
T2,40.57
T3,41.025
T2,41.32
T2,41.718
T4,42.062
T3,42.285
T4,42.551
T4,42.736
T2,42.856
T4,42.931
T4,42.959
