task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
2,0.192,4.166,1.605,6.093,2.825
2,0.721,1.641,0.959,3.163,2.119
2,0.991,4.516,0.703,5.986,1.242
1,1.002,1.949,0.607,1.407,1.182
1,1.223,1.004,0.875,1.3,1.377
1,1.804,1.286,1.257,1.835,0.788
2,2.521,8.012,1.641,12.185,3.259
2,2.552,5.388,0.855,7.338,0.818
1,2.614,1.469,0.619,0.986,1.246
1,2.797,1.435,1.245,2.074,1.451
1,2.87,0.994,0.756,1.308,1.261
2,3.369,9.34,0.865,8.408,0.919
1,3.374,1.244,0.654,0.996,1.446
2,3.515,10.601,0.733,4.445,2.038
1,4.022,1.242,0.811,1.763,0.934
1,4.48,0.976,0.992,1.822,1.24
1,4.577,1.308,1.213,2.18,0.847
2,4.615,8.1,0.811,13.751,0.617
1,4.964,1.499,0.731,1.786,0.627
2,5.036,1.743,1.085,2.928,1.324
2,5.141,10.779,1.21,4.081,0.669
2,5.74,7.758,1.943,5.487,1.976
1,5.762,1.813,1.131,1.221,1.255
2,6.037,7.084,1.688,2.234,3.259
1,6.755,1.506,1.189,1.234,1.073
1,7.139,1.08,0.625,1.038,1.088
1,7.448,1.3,1.393,1.292,1.244
1,7.98,1.244,0.75,1.268,0.612
1,8.021,1.318,0.951,1.098,0.993
1,8.143,1.791,0.902,1.44,0.638
2,8.522,8.715,2.984,6.873,1.324
1,8.713,2.001,0.934,1.101,1.182
1,8.813,1.475,0.811,1.232,1.396
2,8.815,8.946,0.704,6.134,0.787
2,8.914,4.825,1.301,1.484,0.66
2,8.948,3.028,3.544,5.141,0.743
2,8.99,3.755,0.737,5.68,1.216
2,9.143,12.079,1.293,3.888,1.966
1,9.87,1.994,0.611,1.323,0.912
1,9.928,1.242,1.027,1.201,0.937
1,10.461,2.441,0.837,1.294,0.855
2,11.234,4.705,2.017,12.106,0.675
1,11.337,1.801,0.92,1.309,0.861
1,11.576,2.333,0.839,0.944,0.911
2,12.043,2.563,1.194,2.313,1.092
2,12.269,5.734,1.061,12.422,1.776
2,12.548,1.703,3.457,3.923,3.113
2,12.752,8.055,1.605,7.019,2.142
1,12.868,0.991,0.932,1.178,0.629
1,13.47,1.241,1.131,1.257,0.643
2,14.102,8.408,0.699,11.458,0.677
1,14.833,1.757,0.936,1.321,1.149
1,14.982,1.201,0.617,1.401,0.785
2,15.046,4.456,1.857,4.529,1.216
1,15.614,1.27,0.905,1.244,0.861
1,15.691,1.795,1.142,1.448,1.444
2,15.976,5.594,3.336,3.133,1.787
2,16.043,5.068,1.229,4.039,0.853
2,16.225,3.357,1.212,7.24,0.608
1,16.73,1.436,0.725,1.812,0.625
1,16.839,2.025,1.047,1.294,1.388
2,17.243,4.845,2.984,6.126,2.508
2,17.45,3.652,2.394,10.061,0.853
1,17.716,1.747,1.109,1.398,0.934
1,17.719,1.82,0.836,1.433,0.883
1,17.967,1.006,0.914,1.262,0.927
2,18.11,2.747,1.601,3.282,1.28
1,18.248,2.046,0.624,1.934,1.228
1,18.371,1.224,1.389,1.201,0.779
2,19.068,6.492,0.891,4.339,2.751
1,19.888,1.344,1.217,1.214,0.991
2,19.971,3.47,1.707,4.081,0.815
1,20.117,1.944,1.383,1.351,0.947
2,20.133,8.293,2.998,1.918,0.738
2,20.239,7.156,1.42,12.348,1.637
