task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.079,2.23,1.733,4.128,0.783,2.014,1.674,4.176,0.923
2,2.095,1.912,1.578,4.356,0.79,2.541,1.544,4.024,0.977
2,2.484,2.571,1.655,3.876,0.907,2.612,1.938,4.995,0.858
2,2.693,2.645,1.786,4.002,0.88,2.329,1.917,3.992,0.934
2,2.95,2.116,1.612,4.356,0.799,2.16,1.516,4.392,0.817
2,3.728,2.592,1.655,4.331,0.736,2.573,1.626,4.238,0.955
2,3.769,2.122,1.702,3.912,0.999,2.252,2.109,4.128,0.752
2,4.116,2.019,1.811,4.125,0.953,2.108,1.656,4.225,0.97
2,5.84,2.446,1.892,4.472,0.738,2.531,1.743,3.74,0.89
2,6.303,2.498,1.644,4.017,0.85,2.045,1.794,3.885,0.727
2,7.129,2.095,1.936,4.152,0.891,2.404,1.721,5.091,0.861
2,7.414,1.886,2.04,3.97,0.913,2.388,1.97,4.133,0.896
2,7.948,2.122,2.027,3.95,0.981,2.467,1.974,4.275,0.729
2,7.977,2.632,2.002,4.832,0.88,2.139,1.609,3.709,0.931
2,8.062,1.881,1.903,4.568,0.973,2.351,2.027,5.085,0.736
2,8.576,2.26,2.009,4.772,0.89,2.192,1.847,4.658,1.003
2,8.712,2.122,2.015,4.589,0.783,1.876,2.047,3.823,0.969
2,9.421,2.052,1.964,3.632,0.987,2.582,1.575,4.441,0.924
2,9.858,2.526,1.587,3.972,0.722,1.925,1.565,4.181,1.0
2,10.08,2.062,1.553,4.93,0.998,2.122,2.127,4.041,0.74
2,10.173,2.169,1.98,4.645,0.909,2.115,1.795,4.055,0.795
2,10.419,2.49,2.012,4.933,0.926,2.109,1.968,4.477,1.002
2,11.16,1.904,1.626,4.772,0.866,2.509,1.519,3.975,0.857
2,11.767,2.635,1.854,3.637,0.91,2.121,1.797,4.383,0.962
2,11.77,1.97,2.009,3.636,0.899,1.892,1.813,4.536,0.886
2,11.971,1.918,1.567,4.344,0.938,2.34,1.54,4.584,1.017
2,12.044,1.98,1.62,4.545,0.882,2.116,1.9,4.777,0.77
2,12.343,2.622,1.619,4.462,0.767,2.211,1.918,4.584,0.883
2,13.01,2.4,1.887,4.934,0.836,2.246,1.769,3.886,0.763
2,13.07,1.921,1.994,4.25,0.763,2.517,1.935,4.222,0.97
2,14.643,2.614,2.122,4.773,0.803,2.316,2.089,5.003,1.015
