task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
1,0.219,1.977,1.052,1.912,1.053
1,1.131,1.913,1.074,1.994,1.072
1,1.632,1.946,1.044,1.999,1.005
2,1.848,3.021,5.927,3.073,5.98
1,2.162,1.954,1.001,1.929,1.077
2,2.247,3.033,5.987,3.078,5.945
1,2.371,1.957,1.013,1.967,1.025
1,2.978,1.923,1.021,1.911,1.086
1,2.999,1.924,1.004,1.964,1.08
1,3.153,1.982,1.005,1.932,1.005
1,3.881,1.955,1.017,1.94,1.065
1,3.932,1.982,1.063,1.915,1.063
1,4.177,1.914,1.055,1.95,1.032
1,4.985,1.929,1.041,1.976,1.087
1,5.325,1.994,1.079,1.915,1.075
1,5.351,1.916,1.055,1.986,1.064
1,6.178,1.916,1.087,1.954,1.057
1,6.191,1.914,1.056,1.987,1.043
1,6.193,1.997,1.065,1.948,1.067
2,6.328,3.063,5.931,3.075,5.98
2,6.387,3.053,5.925,3.09,5.949
2,7.051,3.013,5.923,3.013,5.98
1,7.595,1.99,1.072,1.928,1.062
1,7.616,1.932,1.063,1.91,1.037
1,8.077,1.991,1.018,1.987,1.055
1,8.592,1.98,1.008,1.907,1.003
1,8.701,1.982,1.021,1.994,1.062
1,9.342,1.911,1.033,1.925,1.031
2,9.881,3.01,5.959,3.056,5.931
1,9.958,1.957,1.091,1.901,1.058
1,10.433,1.974,1.005,1.926,1.049
1,10.582,1.99,1.077,1.912,1.007
1,10.759,1.982,1.069,1.945,1.093
1,10.801,1.974,1.064,1.986,1.092
1,12.353,1.963,1.091,1.946,1.018
1,12.589,1.905,1.074,1.939,1.094
1,12.771,1.915,1.005,1.98,1.014
2,13.331,3.081,5.941,3.049,5.969
1,13.789,1.923,1.046,1.972,1.072
2,14.181,3.042,5.998,3.003,5.941
1,14.734,1.975,1.034,1.942,1.056
2,14.825,3.064,5.966,3.058,5.987
2,15.38,3.063,5.932,3.074,5.937
2,16.031,3.038,5.913,3.046,5.978
2,16.884,3.071,5.968,3.017,5.928
1,17.138,1.998,1.06,1.903,1.078
1,17.241,1.913,1.084,1.995,1.032
1,18.018,1.98,1.008,1.994,1.054
1,18.922,1.94,1.052,1.916,1.032
1,19.048,1.951,1.086,1.976,1.054
2,19.216,3.038,5.963,3.069,5.91
2,20.302,3.051,5.945,3.002,5.919
2,20.911,3.021,5.911,3.039,5.975
1,20.943,1.957,1.097,1.912,1.027
1,21.301,1.996,1.074,1.98,1.035
1,21.453,1.972,1.013,1.93,1.06
1,21.557,1.956,1.087,1.929,1.055
1,21.766,1.991,1.048,1.986,1.091
1,21.889,1.957,1.014,1.957,1.021
1,21.956,1.916,1.088,1.965,1.043
1,24.212,1.993,1.087,1.957,1.061
1,25.159,1.928,1.009,1.95,1.044
1,25.921,1.952,1.029,1.945,1.087
1,26.492,1.907,1.057,1.974,1.057
1,26.505,1.964,1.012,1.979,1.047
1,27.969,1.926,1.066,1.909,1.058
1,28.506,1.941,1.097,1.988,1.041
1,28.854,1.916,1.002,1.907,1.034
1,28.983,1.997,1.016,1.936,1.061
2,30.753,3.023,5.973,3.006,5.99
