task_type,m1_1,m2_1,m3_1,m4_1
T2,32.532,64.666,116.906,126.006
T2,37.131,60.581,123.739,135.135
T2,36.422,69.26,125.447,117.831
T1,30.558,52.509,115.882,115.424
T2,34.052,64.859,130.816,133.05
T4,44.846,71.857,151.21,162.674
T3,35.67,76.391,128.67,138.273
T4,39.535,72.46,145.772,162.299
T2,32.255,65.075,124.013,119.037
T2,34.335,67.255,129.87,125.013
T3,37.596,73.133,136.729,148.693
T2,33.155,65.26,133.89,121.245
T1,29.5,52.713,104.715,110.755
T1,30.812,57.987,111.229,109.599
T1,32.003,57.35,112.337,118.81
T4,39.415,76.649,156.353,140.034
T4,40.159,80.463,137.517,151.254
T2,35.604,62.931,123.661,135.943
T4,39.213,74.865,160.067,152.696
T2,34.407,60.823,116.299,131.533
T3,39.204,65.464,135.08,129.175
T3,35.434,66.663,147.62,146.094
T4,42.47,82.879,159.456,145.062
T1,32.144,59.129,101.341,107.451
T3,39.413,70.48,131.186,134.37
T1,30.982,54.67,117.745,105.735
T4,45.204,72.314,154.707,142.956
T3,40.184,67.298,145.276,128.945
T3,37.85,67.624,146.429,137.871
T1,32.569,56.004,112.68,101.121
T2,34.093,63.613,133.662,117.327
T3,40.803,75.846,146.243,141.381
T3,36.051,75.242,144.15,131.906
T2,36.38,68.812,117.266,126.335
T1,32.271,51.64,104.595,101.24
T1,30.355,53.94,105.674,113.355
T3,40.928,65.2,135.757,139.309
T2,36.818,62.106,121.65,120.129
T4,42.384,76.117,148.849,148.912
T4,41.722,83.574,144.464,145.841
T2,32.46,65.091,125.165,134.481
T3,40.047,75.812,126.798,148.61
T4,41.718,72.444,159.759,155.869
T4,41.555,79.917,150.623,150.744
T2,36.15,67.822,127.481,131.535
T4,40.634,71.834,141.498,153.08
T3,36.783,72.628,131.943,139.623
T2,33.38,59.613,119.829,124.76
T3,41.154,67.597,136.189,137.802
T2,37.915,68.586,133.364,129.617
T1,31.261,54.771,107.368,102.561
T4,39.4,72.327,145.021,151.761
T3,40.866,73.234,144.077,135.837
T1,31.178,58.386,100.809,100.54
T2,34.569,64.586,135.866,116.893
T3,36.004,73.374,150.593,129.409
T3,40.443,71.316,150.573,148.478
T4,38.961,73.447,159.335,160.575
T3,40.714,68.684,128.174,134.389
T4,44.03,81.481,159.794,160.484
T4,41.46,81.421,158.621,138.986
T2,32.197,63.171,123.285,122.039
T1,30.506,51.909,118.899,114.331
T1,30.118,60.46,103.569,118.692
T2,35.664,65.384,133.023,117.208
T1,30.858,52.25,108.43,114.583
T2,37.184,69.285,122.55,120.564
T4,38.304,75.388,153.937,160.461
T4,39.05,76.021,156.953,137.778
T4,41.351,74.313,153.611,148.692
T4,41.4,79.941,137.265,155.813
T2,32.947,64.82,127.182,126.677
T3,39.407,65.81,131.709,143.015
T1,28.115,55.026,109.079,118.308
T3,38.301,68.105,135.94,129.99
T2,33.324,61.094,115.583,116.369
T2,35.097,59.693,116.341,119.044
T4,43.146,71.73,154.073,158.115
T3,40.678,72.35,143.057,144.202
T3,39.137,71.554,133.255,130.881
T2,35.581,62.259,127.282,115.45
T2,37.917,66.169,127.807,116.978
T3,39.185,70.641,149.904,145.645
T3,41.785,75.774,149.785,144.081
T3,41.078,77.127,143.169,142.938
T4,39.772,74.101,155.83,156.006
T3,35.951,77.272,129.678,131.885
T3,36.879,75.119,127.397,143.903
T4,38.637,72.184,161.676,146.011
T2,33.364,64.486,118.008,127.581
