task_type,m1_1,m2_1,m3_1,m4_1
T2,0.039,0.07,1.135,1.929
T2,0.045,0.066,1.201,2.069
T2,0.044,0.075,1.218,1.804
T1,0.003,0.004,0.079,0.124
T2,0.041,0.07,1.27,2.037
T4,0.236,0.339,6.391,10.845
T3,0.045,0.087,1.317,2.232
T4,0.208,0.342,6.161,10.82
T2,0.039,0.071,1.204,1.823
T2,0.041,0.073,1.261,1.914
T3,0.048,0.084,1.399,2.4
T2,0.04,0.071,1.3,1.856
T1,0.003,0.004,0.071,0.119
T1,0.003,0.004,0.076,0.118
T1,0.003,0.004,0.076,0.127
T4,0.207,0.362,6.609,9.336
T4,0.211,0.38,5.812,10.084
T2,0.043,0.068,1.2,2.081
T4,0.206,0.353,6.765,10.18
T2,0.041,0.066,1.129,2.014
T3,0.05,0.075,1.383,2.085
T3,0.045,0.076,1.511,2.358
T4,0.223,0.391,6.74,9.671
T1,0.003,0.005,0.069,0.115
T3,0.05,0.08,1.343,2.169
T1,0.003,0.004,0.08,0.113
T4,0.237,0.341,6.539,9.53
T3,0.051,0.077,1.487,2.082
T3,0.048,0.077,1.499,2.226
T1,0.003,0.004,0.077,0.109
T2,0.041,0.069,1.297,1.796
T3,0.052,0.087,1.497,2.282
T3,0.046,0.086,1.475,2.129
T2,0.044,0.075,1.138,1.934
T1,0.003,0.004,0.071,0.109
T1,0.003,0.004,0.072,0.122
T3,0.052,0.074,1.389,2.249
T2,0.044,0.067,1.181,1.839
T4,0.223,0.359,6.291,9.927
T4,0.219,0.394,6.106,9.723
T2,0.039,0.071,1.215,2.059
T3,0.051,0.087,1.298,2.399
T4,0.219,0.342,6.752,10.391
T4,0.218,0.377,6.366,10.05
T2,0.044,0.074,1.237,2.014
T4,0.213,0.339,5.981,10.205
T3,0.047,0.083,1.35,2.254
T2,0.04,0.065,1.163,1.91
T3,0.052,0.077,1.394,2.225
T2,0.046,0.074,1.295,1.985
T1,0.003,0.004,0.073,0.11
T4,0.207,0.341,6.13,10.117
T3,0.052,0.084,1.475,2.193
T1,0.003,0.004,0.069,0.108
T2,0.042,0.07,1.319,1.79
T3,0.046,0.084,1.541,2.089
T3,0.051,0.081,1.541,2.397
T4,0.205,0.346,6.735,10.705
T3,0.052,0.078,1.312,2.17
T4,0.231,0.384,6.754,10.699
T4,0.218,0.384,6.704,9.266
T2,0.039,0.068,1.197,1.868
T1,0.003,0.004,0.081,0.123
T1,0.003,0.005,0.07,0.127
T2,0.043,0.071,1.291,1.795
T1,0.003,0.004,0.074,0.123
T2,0.045,0.075,1.19,1.846
T4,0.201,0.356,6.506,10.697
T4,0.205,0.359,6.634,9.185
T4,0.217,0.351,6.493,9.913
T4,0.217,0.377,5.802,10.388
T2,0.04,0.07,1.235,1.94
T3,0.05,0.075,1.348,2.309
T1,0.002,0.004,0.074,0.127
T3,0.049,0.078,1.391,2.098
T2,0.04,0.066,1.122,1.782
T2,0.042,0.065,1.129,1.823
T4,0.227,0.338,6.512,10.541
T3,0.052,0.083,1.464,2.328
T3,0.05,0.082,1.364,2.113
T2,0.043,0.067,1.236,1.768
T2,0.046,0.072,1.241,1.791
T3,0.05,0.081,1.534,2.351
T3,0.053,0.087,1.533,2.326
T3,0.052,0.088,1.465,2.308
T4,0.209,0.35,6.586,10.4
T3,0.046,0.088,1.327,2.129
T3,0.047,0.086,1.304,2.323
T4,0.203,0.341,6.834,9.734
T2,0.04,0.07,1.145,1.953
T3,0.048,0.081,1.492,2.353
T3,0.052,0.078,1.474,2.402
T1,0.003,0.004,0.075,0.112
T4,0.236,0.369,6.526,10.714
T1,0.002,0.004,0.076,0.117
T4,0.232,0.368,5.967,10.275
T4,0.22,0.338,5.875,10.844
T3,0.045,0.075,1.362,2.173
T4,0.234,0.372,5.974,10.801
T3,0.049,0.085,1.52,2.281
T2,0.046,0.07,1.127,1.881
T3,0.05,0.086,1.486,2.247
T3,0.045,0.083,1.476,2.191
T2,0.044,0.075,1.25,2.01
T2,0.042,0.076,1.209,1.884
T3,0.048,0.086,1.54,2.396
T1,0.003,0.004,0.077,0.125
T2,0.044,0.076,1.157,1.868
T2,0.041,0.075,1.24,1.758
T2,0.041,0.07,1.141,2.045
T3,0.049,0.08,1.303,2.361
T4,0.223,0.333,6.201,9.55
T1,0.003,0.004,0.077,0.127
T1,0.003,0.005,0.079,0.11
T2,0.045,0.073,1.194,1.83
T3,0.048,0.084,1.522,2.37
T2,0.04,0.069,1.23,1.965
T4,0.209,0.373,5.804,10.241
T2,0.042,0.071,1.121,1.945
T1,0.002,0.004,0.076,0.125
T3,0.048,0.082,1.325,2.414
T1,0.003,0.004,0.081,0.123
T1,0.002,0.004,0.071,0.124
T2,0.04,0.073,1.211,1.782
T1,0.002,0.005,0.073,0.11
T1,0.003,0.004,0.076,0.109
T1,0.002,0.004,0.074,0.123
T4,0.232,0.339,5.894,10.13
T4,0.202,0.369,6.3,9.174
T1,0.003,0.004,0.078,0.113
T4,0.238,0.381,5.979,9.521
T1,0.003,0.004,0.075,0.12
T1,0.003,0.004,0.077,0.124
T1,0.003,0.004,0.074,0.127
T4,0.218,0.379,6.016,10.12
T2,0.044,0.064,1.237,2.017
T1,0.003,0.004,0.08,0.128
T1,0.003,0.004,0.068,0.118
T3,0.051,0.075,1.506,2.356
T1,0.003,0.004,0.08,0.118
T2,0.041,0.073,1.249,1.999
T1,0.002,0.004,0.069,0.119
T1,0.002,0.005,0.072,0.126
T4,0.202,0.364,6.833,10.802
T4,0.233,0.348,6.578,9.886
T3,0.049,0.085,1.502,2.058
T2,0.039,0.067,1.116,2.027
T1,0.003,0.004,0.079,0.122
T1,0.002,0.004,0.072,0.12
T2,0.042,0.075,1.168,1.822
T4,0.213,0.338,6.004,10.113
T3,0.05,0.079,1.401,2.213
T3,0.048,0.087,1.54,2.211
T2,0.043,0.071,1.225,2.04
T1,0.002,0.004,0.068,0.124
T2,0.043,0.066,1.187,1.978
T3,0.045,0.082,1.322,2.087
T2,0.04,0.065,1.247,1.945
T2,0.045,0.066,1.197,1.823
T3,0.046,0.076,1.411,2.098
T2,0.04,0.066,1.202,1.853
T4,0.227,0.334,5.998,9.25
T4,0.223,0.348,5.893,10.631
T4,0.207,0.343,5.979,10.628
T4,0.223,0.356,6.363,9.161
T3,0.045,0.079,1.517,2.373
T3,0.048,0.077,1.301,2.279
T3,0.048,0.076,1.489,2.28
T3,0.049,0.088,1.297,2.264
T2,0.04,0.068,1.315,2.016
T4,0.203,0.371,6.514,9.97
T3,0.049,0.085,1.474,2.177
T3,0.049,0.075,1.406,2.129
T2,0.046,0.069,1.12,1.943
T1,0.002,0.004,0.08,0.119
T4,0.206,0.37,6.34,9.993
T3,0.053,0.088,1.506,2.215
T2,0.041,0.066,1.183,1.791
T1,0.003,0.004,0.077,0.11
T3,0.046,0.084,1.534,2.335
T3,0.048,0.082,1.321,2.24
T1,0.003,0.005,0.078,0.108
T4,0.214,0.392,6.178,9.138
T2,0.043,0.073,1.206,2.0
T4,0.222,0.339,6.525,9.805
T4,0.232,0.363,5.893,10.451
T3,0.049,0.078,1.457,2.116
T2,0.039,0.066,1.322,1.958
T1,0.002,0.004,0.076,0.108
T2,0.042,0.07,1.18,1.941
T4,0.22,0.391,6.337,9.198
T3,0.047,0.078,1.362,2.125
T3,0.052,0.086,1.394,2.28
T4,0.22,0.394,6.125,9.301
T3,0.052,0.086,1.504,2.386
T4,0.214,0.339,6.269,10.685
T2,0.042,0.071,1.266,1.851
T4,0.225,0.343,6.675,10.834
T3,0.048,0.084,1.357,2.394
T2,0.042,0.071,1.191,1.956
T3,0.053,0.085,1.521,2.417
T4,0.232,0.39,6.134,10.318
T3,0.049,0.083,1.361,2.204
T4,0.222,0.368,6.801,9.829
T3,0.053,0.081,1.519,2.069
T3,0.05,0.081,1.341,2.342
T3,0.053,0.076,1.312,2.425
T4,0.206,0.341,6.339,9.969
T4,0.226,0.37,6.72,10.685
T2,0.04,0.075,1.228,2.059
T1,0.003,0.004,0.077,0.123
T3,0.047,0.077,1.353,2.193
T2,0.039,0.068,1.31,1.851
T2,0.04,0.069,1.204,1.912
T4,0.215,0.377,5.945,10.785
T4,0.201,0.379,6.583,10.151
T1,0.003,0.005,0.071,0.128
T1,0.003,0.004,0.075,0.111
T2,0.044,0.07,1.285,1.807
T3,0.051,0.075,1.446,2.191
T3,0.046,0.079,1.443,2.135
T1,0.003,0.004,0.077,0.125
T3,0.048,0.083,1.434,2.228
T1,0.003,0.004,0.081,0.127
T1,0.003,0.004,0.073,0.126
T2,0.042,0.067,1.126,2.016
T2,0.045,0.064,1.298,1.818
T3,0.046,0.076,1.526,2.08
T3,0.047,0.08,1.512,2.161
T2,0.043,0.076,1.136,1.916
T3,0.049,0.087,1.409,2.346
T4,0.225,0.351,6.04,9.642
T1,0.002,0.004,0.072,0.119
T3,0.046,0.082,1.39,2.303
T2,0.04,0.065,1.315,1.779
T2,0.042,0.069,1.158,1.867
T3,0.053,0.084,1.506,2.35
T4,0.228,0.368,6.868,10.082
T1,0.003,0.005,0.074,0.124
T2,0.042,0.065,1.239,1.828
T2,0.042,0.069,1.24,1.935
T1,0.003,0.004,0.076,0.124
T2,0.039,0.069,1.314,2.04
T4,0.238,0.385,6.291,10.012
T2,0.039,0.064,1.263,1.996
T3,0.048,0.08,1.431,2.376
T2,0.039,0.074,1.115,1.804
T1,0.003,0.004,0.076,0.124
T3,0.051,0.075,1.419,2.219
T2,0.046,0.065,1.267,1.824
T1,0.003,0.004,0.072,0.113
T4,0.23,0.395,6.531,9.519
T4,0.211,0.353,6.061,10.135
T1,0.003,0.004,0.075,0.122
T4,0.234,0.391,6.873,9.698
T1,0.002,0.004,0.08,0.114
T2,0.045,0.07,1.124,1.797
T4,0.209,0.352,6.288,9.741
T1,0.003,0.004,0.077,0.119
T3,0.05,0.077,1.529,2.144
T4,0.211,0.353,6.33,9.311
T2,0.039,0.075,1.31,2.047
T1,0.002,0.004,0.072,0.123
T2,0.045,0.067,1.166,1.839
T2,0.039,0.07,1.19,1.969
T4,0.223,0.36,5.955,9.261
T2,0.039,0.071,1.238,1.898
T1,0.002,0.005,0.078,0.124
T2,0.045,0.074,1.222,1.919
T2,0.044,0.071,1.311,1.999
T3,0.05,0.081,1.542,2.428
T4,0.214,0.344,6.417,9.975
T3,0.051,0.075,1.534,2.299
T2,0.045,0.065,1.225,1.981
T2,0.044,0.074,1.192,1.772
T2,0.039,0.074,1.215,2.003
T2,0.039,0.075,1.174,1.853
T3,0.052,0.085,1.405,2.067
T4,0.204,0.393,6.398,10.506
T3,0.047,0.08,1.375,2.297
T1,0.003,0.004,0.081,0.119
T4,0.237,0.357,6.354,10.504
T2,0.039,0.072,1.311,1.819
T1,0.003,0.004,0.069,0.11
T3,0.046,0.085,1.4,2.111
T3,0.051,0.079,1.351,2.348
T3,0.053,0.085,1.353,2.194
T2,0.039,0.074,1.284,1.922
T2,0.042,0.076,1.182,1.826
T1,0.003,0.004,0.07,0.125
T4,0.235,0.374,6.207,10.463
T3,0.047,0.084,1.379,2.295
T1,0.003,0.004,0.069,0.109
T3,0.051,0.077,1.359,2.192
T1,0.003,0.004,0.078,0.114
T2,0.043,0.07,1.242,2.054
T1,0.003,0.004,0.077,0.116
T1,0.003,0.004,0.071,0.116
T1,0.002,0.004,0.078,0.124
T1,0.002,0.004,0.08,0.122
T2,0.041,0.066,1.265,1.948
T2,0.041,0.074,1.134,1.857
T4,0.225,0.38,5.935,10.507
T1,0.003,0.004,0.069,0.124
T3,0.052,0.082,1.431,2.173
T2,0.045,0.074,1.304,1.906
T1,0.003,0.004,0.075,0.108
T3,0.049,0.079,1.452,2.046
T1,0.003,0.005,0.071,0.119
T1,0.003,0.005,0.076,0.12
T3,0.053,0.079,1.452,2.218
T4,0.227,0.365,6.658,10.816
T4,0.201,0.386,5.994,10.058
T4,0.217,0.357,5.856,9.41
T2,0.042,0.076,1.284,1.864
T2,0.041,0.072,1.302,1.793
T4,0.238,0.349,6.832,9.383
T3,0.05,0.08,1.429,2.405
T3,0.046,0.078,1.393,2.274
T4,0.237,0.339,6.638,9.91
T1,0.003,0.004,0.077,0.111
T2,0.043,0.064,1.314,1.948
T2,0.043,0.066,1.251,2.086
T3,0.053,0.083,1.306,2.428
T2,0.039,0.076,1.257,1.812
T2,0.043,0.064,1.319,1.906
T3,0.046,0.081,1.506,2.403
T4,0.228,0.375,5.968,10.828
T4,0.231,0.389,6.432,9.651
T2,0.043,0.07,1.221,2.042
T2,0.041,0.076,1.183,1.915
T2,0.043,0.065,1.254,2.062
T3,0.052,0.087,1.488,2.417
T4,0.234,0.345,6.834,9.872
T1,0.003,0.004,0.074,0.111
T3,0.048,0.086,1.534,2.157
T4,0.231,0.347,5.805,10.717
T3,0.053,0.088,1.318,2.354
T3,0.052,0.088,1.388,2.347
T1,0.003,0.004,0.076,0.123
T2,0.044,0.068,1.165,1.896
T4,0.232,0.387,6.407,9.325
T1,0.002,0.004,0.068,0.126
T3,0.046,0.081,1.297,2.323
T2,0.04,0.072,1.124,1.857
T2,0.045,0.067,1.288,1.922
T3,0.049,0.084,1.413,2.432
T1,0.002,0.004,0.07,0.118
T4,0.21,0.373,6.553,9.527
T3,0.046,0.075,1.31,2.383
T2,0.043,0.074,1.321,2.04
T4,0.224,0.355,5.884,10.378
T2,0.042,0.071,1.186,1.823
T4,0.215,0.396,6.328,10.785
T1,0.003,0.004,0.081,0.119
T4,0.211,0.371,6.559,10.48
T1,0.003,0.004,0.078,0.11
T2,0.042,0.075,1.313,1.856
T4,0.219,0.345,6.378,9.916
T1,0.002,0.005,0.078,0.116
T2,0.045,0.064,1.183,1.999
T3,0.052,0.088,1.336,2.194
T4,0.228,0.365,6.722,9.305
T1,0.002,0.004,0.072,0.113
T4,0.213,0.361,6.318,10.603
T2,0.044,0.07,1.126,1.772
T2,0.044,0.071,1.288,1.807
T4,0.213,0.333,6.218,10.261
T1,0.003,0.004,0.079,0.128
T4,0.233,0.355,6.104,10.247
T1,0.003,0.004,0.076,0.119
T1,0.003,0.004,0.079,0.121
T2,0.046,0.073,1.139,1.789
T3,0.052,0.082,1.361,2.078
T1,0.003,0.004,0.081,0.123
T4,0.236,0.363,6.319,10.313
T2,0.039,0.071,1.189,2.074
T4,0.229,0.362,6.253,9.45
T2,0.045,0.075,1.311,1.79
T4,0.218,0.341,6.679,10.109
T1,0.003,0.004,0.074,0.11
T1,0.003,0.004,0.077,0.121
T2,0.043,0.075,1.191,1.775
T2,0.045,0.068,1.241,2.05
T2,0.042,0.071,1.301,1.847
T3,0.05,0.077,1.503,2.153
T1,0.003,0.004,0.071,0.125
T2,0.041,0.072,1.232,2.037
T1,0.003,0.004,0.072,0.122
T2,0.039,0.074,1.277,2.063
T3,0.05,0.076,1.466,2.108
T2,0.043,0.075,1.187,2.031
T1,0.003,0.004,0.069,0.115
T3,0.051,0.082,1.454,2.17
T4,0.235,0.365,6.424,9.652
T2,0.044,0.069,1.181,1.884
T4,0.237,0.347,6.486,10.534
T3,0.046,0.078,1.388,2.424
T2,0.042,0.076,1.197,1.955
T2,0.044,0.072,1.312,2.071
T3,0.046,0.085,1.522,2.409
T1,0.003,0.004,0.074,0.126
T4,0.207,0.344,6.482,10.19
