task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T2,0.999,7.0,10.0,15.0,7.0,10.0,15.0
T1,3.976,5.0,8.0,10.0,5.0,8.0,10.0
T4,4.105,1.0,1.5,2.0,1.0,1.5,2.0
T1,4.369,5.0,8.0,10.0,5.0,8.0,10.0
T3,5.778,2.0,3.0,5.0,2.0,3.0,5.0
T3,6.722,2.0,3.0,5.0,2.0,3.0,5.0
T2,7.824,7.0,10.0,15.0,7.0,10.0,15.0
T4,13.88,1.0,1.5,2.0,1.0,1.5,2.0
T1,16.812,5.0,8.0,10.0,5.0,8.0,10.0
T3,29.313,2.0,3.0,5.0,2.0,3.0,5.0
T3,30.202,2.0,3.0,5.0,2.0,3.0,5.0
T3,32.677,2.0,3.0,5.0,2.0,3.0,5.0
T2,33.352,7.0,10.0,15.0,7.0,10.0,15.0
T2,33.789,7.0,10.0,15.0,7.0,10.0,15.0
T2,38.401,7.0,10.0,15.0,7.0,10.0,15.0
T2,39.443,7.0,10.0,15.0,7.0,10.0,15.0
T1,42.627,5.0,8.0,10.0,5.0,8.0,10.0
T2,46.641,7.0,10.0,15.0,7.0,10.0,15.0
T4,49.544,1.0,1.5,2.0,1.0,1.5,2.0
T3,51.197,2.0,3.0,5.0,2.0,3.0,5.0
T1,53.529,5.0,8.0,10.0,5.0,8.0,10.0
T4,53.974,1.0,1.5,2.0,1.0,1.5,2.0
T3,55.435,2.0,3.0,5.0,2.0,3.0,5.0
T1,66.817,5.0,8.0,10.0,5.0,8.0,10.0
T1,67.074,5.0,8.0,10.0,5.0,8.0,10.0
T2,68.449,7.0,10.0,15.0,7.0,10.0,15.0
T2,75.816,7.0,10.0,15.0,7.0,10.0,15.0
T3,77.518,2.0,3.0,5.0,2.0,3.0,5.0
T1,80.438,5.0,8.0,10.0,5.0,8.0,10.0
T2,93.337,7.0,10.0,15.0,7.0,10.0,15.0
T2,94.78,7.0,10.0,15.0,7.0,10.0,15.0
T4,103.646,1.0,1.5,2.0,1.0,1.5,2.0
T3,127.405,2.0,3.0,5.0,2.0,3.0,5.0
T4,134.699,1.0,1.5,2.0,1.0,1.5,2.0
T2,135.189,7.0,10.0,15.0,7.0,10.0,15.0
T1,137.318,5.0,8.0,10.0,5.0,8.0,10.0
T2,138.049,7.0,10.0,15.0,7.0,10.0,15.0
T3,138.257,2.0,3.0,5.0,2.0,3.0,5.0
T2,141.972,7.0,10.0,15.0,7.0,10.0,15.0
T3,146.334,2.0,3.0,5.0,2.0,3.0,5.0
T3,152.989,2.0,3.0,5.0,2.0,3.0,5.0
T2,155.673,7.0,10.0,15.0,7.0,10.0,15.0
T3,157.112,2.0,3.0,5.0,2.0,3.0,5.0
T4,160.345,1.0,1.5,2.0,1.0,1.5,2.0
T3,164.74,2.0,3.0,5.0,2.0,3.0,5.0
T1,175.367,5.0,8.0,10.0,5.0,8.0,10.0
T3,177.864,2.0,3.0,5.0,2.0,3.0,5.0
T3,179.305,2.0,3.0,5.0,2.0,3.0,5.0
T2,195.531,7.0,10.0,15.0,7.0,10.0,15.0
T1,201.551,5.0,8.0,10.0,5.0,8.0,10.0
T3,203.719,2.0,3.0,5.0,2.0,3.0,5.0
