task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,2.024,5.0,8.0,10.0,5.0,8.0,10.0
T1,5.393,5.0,8.0,10.0,5.0,8.0,10.0
T4,8.137,1.0,1.5,2.0,1.0,1.5,2.0
T4,11.361,1.0,1.5,2.0,1.0,1.5,2.0
T3,14.348,2.0,3.0,5.0,2.0,3.0,5.0
T2,18.216,7.0,10.0,15.0,7.0,10.0,15.0
T1,22.727,5.0,8.0,10.0,5.0,8.0,10.0
T4,32.63,1.0,1.5,2.0,1.0,1.5,2.0
T2,32.931,7.0,10.0,15.0,7.0,10.0,15.0
T2,38.6,7.0,10.0,15.0,7.0,10.0,15.0
T1,38.752,5.0,8.0,10.0,5.0,8.0,10.0
T3,45.531,2.0,3.0,5.0,2.0,3.0,5.0
T2,46.835,7.0,10.0,15.0,7.0,10.0,15.0
T3,61.98,2.0,3.0,5.0,2.0,3.0,5.0
T4,64.587,1.0,1.5,2.0,1.0,1.5,2.0
T1,66.019,5.0,8.0,10.0,5.0,8.0,10.0
T3,69.022,2.0,3.0,5.0,2.0,3.0,5.0
T2,84.309,7.0,10.0,15.0,7.0,10.0,15.0
T1,100.431,5.0,8.0,10.0,5.0,8.0,10.0
T3,102.125,2.0,3.0,5.0,2.0,3.0,5.0
T2,105.387,7.0,10.0,15.0,7.0,10.0,15.0
T4,109.092,1.0,1.5,2.0,1.0,1.5,2.0
T3,109.884,2.0,3.0,5.0,2.0,3.0,5.0
T4,116.12,1.0,1.5,2.0,1.0,1.5,2.0
T3,116.157,2.0,3.0,5.0,2.0,3.0,5.0
T1,122.384,5.0,8.0,10.0,5.0,8.0,10.0
T3,124.942,2.0,3.0,5.0,2.0,3.0,5.0
T3,126.392,2.0,3.0,5.0,2.0,3.0,5.0
T2,131.827,7.0,10.0,15.0,7.0,10.0,15.0
T4,133.92,1.0,1.5,2.0,1.0,1.5,2.0
T4,144.015,1.0,1.5,2.0,1.0,1.5,2.0
T4,144.866,1.0,1.5,2.0,1.0,1.5,2.0
T2,146.167,7.0,10.0,15.0,7.0,10.0,15.0
T1,147.561,5.0,8.0,10.0,5.0,8.0,10.0
T1,147.988,5.0,8.0,10.0,5.0,8.0,10.0
T4,149.289,1.0,1.5,2.0,1.0,1.5,2.0
T1,156.796,5.0,8.0,10.0,5.0,8.0,10.0
T1,159.866,5.0,8.0,10.0,5.0,8.0,10.0
