task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T3,0.687,2.0,3.0,5.0,2.0,3.0,5.0
T2,9.385,7.0,10.0,15.0,7.0,10.0,15.0
T3,14.119,2.0,3.0,5.0,2.0,3.0,5.0
T1,39.164,5.0,8.0,10.0,5.0,8.0,10.0
T4,43.41,1.0,1.5,2.0,1.0,1.5,2.0
T1,48.491,5.0,8.0,10.0,5.0,8.0,10.0
T3,51.546,2.0,3.0,5.0,2.0,3.0,5.0
T3,62.146,2.0,3.0,5.0,2.0,3.0,5.0
T1,64.691,5.0,8.0,10.0,5.0,8.0,10.0
T2,69.588,7.0,10.0,15.0,7.0,10.0,15.0
T4,74.489,1.0,1.5,2.0,1.0,1.5,2.0
T3,82.108,2.0,3.0,5.0,2.0,3.0,5.0
T4,85.547,1.0,1.5,2.0,1.0,1.5,2.0
T3,88.984,2.0,3.0,5.0,2.0,3.0,5.0
T2,95.923,7.0,10.0,15.0,7.0,10.0,15.0
T4,98.582,1.0,1.5,2.0,1.0,1.5,2.0
T4,98.589,1.0,1.5,2.0,1.0,1.5,2.0
T3,104.637,2.0,3.0,5.0,2.0,3.0,5.0
T3,109.817,2.0,3.0,5.0,2.0,3.0,5.0
T2,114.182,7.0,10.0,15.0,7.0,10.0,15.0
T3,115.313,2.0,3.0,5.0,2.0,3.0,5.0
T2,117.574,7.0,10.0,15.0,7.0,10.0,15.0
T2,120.966,7.0,10.0,15.0,7.0,10.0,15.0
T2,122.163,7.0,10.0,15.0,7.0,10.0,15.0
T1,127.006,5.0,8.0,10.0,5.0,8.0,10.0
T4,137.399,1.0,1.5,2.0,1.0,1.5,2.0
T4,146.117,1.0,1.5,2.0,1.0,1.5,2.0
T1,153.693,5.0,8.0,10.0,5.0,8.0,10.0
T4,159.457,1.0,1.5,2.0,1.0,1.5,2.0
T2,162.387,7.0,10.0,15.0,7.0,10.0,15.0
T4,171.099,1.0,1.5,2.0,1.0,1.5,2.0
T3,176.661,2.0,3.0,5.0,2.0,3.0,5.0
T2,180.769,7.0,10.0,15.0,7.0,10.0,15.0
T1,187.572,5.0,8.0,10.0,5.0,8.0,10.0
T1,189.703,5.0,8.0,10.0,5.0,8.0,10.0
T3,197.419,2.0,3.0,5.0,2.0,3.0,5.0
T3,197.78,2.0,3.0,5.0,2.0,3.0,5.0
T2,205.394,7.0,10.0,15.0,7.0,10.0,15.0
T2,205.81,7.0,10.0,15.0,7.0,10.0,15.0
T4,226.899,1.0,1.5,2.0,1.0,1.5,2.0
T1,242.461,5.0,8.0,10.0,5.0,8.0,10.0
T4,252.193,1.0,1.5,2.0,1.0,1.5,2.0
T1,261.248,5.0,8.0,10.0,5.0,8.0,10.0
T2,275.881,7.0,10.0,15.0,7.0,10.0,15.0
T1,279.402,5.0,8.0,10.0,5.0,8.0,10.0
T1,281.327,5.0,8.0,10.0,5.0,8.0,10.0
T4,288.889,1.0,1.5,2.0,1.0,1.5,2.0
T1,289.796,5.0,8.0,10.0,5.0,8.0,10.0
T4,295.781,1.0,1.5,2.0,1.0,1.5,2.0
T3,308.848,2.0,3.0,5.0,2.0,3.0,5.0
T1,311.534,5.0,8.0,10.0,5.0,8.0,10.0
T2,311.61,7.0,10.0,15.0,7.0,10.0,15.0
T2,316.383,7.0,10.0,15.0,7.0,10.0,15.0
T2,320.397,7.0,10.0,15.0,7.0,10.0,15.0
T1,323.192,5.0,8.0,10.0,5.0,8.0,10.0
T2,324.449,7.0,10.0,15.0,7.0,10.0,15.0
T2,331.704,7.0,10.0,15.0,7.0,10.0,15.0
T4,331.846,1.0,1.5,2.0,1.0,1.5,2.0
T3,335.423,2.0,3.0,5.0,2.0,3.0,5.0
T1,339.228,5.0,8.0,10.0,5.0,8.0,10.0
T4,343.71,1.0,1.5,2.0,1.0,1.5,2.0
T2,346.583,7.0,10.0,15.0,7.0,10.0,15.0
T4,350.539,1.0,1.5,2.0,1.0,1.5,2.0
T2,357.894,7.0,10.0,15.0,7.0,10.0,15.0
T4,360.869,1.0,1.5,2.0,1.0,1.5,2.0
T3,361.022,2.0,3.0,5.0,2.0,3.0,5.0
T1,363.557,5.0,8.0,10.0,5.0,8.0,10.0
T2,364.778,7.0,10.0,15.0,7.0,10.0,15.0
T3,371.591,2.0,3.0,5.0,2.0,3.0,5.0
T3,376.149,2.0,3.0,5.0,2.0,3.0,5.0
T1,381.36,5.0,8.0,10.0,5.0,8.0,10.0
T1,382.384,5.0,8.0,10.0,5.0,8.0,10.0
T2,383.706,7.0,10.0,15.0,7.0,10.0,15.0
T2,386.71,7.0,10.0,15.0,7.0,10.0,15.0
T4,392.987,1.0,1.5,2.0,1.0,1.5,2.0
T2,393.621,7.0,10.0,15.0,7.0,10.0,15.0
T1,398.885,5.0,8.0,10.0,5.0,8.0,10.0
T2,402.746,7.0,10.0,15.0,7.0,10.0,15.0
T2,414.925,7.0,10.0,15.0,7.0,10.0,15.0
T1,427.965,5.0,8.0,10.0,5.0,8.0,10.0
T4,431.723,1.0,1.5,2.0,1.0,1.5,2.0
T3,441.606,2.0,3.0,5.0,2.0,3.0,5.0
T2,445.684,7.0,10.0,15.0,7.0,10.0,15.0
T3,446.69,2.0,3.0,5.0,2.0,3.0,5.0
T3,447.67,2.0,3.0,5.0,2.0,3.0,5.0
T2,450.138,7.0,10.0,15.0,7.0,10.0,15.0
T4,456.903,1.0,1.5,2.0,1.0,1.5,2.0
T2,464.579,7.0,10.0,15.0,7.0,10.0,15.0
T1,476.326,5.0,8.0,10.0,5.0,8.0,10.0
T1,478.277,5.0,8.0,10.0,5.0,8.0,10.0
T2,482.529,7.0,10.0,15.0,7.0,10.0,15.0
T2,483.48,7.0,10.0,15.0,7.0,10.0,15.0
T4,487.501,1.0,1.5,2.0,1.0,1.5,2.0
T3,490.727,2.0,3.0,5.0,2.0,3.0,5.0
T2,502.187,7.0,10.0,15.0,7.0,10.0,15.0
T2,505.926,7.0,10.0,15.0,7.0,10.0,15.0
T2,507.271,7.0,10.0,15.0,7.0,10.0,15.0
T1,524.839,5.0,8.0,10.0,5.0,8.0,10.0
T4,528.326,1.0,1.5,2.0,1.0,1.5,2.0
T4,532.076,1.0,1.5,2.0,1.0,1.5,2.0
T3,534.715,2.0,3.0,5.0,2.0,3.0,5.0
T1,537.198,5.0,8.0,10.0,5.0,8.0,10.0
T4,543.686,1.0,1.5,2.0,1.0,1.5,2.0
T1,549.229,5.0,8.0,10.0,5.0,8.0,10.0
T2,566.745,7.0,10.0,15.0,7.0,10.0,15.0
T4,573.377,1.0,1.5,2.0,1.0,1.5,2.0
T3,600.534,2.0,3.0,5.0,2.0,3.0,5.0
T3,619.427,2.0,3.0,5.0,2.0,3.0,5.0
T4,623.921,1.0,1.5,2.0,1.0,1.5,2.0
T4,632.615,1.0,1.5,2.0,1.0,1.5,2.0
T2,634.158,7.0,10.0,15.0,7.0,10.0,15.0
T4,635.15,1.0,1.5,2.0,1.0,1.5,2.0
T4,644.502,1.0,1.5,2.0,1.0,1.5,2.0
T4,648.531,1.0,1.5,2.0,1.0,1.5,2.0
T4,648.688,1.0,1.5,2.0,1.0,1.5,2.0
T2,667.204,7.0,10.0,15.0,7.0,10.0,15.0
T2,674.47,7.0,10.0,15.0,7.0,10.0,15.0
T2,676.526,7.0,10.0,15.0,7.0,10.0,15.0
T4,698.409,1.0,1.5,2.0,1.0,1.5,2.0
T1,698.468,5.0,8.0,10.0,5.0,8.0,10.0
T2,699.581,7.0,10.0,15.0,7.0,10.0,15.0
T1,702.013,5.0,8.0,10.0,5.0,8.0,10.0
T3,704.536,2.0,3.0,5.0,2.0,3.0,5.0
T2,711.182,7.0,10.0,15.0,7.0,10.0,15.0
T2,713.786,7.0,10.0,15.0,7.0,10.0,15.0
T3,714.856,2.0,3.0,5.0,2.0,3.0,5.0
T3,718.27,2.0,3.0,5.0,2.0,3.0,5.0
T4,726.335,1.0,1.5,2.0,1.0,1.5,2.0
T1,726.727,5.0,8.0,10.0,5.0,8.0,10.0
T2,727.456,7.0,10.0,15.0,7.0,10.0,15.0
T2,728.156,7.0,10.0,15.0,7.0,10.0,15.0
T4,728.613,1.0,1.5,2.0,1.0,1.5,2.0
T1,730.229,5.0,8.0,10.0,5.0,8.0,10.0
T3,735.978,2.0,3.0,5.0,2.0,3.0,5.0
T3,745.685,2.0,3.0,5.0,2.0,3.0,5.0
T4,751.182,1.0,1.5,2.0,1.0,1.5,2.0
T3,752.645,2.0,3.0,5.0,2.0,3.0,5.0
T3,753.0,2.0,3.0,5.0,2.0,3.0,5.0
T1,763.526,5.0,8.0,10.0,5.0,8.0,10.0
T1,764.242,5.0,8.0,10.0,5.0,8.0,10.0
T3,765.579,2.0,3.0,5.0,2.0,3.0,5.0
T4,766.666,1.0,1.5,2.0,1.0,1.5,2.0
T2,776.165,7.0,10.0,15.0,7.0,10.0,15.0
T1,779.551,5.0,8.0,10.0,5.0,8.0,10.0
