task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T1,4.571,5.0,8.0,10.0,5.0,8.0,10.0
T1,4.761,5.0,8.0,10.0,5.0,8.0,10.0
T2,5.874,7.0,10.0,15.0,7.0,10.0,15.0
T1,6.468,5.0,8.0,10.0,5.0,8.0,10.0
T3,8.793,2.0,3.0,5.0,2.0,3.0,5.0
T3,27.694,2.0,3.0,5.0,2.0,3.0,5.0
T1,32.62,5.0,8.0,10.0,5.0,8.0,10.0
T4,40.302,1.0,1.5,2.0,1.0,1.5,2.0
T3,41.146,2.0,3.0,5.0,2.0,3.0,5.0
T1,49.204,5.0,8.0,10.0,5.0,8.0,10.0
T3,50.389,2.0,3.0,5.0,2.0,3.0,5.0
T1,55.449,5.0,8.0,10.0,5.0,8.0,10.0
T3,61.262,2.0,3.0,5.0,2.0,3.0,5.0
T3,65.728,2.0,3.0,5.0,2.0,3.0,5.0
T4,67.797,1.0,1.5,2.0,1.0,1.5,2.0
T3,73.115,2.0,3.0,5.0,2.0,3.0,5.0
T3,73.404,2.0,3.0,5.0,2.0,3.0,5.0
T1,82.996,5.0,8.0,10.0,5.0,8.0,10.0
T2,84.962,7.0,10.0,15.0,7.0,10.0,15.0
T4,91.111,1.0,1.5,2.0,1.0,1.5,2.0
T4,91.916,1.0,1.5,2.0,1.0,1.5,2.0
T3,101.02,2.0,3.0,5.0,2.0,3.0,5.0
T1,105.639,5.0,8.0,10.0,5.0,8.0,10.0
T3,107.247,2.0,3.0,5.0,2.0,3.0,5.0
T3,111.976,2.0,3.0,5.0,2.0,3.0,5.0
T1,113.529,5.0,8.0,10.0,5.0,8.0,10.0
T2,119.419,7.0,10.0,15.0,7.0,10.0,15.0
T4,125.108,1.0,1.5,2.0,1.0,1.5,2.0
T4,127.325,1.0,1.5,2.0,1.0,1.5,2.0
T4,132.275,1.0,1.5,2.0,1.0,1.5,2.0
T3,133.292,2.0,3.0,5.0,2.0,3.0,5.0
T4,139.016,1.0,1.5,2.0,1.0,1.5,2.0
T1,154.858,5.0,8.0,10.0,5.0,8.0,10.0
T1,155.134,5.0,8.0,10.0,5.0,8.0,10.0
T4,160.068,1.0,1.5,2.0,1.0,1.5,2.0
T4,162.744,1.0,1.5,2.0,1.0,1.5,2.0
T2,166.652,7.0,10.0,15.0,7.0,10.0,15.0
T3,173.116,2.0,3.0,5.0,2.0,3.0,5.0
T1,179.993,5.0,8.0,10.0,5.0,8.0,10.0
T2,185.97,7.0,10.0,15.0,7.0,10.0,15.0
T2,202.439,7.0,10.0,15.0,7.0,10.0,15.0
T4,204.221,1.0,1.5,2.0,1.0,1.5,2.0
T2,209.19,7.0,10.0,15.0,7.0,10.0,15.0
T1,211.52,5.0,8.0,10.0,5.0,8.0,10.0
T1,217.071,5.0,8.0,10.0,5.0,8.0,10.0
