task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.165,1.968,1.972,4.011,0.801,1.956,1.919,4.433,0.913
2,1.556,2.202,1.878,4.447,0.999,2.092,1.563,4.569,0.834
2,2.753,2.549,1.688,4.721,0.88,2.459,1.606,3.642,0.987
1,3.481,2.332,1.834,4.677,0.695,2.404,1.598,4.099,0.613
2,3.544,2.258,1.546,4.599,0.758,2.383,1.987,4.37,0.822
2,3.95,2.255,2.122,4.729,0.81,2.109,1.913,4.626,0.997
1,4.066,2.118,1.663,3.904,0.715,2.478,1.433,4.31,0.831
1,4.238,2.528,1.582,4.357,0.796,2.397,1.689,3.902,0.633
2,4.884,2.579,1.99,4.958,0.771,2.548,1.863,4.982,0.729
1,4.922,2.211,1.405,4.594,0.704,2.248,1.462,4.217,0.724
1,5.34,2.383,1.905,4.933,0.787,1.885,1.859,4.331,0.678
1,5.746,2.123,1.479,4.134,0.808,2.605,1.806,4.632,0.832
1,5.794,2.052,1.736,4.364,0.627,2.231,1.99,4.311,0.837
1,5.986,2.439,1.601,5.008,0.709,2.473,1.462,4.999,0.765
2,6.204,2.592,2.057,4.902,0.93,2.201,1.597,4.703,0.73
2,6.483,2.169,1.721,4.596,0.802,2.429,2.087,4.529,0.999
2,7.5,2.256,1.649,4.455,0.889,2.412,1.655,4.478,0.885
1,7.94,2.215,1.946,4.48,0.843,2.34,1.641,4.924,0.719
1,8.275,2.521,1.802,4.209,0.613,2.319,1.59,3.719,0.629
1,8.592,2.131,1.697,4.386,0.852,2.029,1.603,3.851,0.803
1,8.744,2.335,1.891,3.816,0.678,2.362,1.494,4.993,0.838
2,8.877,2.181,1.526,5.052,0.753,2.433,1.798,3.636,0.821
2,8.9,2.136,2.034,4.777,0.883,1.983,1.875,3.975,0.852
2,9.036,2.373,1.859,3.732,0.96,2.625,1.935,3.861,0.733
2,9.207,2.351,1.811,4.861,0.827,2.008,2.073,3.886,0.975
2,9.399,2.253,1.633,4.83,0.867,2.039,2.099,4.984,0.828
2,9.857,2.484,1.587,4.508,0.833,2.15,2.044,3.894,0.907
2,11.268,2.306,1.829,4.905,0.753,2.329,1.542,4.832,0.988
2,11.35,2.223,1.605,3.693,0.743,2.063,1.635,4.041,0.988
2,11.493,2.629,1.548,4.731,0.845,2.014,2.012,4.177,0.992
1,12.121,2.429,1.821,3.989,0.667,1.991,1.974,4.718,0.684
2,12.318,1.904,1.53,4.26,0.914,2.398,1.991,4.06,0.933
2,12.941,2.236,1.595,3.624,0.899,2.571,1.544,4.549,1.015
2,13.017,1.865,1.802,5.074,0.965,2.051,1.633,4.785,0.839
1,13.183,2.383,1.518,4.027,0.701,1.874,1.497,4.555,0.66
1,13.378,2.124,1.969,4.322,0.768,2.009,1.888,5.008,0.652
1,13.551,2.186,1.859,4.832,0.843,2.192,1.691,4.751,0.861
1,13.958,2.538,1.531,3.874,0.664,2.086,1.616,4.538,0.802
1,13.967,2.456,1.689,4.236,0.724,2.076,1.622,3.709,0.806
1,15.231,2.202,1.439,4.065,0.775,2.414,1.9,4.689,0.703
2,15.626,2.333,1.691,3.713,0.934,2.544,2.049,3.738,0.847
1,15.709,2.538,1.847,3.981,0.789,2.337,1.787,4.307,0.617
2,16.311,2.011,1.772,4.279,0.931,1.886,2.012,3.785,0.964
1,16.46,2.561,1.921,4.72,0.661,2.08,1.474,3.777,0.675
2,16.654,2.173,2.065,3.886,0.973,1.944,2.121,4.297,0.954
1,16.824,2.482,1.543,3.776,0.69,2.362,1.9,3.786,0.692
1,16.899,1.86,1.549,4.618,0.656,2.215,1.969,4.021,0.684
2,18.077,2.36,1.808,4.474,0.956,2.063,1.861,4.941,0.758
2,18.269,1.933,1.626,4.982,0.93,2.57,2.046,3.912,0.911
2,18.298,2.438,1.956,3.635,0.91,2.187,1.868,4.887,0.916
1,18.81,2.07,1.99,4.267,0.627,2.395,1.742,5.098,0.773
2,19.057,2.313,1.546,4.162,0.885,2.0,1.648,4.935,0.966
1,20.092,2.57,1.825,3.681,0.755,1.889,1.44,3.733,0.711
1,20.756,2.091,1.98,4.805,0.803,1.856,1.439,3.618,0.643
2,20.786,2.179,2.069,5.109,1.016,1.883,1.547,4.587,0.768
2,20.917,2.508,2.068,4.447,0.836,2.055,1.918,4.675,0.923
2,20.95,2.596,1.565,4.901,0.739,2.187,2.037,4.712,0.959
2,21.255,2.33,1.598,4.965,0.737,1.904,2.034,3.75,0.886
2,21.307,2.49,1.582,3.679,0.745,2.548,2.036,4.255,0.793
1,21.937,2.179,1.467,4.789,0.815,1.909,1.626,4.631,0.652
1,22.224,2.252,1.839,4.899,0.726,2.126,1.821,4.472,0.766
2,22.459,2.182,1.917,3.897,0.77,2.404,1.721,3.777,0.817
2,22.475,2.118,1.588,4.614,0.792,1.984,1.614,5.047,0.91
2,23.332,2.182,2.12,4.585,0.805,2.209,1.6,4.723,0.9
1,24.023,2.049,1.87,4.833,0.753,2.003,1.452,5.032,0.695
1,24.405,1.947,1.512,4.557,0.775,2.574,1.65,4.765,0.753
1,24.668,2.231,1.697,4.061,0.674,2.228,1.433,4.475,0.703
2,25.965,2.623,1.605,3.913,0.791,1.979,2.051,4.62,0.833
2,26.675,2.424,1.868,5.077,0.736,2.51,2.111,3.85,0.951
1,29.377,1.909,1.806,4.313,0.668,1.919,1.464,4.132,0.667
1,29.605,2.162,1.687,3.644,0.724,2.078,1.59,4.301,0.723
2,30.364,2.635,2.026,4.58,0.882,1.902,1.779,4.772,0.82
1,31.007,2.183,1.872,4.549,0.801,2.192,1.479,4.469,0.806
2,31.438,2.34,1.665,4.135,0.72,2.293,1.621,4.927,0.926
1,31.879,2.245,1.978,4.566,0.829,1.891,1.934,4.689,0.704
2,33.707,1.95,1.768,4.978,0.956,2.63,2.008,3.775,0.781
2,35.436,2.132,2.073,4.961,0.924,2.633,2.082,4.024,0.81
1,35.652,2.36,1.513,3.628,0.636,1.965,1.642,4.899,0.817
1,35.719,2.197,1.615,3.994,0.817,2.329,1.882,4.186,0.631
1,36.146,1.867,1.603,4.425,0.648,1.937,1.513,3.791,0.818
1,36.45,2.279,1.579,5.044,0.644,2.552,1.801,4.703,0.656
1,36.631,2.104,1.598,4.206,0.861,2.447,1.975,4.563,0.685
2,37.116,2.059,1.72,4.107,0.866,2.479,1.567,5.083,0.731
2,37.265,2.352,2.113,4.764,1.007,2.181,2.089,4.702,0.966
1,37.629,2.161,1.603,4.612,0.786,2.198,1.835,4.563,0.84
2,37.653,2.368,2.078,3.82,0.843,2.364,1.884,4.002,0.867
1,37.657,2.015,1.861,4.373,0.838,2.316,1.515,3.633,0.824
1,38.439,2.12,1.585,4.067,0.857,2.458,1.538,5.112,0.723
1,38.697,2.07,1.735,4.666,0.618,2.174,1.714,3.685,0.806
1,40.451,2.249,1.452,4.988,0.702,2.131,1.79,4.64,0.763
