#, task_type_id, size, arrival_time,	execution_time_cpu,	execution_time_gpu,	execution_time_CLOUD
1,	2,	183.0,	0.0,			2.283,			0.11,			0.11,			2.286,			0.101,			0.049
2,	1,	447.0,	0.486,			1.464,			0.964,			0.964,			1.484,			0.972,			0.5
3,	1,	95.0,	0.529,			1.463,			0.966,			0.966,			1.452,			0.981,			0.499
4,	1,	90.0,	0.823,			1.444,			0.979,			0.979,			1.456,			0.981,			0.501
5,	1,	120.0,	1.527,			1.452,			0.953,			0.953,			1.464,			0.961,			0.5
6,	1,	16.0,	1.677,			1.469,			0.968,			0.968,			1.453,			0.963,			0.499
7,	1,	146.0,	2.052,			1.456,			0.958,			0.958,			1.439,			0.973,			0.501
8,	1,	10.0,	3.449,			1.461,			0.962,			0.962,			1.445,			0.975,			0.499
9,	1,	44.0,	3.981,			1.452,			0.989,			0.989,			1.46,			0.969,			0.499
10,	1,	387.0,	4.9,			1.469,			0.981,			0.981,			1.468,			0.967,			0.5
11,	1,	44.0,	5.847,			1.478,			0.968,			0.968,			1.46,			0.964,			0.499
12,	1,	49.0,	5.909,			1.465,			0.963,			0.963,			1.456,			0.978,			0.5
13,	1,	103.0,	6.596,			1.451,			0.995,			0.995,			1.466,			0.981,			0.501
14,	1,	95.0,	6.613,			1.467,			0.977,			0.977,			1.454,			0.963,			0.5
15,	1,	214.0,	6.775,			1.468,			0.956,			0.956,			1.448,			0.968,			0.499
16,	1,	512.0,	6.873,			1.458,			0.956,			0.956,			1.456,			0.951,			0.499
17,	1,	214.0,	7.017,			1.45,			0.959,			0.959,			1.474,			0.969,			0.5
18,	1,	447.0,	7.666,			1.444,			0.959,			0.959,			1.448,			0.948,			0.501
19,	1,	7.0,	7.674,			1.467,			0.968,			0.968,			1.47,			0.972,			0.5
20,	1,	49.0,	7.892,			1.446,			0.967,			0.967,			1.467,			0.965,			0.501
21,	1,	13.0,	8.299,			1.458,			0.947,			0.947,			1.467,			0.959,			0.499
22,	1,	559.0,	8.507,			1.466,			0.988,			0.988,			1.462,			0.959,			0.499
23,	1,	126.0,	8.821,			1.469,			0.975,			0.975,			1.455,			0.96,			0.501
24,	1,	6.0,	9.894,			1.47,			0.967,			0.967,			1.472,			0.971,			0.501
25,	1,	59.0,	10.043,			1.466,			0.963,			0.963,			1.449,			0.954,			0.5
26,	1,	103.0,	10.492,			1.456,			0.953,			0.953,			1.457,			0.984,			0.499
27,	1,	559.0,	11.741,			1.485,			0.96,			0.96,			1.454,			0.979,			0.499
28,	1,	157.0,	12.239,			1.456,			0.972,			0.972,			1.464,			0.97,			0.5
29,	1,	103.0,	13.333,			1.462,			0.984,			0.984,			1.454,			0.963,			0.5
30,	1,	7.0,	13.428,			1.459,			0.992,			0.992,			1.456,			0.965,			0.5
31,	1,	559.0,	13.453,			1.481,			0.968,			0.968,			1.466,			0.961,			0.499
32,	1,	387.0,	13.627,			1.469,			0.954,			0.954,			1.468,			0.966,			0.5
33,	1,	146.0,	13.977,			1.46,			0.975,			0.975,			1.455,			0.961,			0.501
34,	1,	28.0,	14.135,			1.461,			0.969,			0.969,			1.468,			0.982,			0.501
35,	1,	7.0,	14.41,			1.471,			0.968,			0.968,			1.475,			0.955,			0.498
36,	1,	6.0,	15.394,			1.444,			0.983,			0.983,			1.452,			0.97,			0.499
37,	1,	169.0,	15.45,			1.463,			0.969,			0.969,			1.458,			0.965,			0.499
38,	1,	498.0,	15.802,			1.469,			0.975,			0.975,			1.487,			0.971,			0.502
39,	1,	44.0,	15.857,			1.458,			0.983,			0.983,			1.457,			0.961,			0.501
40,	1,	13.0,	16.631,			1.461,			0.963,			0.963,			1.456,			0.969,			0.499
41,	1,	7.0,	16.86,			1.45,			0.963,			0.963,			1.464,			0.977,			0.499
42,	1,	95.0,	16.982,			1.454,			0.96,			0.96,			1.464,			0.982,			0.5
43,	1,	126.0,	16.997,			1.455,			0.984,			0.984,			1.457,			0.971,			0.502
44,	1,	6.0,	17.743,			1.458,			0.972,			0.972,			1.462,			0.971,			0.501
45,	1,	7.0,	17.782,			1.463,			0.95,			0.95,			1.457,			0.97,			0.5
46,	1,	13.0,	17.794,			1.471,			0.987,			0.987,			1.48,			0.97,			0.5
47,	1,	59.0,	18.112,			1.458,			0.966,			0.966,			1.48,			0.97,			0.499
48,	1,	103.0,	18.662,			1.429,			0.984,			0.984,			1.459,			0.971,			0.499
49,	1,	120.0,	18.832,			1.467,			0.966,			0.966,			1.458,			0.982,			0.501
50,	1,	103.0,	19.187,			1.466,			0.977,			0.977,			1.456,			0.969,			0.5
51,	1,	126.0,	19.352,			1.464,			0.956,			0.956,			1.437,			0.97,			0.5
52,	1,	169.0,	19.581,			1.467,			0.961,			0.961,			1.466,			0.972,			0.499
53,	1,	379.0,	19.83,			1.462,			0.964,			0.964,			1.457,			0.983,			0.501
54,	1,	10.0,	19.887,			1.46,			0.948,			0.948,			1.452,			0.963,			0.5
55,	1,	13.0,	20.329,			1.464,			0.984,			0.984,			1.45,			0.968,			0.501
56,	1,	7.0,	20.702,			1.447,			0.977,			0.977,			1.454,			0.968,			0.499
57,	1,	103.0,	21.002,			1.465,			0.969,			0.969,			1.465,			0.968,			0.498
58,	1,	126.0,	21.131,			1.462,			0.973,			0.973,			1.474,			0.96,			0.5
59,	1,	7.0,	21.311,			1.469,			0.97,			0.97,			1.475,			0.96,			0.501
60,	1,	30.0,	21.784,			1.46,			0.975,			0.975,			1.442,			0.98,			0.501
61,	1,	10.0,	22.015,			1.469,			0.966,			0.966,			1.469,			0.951,			0.501
62,	1,	126.0,	22.024,			1.459,			0.969,			0.969,			1.457,			0.975,			0.5
63,	1,	169.0,	22.155,			1.459,			0.957,			0.957,			1.465,			0.976,			0.498
64,	1,	157.0,	22.653,			1.448,			0.95,			0.95,			1.471,			0.973,			0.501
65,	1,	28.0,	22.982,			1.449,			0.979,			0.979,			1.462,			0.971,			0.501
