#, task_type_id, size, arrival_time,	execution_time_cpu,	execution_time_gpu,	execution_time_CLOUD
1,	2,	170.0,	0.0,			2.305,			0.098,			0.098,			2.291,			0.103,			0.048
2,	1,	30.0,	0.756,			1.463,			0.973,			0.973,			1.469,			0.966,			0.5
3,	2,	174.0,	1.049,			2.318,			0.105,			0.105,			2.297,			0.111,			0.051
4,	1,	90.0,	1.699,			1.452,			0.969,			0.969,			1.46,			0.954,			0.501
5,	1,	126.0,	2.322,			1.463,			0.982,			0.982,			1.455,			0.976,			0.5
6,	1,	103.0,	2.597,			1.469,			0.971,			0.971,			1.45,			0.968,			0.501
7,	1,	95.0,	3.095,			1.461,			0.97,			0.97,			1.462,			0.975,			0.499
8,	1,	59.0,	4.378,			1.462,			0.966,			0.966,			1.475,			0.975,			0.5
9,	1,	28.0,	5.424,			1.451,			0.979,			0.979,			1.449,			0.969,			0.501
10,	1,	157.0,	5.619,			1.467,			0.978,			0.978,			1.464,			0.954,			0.5
11,	1,	90.0,	6.154,			1.454,			0.964,			0.964,			1.443,			0.971,			0.5
12,	1,	59.0,	6.302,			1.455,			0.961,			0.961,			1.451,			0.974,			0.498
13,	1,	44.0,	6.581,			1.471,			0.988,			0.988,			1.47,			0.959,			0.502
14,	1,	447.0,	6.612,			1.425,			0.963,			0.963,			1.449,			0.983,			0.5
15,	1,	7.0,	7.265,			1.464,			0.949,			0.949,			1.477,			0.982,			0.501
16,	1,	126.0,	7.652,			1.456,			0.96,			0.96,			1.465,			0.959,			0.5
17,	1,	7.0,	8.498,			1.456,			0.966,			0.966,			1.479,			0.974,			0.5
18,	1,	146.0,	10.118,			1.464,			0.984,			0.984,			1.457,			0.968,			0.498
19,	1,	16.0,	10.581,			1.437,			0.988,			0.988,			1.449,			0.958,			0.5
20,	1,	559.0,	10.712,			1.467,			0.978,			0.978,			1.468,			0.97,			0.498
21,	1,	59.0,	10.939,			1.454,			0.994,			0.994,			1.435,			0.972,			0.501
22,	1,	44.0,	11.709,			1.456,			0.976,			0.976,			1.462,			0.967,			0.5
23,	1,	7.0,	11.721,			1.447,			0.983,			0.983,			1.471,			0.982,			0.501
24,	1,	387.0,	12.033,			1.458,			0.979,			0.979,			1.478,			0.966,			0.498
25,	1,	49.0,	12.283,			1.451,			0.974,			0.974,			1.469,			0.966,			0.5
26,	1,	90.0,	12.64,			1.457,			0.961,			0.961,			1.456,			0.967,			0.501
27,	1,	146.0,	12.864,			1.47,			0.963,			0.963,			1.444,			0.971,			0.498
28,	1,	44.0,	12.91,			1.45,			0.975,			0.975,			1.455,			0.951,			0.5
29,	1,	559.0,	12.991,			1.464,			0.98,			0.98,			1.447,			0.979,			0.499
30,	1,	120.0,	13.18,			1.46,			0.954,			0.954,			1.468,			0.966,			0.499
31,	1,	7.0,	13.353,			1.455,			0.977,			0.977,			1.479,			0.968,			0.5
32,	1,	559.0,	13.367,			1.436,			0.96,			0.96,			1.469,			0.98,			0.5
33,	1,	6.0,	13.758,			1.461,			0.956,			0.956,			1.474,			0.961,			0.499
34,	1,	379.0,	14.079,			1.451,			0.957,			0.957,			1.458,			0.964,			0.5
35,	1,	169.0,	14.27,			1.447,			0.953,			0.953,			1.453,			0.966,			0.5
36,	1,	16.0,	15.965,			1.464,			0.962,			0.962,			1.466,			0.975,			0.5
37,	1,	7.0,	17.271,			1.451,			0.981,			0.981,			1.475,			0.967,			0.5
38,	1,	44.0,	17.784,			1.447,			0.977,			0.977,			1.447,			0.965,			0.501
39,	1,	120.0,	18.03,			1.456,			0.967,			0.967,			1.455,			0.98,			0.501
40,	1,	126.0,	18.332,			1.487,			0.962,			0.962,			1.474,			0.969,			0.501
41,	1,	49.0,	18.445,			1.477,			0.987,			0.987,			1.464,			0.976,			0.5
42,	1,	6.0,	18.545,			1.456,			0.975,			0.975,			1.453,			0.959,			0.499
43,	1,	157.0,	18.772,			1.467,			0.957,			0.957,			1.469,			0.98,			0.501
44,	1,	6.0,	18.982,			1.464,			0.971,			0.971,			1.484,			0.977,			0.5
45,	1,	6.0,	19.776,			1.476,			0.964,			0.964,			1.469,			0.965,			0.5
46,	1,	559.0,	20.783,			1.465,			0.979,			0.979,			1.443,			0.984,			0.499
47,	1,	103.0,	20.951,			1.459,			0.981,			0.981,			1.468,			0.967,			0.501
48,	1,	7.0,	21.332,			1.47,			0.961,			0.961,			1.452,			1.003,			0.499
49,	1,	559.0,	21.368,			1.459,			0.97,			0.97,			1.442,			0.963,			0.5
50,	1,	387.0,	22.108,			1.472,			0.966,			0.966,			1.47,			0.965,			0.5
51,	1,	13.0,	23.02,			1.453,			0.968,			0.968,			1.462,			0.96,			0.501
52,	1,	49.0,	23.388,			1.452,			0.983,			0.983,			1.456,			0.986,			0.498
53,	1,	49.0,	23.438,			1.45,			0.974,			0.974,			1.454,			0.989,			0.501
54,	1,	44.0,	23.471,			1.451,			0.964,			0.964,			1.451,			0.965,			0.499
55,	1,	6.0,	23.69,			1.452,			0.959,			0.959,			1.472,			0.965,			0.5
56,	1,	49.0,	24.348,			1.459,			0.971,			0.971,			1.453,			0.967,			0.5
57,	1,	559.0,	24.668,			1.459,			0.954,			0.954,			1.465,			0.969,			0.5
58,	1,	498.0,	24.695,			1.457,			0.977,			0.977,			1.467,			0.967,			0.5
59,	1,	512.0,	25.126,			1.467,			0.958,			0.958,			1.456,			0.983,			0.501
60,	1,	10.0,	25.197,			1.46,			0.953,			0.953,			1.459,			0.968,			0.5
61,	1,	379.0,	25.335,			1.469,			0.958,			0.958,			1.471,			0.982,			0.5
62,	1,	157.0,	25.718,			1.449,			0.979,			0.979,			1.452,			0.977,			0.498
63,	1,	49.0,	26.505,			1.459,			0.975,			0.975,			1.462,			0.957,			0.499
64,	1,	103.0,	26.712,			1.466,			0.975,			0.975,			1.462,			0.965,			0.501
65,	1,	13.0,	27.784,			1.458,			0.965,			0.965,			1.439,			0.962,			0.501
66,	1,	214.0,	28.467,			1.461,			0.957,			0.957,			1.461,			0.969,			0.501
67,	1,	559.0,	29.37,			1.448,			0.981,			0.981,			1.467,			0.964,			0.498
68,	1,	44.0,	29.778,			1.459,			0.968,			0.968,			1.451,			0.975,			0.499
69,	1,	120.0,	29.805,			1.457,			0.966,			0.966,			1.468,			0.982,			0.499
70,	1,	498.0,	30.209,			1.477,			0.963,			0.963,			1.45,			0.958,			0.501
71,	1,	498.0,	30.438,			1.456,			0.969,			0.969,			1.46,			0.995,			0.501
72,	1,	28.0,	30.486,			1.456,			0.967,			0.967,			1.449,			0.975,			0.498
73,	1,	379.0,	30.774,			1.464,			0.964,			0.964,			1.44,			0.984,			0.5
74,	1,	498.0,	31.168,			1.485,			0.952,			0.952,			1.485,			0.942,			0.5
75,	1,	7.0,	31.225,			1.467,			0.956,			0.956,			1.481,			0.972,			0.5
76,	1,	7.0,	31.544,			1.456,			0.972,			0.972,			1.458,			0.956,			0.5
77,	1,	90.0,	32.068,			1.451,			0.968,			0.968,			1.452,			0.964,			0.5
78,	1,	559.0,	32.591,			1.462,			0.967,			0.967,			1.457,			0.978,			0.5
79,	1,	16.0,	33.228,			1.459,			0.967,			0.967,			1.447,			0.97,			0.499
80,	1,	7.0,	33.276,			1.462,			0.983,			0.983,			1.453,			0.977,			0.501
81,	1,	7.0,	33.321,			1.457,			0.976,			0.976,			1.463,			0.976,			0.5
82,	1,	387.0,	33.699,			1.464,			0.981,			0.981,			1.454,			0.98,			0.5
83,	1,	7.0,	33.915,			1.444,			0.975,			0.975,			1.451,			0.969,			0.499
84,	1,	512.0,	33.946,			1.465,			0.954,			0.954,			1.457,			0.978,			0.499
85,	1,	387.0,	34.304,			1.456,			0.958,			0.958,			1.457,			0.976,			0.501
86,	1,	6.0,	35.614,			1.457,			0.981,			0.981,			1.45,			0.986,			0.501
87,	1,	146.0,	36.156,			1.457,			0.971,			0.971,			1.457,			0.964,			0.501
88,	1,	387.0,	36.567,			1.455,			0.969,			0.969,			1.453,			0.984,			0.501
89,	1,	6.0,	36.677,			1.462,			0.978,			0.978,			1.46,			0.969,			0.5
90,	1,	379.0,	37.095,			1.463,			0.981,			0.981,			1.449,			0.969,			0.499
91,	1,	512.0,	37.642,			1.46,			0.983,			0.983,			1.47,			0.977,			0.5
92,	1,	90.0,	37.732,			1.485,			0.958,			0.958,			1.451,			0.967,			0.501
93,	1,	90.0,	38.927,			1.466,			0.97,			0.97,			1.459,			0.975,			0.501
94,	1,	559.0,	39.059,			1.449,			0.973,			0.973,			1.475,			0.994,			0.5
95,	1,	44.0,	39.429,			1.449,			0.967,			0.967,			1.448,			0.969,			0.5
96,	1,	7.0,	40.142,			1.443,			0.963,			0.963,			1.454,			0.988,			0.5
97,	1,	7.0,	40.377,			1.462,			0.948,			0.948,			1.449,			0.966,			0.499
98,	1,	95.0,	40.72,			1.452,			0.983,			0.983,			1.444,			0.973,			0.501
99,	1,	28.0,	42.435,			1.444,			0.965,			0.965,			1.44,			0.969,			0.501
100,	1,	387.0,	42.45,			1.475,			0.975,			0.975,			1.453,			0.965,			0.501
101,	2,	45.0,	42.684,			2.31,			0.093,			0.093,			2.285,			0.086,			0.049
102,	1,	28.0,	42.918,			1.48,			0.975,			0.975,			1.461,			0.971,			0.499
103,	1,	44.0,	42.961,			1.462,			0.988,			0.988,			1.45,			0.983,			0.5
104,	1,	90.0,	43.496,			1.45,			0.958,			0.958,			1.451,			0.974,			0.499
105,	1,	7.0,	43.643,			1.46,			0.958,			0.958,			1.469,			0.968,			0.5
106,	1,	90.0,	43.808,			1.459,			0.971,			0.971,			1.453,			0.971,			0.5
107,	1,	6.0,	45.04,			1.464,			0.967,			0.967,			1.459,			0.962,			0.5
108,	1,	157.0,	45.301,			1.464,			0.973,			0.973,			1.449,			0.969,			0.5
109,	1,	7.0,	45.705,			1.455,			0.966,			0.966,			1.455,			0.97,			0.499
110,	1,	103.0,	45.897,			1.44,			0.983,			0.983,			1.45,			0.948,			0.5
111,	1,	44.0,	46.599,			1.451,			0.962,			0.962,			1.441,			0.973,			0.5
112,	1,	16.0,	46.827,			1.444,			0.954,			0.954,			1.471,			0.963,			0.5
113,	1,	447.0,	47.034,			1.48,			0.964,			0.964,			1.476,			0.966,			0.502
114,	1,	214.0,	48.448,			1.46,			0.972,			0.972,			1.447,			0.979,			0.5
115,	1,	103.0,	48.549,			1.458,			0.965,			0.965,			1.466,			0.974,			0.501
116,	1,	59.0,	49.035,			1.463,			0.979,			0.979,			1.459,			0.969,			0.499
117,	1,	146.0,	49.225,			1.471,			0.975,			0.975,			1.463,			0.963,			0.5
118,	1,	10.0,	49.793,			1.454,			0.974,			0.974,			1.48,			0.968,			0.499
119,	1,	146.0,	50.281,			1.471,			0.968,			0.968,			1.446,			0.975,			0.5
120,	1,	103.0,	50.459,			1.479,			0.964,			0.964,			1.464,			0.967,			0.502
121,	1,	6.0,	50.9,			1.475,			0.973,			0.973,			1.46,			0.962,			0.501
122,	1,	387.0,	51.44,			1.446,			0.971,			0.971,			1.46,			0.966,			0.499
123,	1,	59.0,	51.55,			1.475,			0.952,			0.952,			1.466,			0.969,			0.499
124,	1,	169.0,	51.844,			1.458,			0.951,			0.951,			1.44,			0.952,			0.499
125,	1,	146.0,	52.196,			1.465,			0.964,			0.964,			1.463,			0.962,			0.502
126,	1,	126.0,	52.601,			1.464,			0.969,			0.969,			1.474,			0.954,			0.5
127,	1,	49.0,	53.066,			1.461,			0.977,			0.977,			1.479,			0.978,			0.5
128,	1,	59.0,	53.068,			1.487,			0.967,			0.967,			1.462,			0.966,			0.501
129,	1,	49.0,	53.234,			1.461,			0.963,			0.963,			1.442,			0.969,			0.501
130,	1,	16.0,	53.395,			1.447,			0.969,			0.969,			1.454,			0.966,			0.501
131,	1,	447.0,	53.614,			1.462,			0.955,			0.955,			1.455,			0.967,			0.499
132,	1,	49.0,	54.407,			1.472,			0.959,			0.959,			1.454,			0.982,			0.5
133,	1,	7.0,	55.098,			1.462,			0.977,			0.977,			1.456,			0.945,			0.499
134,	1,	30.0,	55.87,			1.463,			0.938,			0.938,			1.446,			0.98,			0.5
135,	1,	387.0,	56.687,			1.442,			0.978,			0.978,			1.46,			0.959,			0.5
