#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,2,129.0,0.212,10.014,1.099,1.099,12.299,1.008,0.195
2,2,156.0,2.403,13.596,1.31,1.31,12.801,1.015,0.179
3,2,179.0,4.685,10.769,1.361,1.361,10.584,1.206,0.152
4,1,6.0,6.335,2.324,0.16,0.16,2.911,0.242,0.05
5,2,190.0,7.301,12.421,1.32,1.32,13.266,1.015,0.177
6,2,131.0,7.332,13.476,1.385,1.385,10.035,1.466,0.177
7,2,131.0,7.804,11.834,1.47,1.47,11.872,1.326,0.127
8,2,139.0,8.511,11.193,1.338,1.338,13.89,1.33,0.12
9,2,92.0,10.435,10.784,1.252,1.252,10.584,1.431,0.196
10,1,16.0,11.6,1.203,0.203,0.203,2.903,0.229,0.054
11,2,138.0,13.896,14.011,1.27,1.27,12.486,1.126,0.104
12,2,208.0,15.385,10.269,1.305,1.305,14.002,1.064,0.154
13,2,332.0,15.396,11.539,1.499,1.499,10.837,1.102,0.125
14,2,130.0,16.714,12.57,1.265,1.265,11.316,1.262,0.192
15,1,214.0,21.028,2.984,0.293,0.293,1.472,0.192,0.053
16,2,176.0,24.034,10.999,1.386,1.386,12.271,1.1,0.125
17,2,138.0,25.008,11.423,1.355,1.355,14.366,1.482,0.131
18,1,498.0,25.894,2.9,0.298,0.298,2.847,0.245,0.053
19,2,156.0,26.168,10.77,1.319,1.319,10.339,1.353,0.166
20,2,134.0,27.162,12.89,1.203,1.203,12.973,1.197,0.128
21,1,49.0,28.46,1.639,0.112,0.112,2.489,0.189,0.051
22,2,230.0,28.961,10.187,1.43,1.43,11.744,1.001,0.184
23,2,278.0,31.662,14.424,1.421,1.421,13.874,1.408,0.147
24,2,227.0,32.11,10.63,1.072,1.072,10.286,1.065,0.104
25,2,102.0,33.025,13.095,1.353,1.353,11.478,1.33,0.133
26,2,210.0,33.818,12.564,1.401,1.401,12.165,1.264,0.106
27,1,44.0,34.106,1.698,0.125,0.125,1.928,0.263,0.057
28,1,387.0,34.32,1.932,0.116,0.116,2.653,0.163,0.056
29,2,102.0,35.167,14.45,1.222,1.222,12.503,1.024,0.159
30,2,330.0,35.265,12.411,1.337,1.337,11.342,1.423,0.107
31,1,379.0,35.903,1.353,0.215,0.215,1.517,0.251,0.052
32,1,28.0,37.138,2.08,0.147,0.147,1.981,0.273,0.055
33,2,125.0,37.98,13.75,1.096,1.096,12.581,1.012,0.185
34,2,213.0,39.556,11.89,1.065,1.065,10.936,1.461,0.19
35,2,63.0,40.103,11.059,1.389,1.389,12.004,1.029,0.116
36,2,88.0,40.262,13.268,1.334,1.334,12.014,1.239,0.117
37,2,145.0,43.663,12.57,1.015,1.015,10.527,1.208,0.133
38,1,7.0,43.896,2.284,0.183,0.183,2.219,0.188,0.055
39,1,387.0,43.906,2.852,0.113,0.113,1.681,0.281,0.056
40,2,80.0,45.135,11.331,1.488,1.488,13.225,1.45,0.121
41,1,169.0,46.131,2.26,0.183,0.183,1.515,0.201,0.05
42,2,182.0,47.453,14.424,1.456,1.456,11.393,1.003,0.124
43,2,261.0,47.638,11.553,1.43,1.43,11.933,1.12,0.115
44,1,10.0,48.527,2.08,0.151,0.151,1.128,0.155,0.05
45,1,103.0,48.951,2.653,0.138,0.138,2.973,0.206,0.057
46,1,379.0,49.72,2.305,0.193,0.193,2.03,0.217,0.053
47,1,7.0,50.553,1.27,0.263,0.263,1.592,0.279,0.051
48,2,239.0,51.423,14.658,1.369,1.369,12.438,1.182,0.105
49,1,6.0,51.447,1.07,0.166,0.166,1.684,0.177,0.057
50,1,28.0,52.218,1.706,0.153,0.153,2.799,0.177,0.051
51,1,7.0,52.29,1.755,0.225,0.225,2.606,0.228,0.052
52,1,169.0,52.781,1.111,0.233,0.233,2.104,0.168,0.053
53,1,447.0,52.849,1.543,0.221,0.221,1.168,0.26,0.058
54,1,214.0,53.851,1.164,0.296,0.296,1.481,0.221,0.054
55,1,126.0,53.984,1.805,0.209,0.209,2.366,0.136,0.06
56,2,190.0,54.226,14.914,1.444,1.444,11.289,1.219,0.195
57,1,214.0,54.347,2.132,0.239,0.239,2.127,0.256,0.053
58,1,512.0,54.517,1.211,0.231,0.231,2.582,0.254,0.055
59,1,7.0,55.659,2.87,0.277,0.277,1.935,0.165,0.051
60,1,44.0,55.957,2.8,0.164,0.164,2.448,0.241,0.051
61,1,512.0,57.013,2.659,0.267,0.267,2.013,0.247,0.058
62,1,379.0,59.902,1.558,0.149,0.149,1.08,0.198,0.053
63,1,512.0,59.978,1.716,0.262,0.262,1.774,0.175,0.055
64,1,146.0,60.534,1.991,0.189,0.189,2.879,0.29,0.054
65,1,13.0,60.658,2.596,0.158,0.158,1.532,0.133,0.055
66,1,30.0,60.96,1.869,0.224,0.224,2.088,0.129,0.053
67,2,99.0,62.322,12.486,1.169,1.169,12.627,1.437,0.182
68,1,10.0,64.275,1.343,0.162,0.162,1.912,0.166,0.054
69,1,90.0,64.497,2.901,0.262,0.262,1.869,0.234,0.057
70,1,44.0,65.426,2.282,0.277,0.277,1.717,0.247,0.056
