task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T10,0.049,142.45,10.04,99.92,106.57,5.05,24.66,10.19,108.61,145.22,11.07,102.92,114.35,5.83,25.68,10.2,106.09
T6,0.095,149.13,11.05,101.57,99.93,5.55,26.43,9.93,94.1,163.6,9.4,102.7,104.69,5.51,26.4,11.25,101.82
T5,0.098,146.97,11.28,108.82,98.77,5.22,25.53,10.07,103.56,168.64,10.56,117.65,108.12,5.4,26.49,10.1,102.42
T7,0.272,166.34,11.02,96.47,100.36,5.41,26.71,10.79,102.16,156.99,10.93,100.68,108.0,5.73,25.61,9.38,98.7
T4,0.286,144.19,11.26,103.02,110.52,5.52,26.3,11.32,105.37,144.89,9.67,109.5,117.17,5.62,24.71,11.74,101.6
T1,0.368,162.43,9.65,99.28,111.13,5.09,27.7,9.82,100.03,141.42,10.21,97.33,110.74,5.63,29.79,11.52,98.55
T4,0.464,142.66,10.34,103.35,118.7,5.32,24.29,10.86,105.97,160.08,10.94,105.11,115.21,5.93,27.8,10.94,111.35
T10,0.558,161.6,9.44,102.99,107.94,5.65,24.54,10.51,95.36,146.74,9.71,110.17,112.24,5.56,23.65,9.78,104.07
T5,0.699,163.97,10.19,116.0,103.82,5.74,26.28,9.18,113.7,168.74,10.71,109.57,94.54,5.67,25.24,9.5,113.67
T1,0.853,154.95,10.64,95.89,106.05,5.38,27.09,9.85,108.65,164.79,10.18,109.07,100.04,5.7,25.84,10.93,102.6
T7,1.735,159.71,10.37,97.56,102.5,5.54,26.03,9.62,110.22,163.13,11.19,92.82,109.36,5.45,25.81,10.56,108.46
T10,1.906,149.68,9.98,112.95,98.59,5.09,24.89,9.63,96.62,164.8,9.78,106.99,114.14,5.49,27.5,9.49,111.4
T4,1.995,154.59,10.35,109.96,104.49,5.66,24.86,11.34,107.83,163.41,10.14,106.73,118.76,5.19,27.97,10.61,109.51
T3,2.054,158.62,9.33,101.72,103.0,5.56,25.87,10.16,113.05,146.85,9.38,106.01,107.31,5.45,27.33,10.43,105.28
T5,2.158,145.92,10.02,104.25,107.65,5.41,29.56,9.62,96.66,165.8,11.46,103.91,102.86,5.45,26.02,10.89,110.58
T2,2.504,153.66,10.57,95.12,112.11,5.05,26.68,10.22,92.18,147.15,10.27,107.04,105.99,5.79,26.47,11.68,99.31
