task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
1,0.115,1.41,0.929,1.807,1.387
1,0.158,1.327,0.929,1.291,0.616
1,0.254,1.316,0.913,1.15,0.841
1,0.389,1.429,0.617,1.466,0.885
2,0.433,2.023,0.818,3.622,0.533
2,0.927,5.746,2.525,4.555,2.561
2,1.218,2.304,1.188,3.209,1.119
1,1.294,1.403,0.872,1.499,1.008
2,1.323,5.512,0.822,5.059,1.695
1,1.35,0.962,0.939,1.272,0.935
1,1.438,1.414,1.233,1.235,0.82
1,1.609,1.102,0.977,1.261,0.835
2,1.794,4.935,2.579,2.411,1.262
1,1.88,1.337,0.997,0.985,0.882
1,1.899,1.311,0.923,1.111,1.348
2,1.915,8.337,0.822,13.059,2.669
1,1.953,1.456,0.811,1.525,0.899
2,1.994,6.16,1.22,3.791,3.112
1,2.079,1.765,0.585,1.101,0.872
2,2.152,2.346,0.827,6.064,0.607
1,2.282,1.78,0.995,1.123,1.142
2,2.31,3.649,2.838,4.081,0.667
2,2.321,7.338,2.71,3.145,1.776
1,2.399,1.455,0.993,2.371,0.935
2,2.528,13.942,0.805,3.21,1.131
1,2.758,1.242,1.107,1.757,1.25
1,2.789,1.292,0.893,1.274,0.746
2,2.873,2.573,1.106,9.321,2.039
1,2.887,1.239,0.912,2.016,0.905
1,3.012,1.154,0.789,1.102,1.148
2,3.063,5.572,1.216,1.602,1.253
1,3.08,1.211,0.945,1.767,0.897
2,3.22,7.091,1.924,12.172,1.09
2,3.259,3.943,1.336,4.961,1.231
1,3.345,1.304,0.671,1.04,0.906
2,3.481,11.86,1.401,2.591,0.873
2,3.694,6.601,2.929,5.302,0.533
2,4.094,5.653,2.899,9.058,2.359
2,4.164,4.972,1.594,4.554,2.952
2,4.242,4.195,2.447,5.607,3.238
1,4.626,1.108,1.125,1.793,1.237
1,4.651,2.119,0.92,0.954,1.07
1,4.888,1.277,1.246,1.275,0.927
1,4.903,1.03,0.954,1.524,0.93
1,5.053,1.363,0.615,1.223,0.903
1,5.288,1.104,0.871,1.294,1.216
1,5.321,1.82,0.884,1.017,1.401
2,5.341,2.687,2.139,2.694,1.178
2,5.42,5.263,1.086,6.145,1.42
2,5.49,3.755,1.5,3.758,2.952
2,5.611,13.827,1.541,3.155,2.81
1,5.65,1.272,0.832,1.097,1.216
2,5.689,3.121,1.25,2.119,1.26
2,5.718,12.079,0.429,11.134,0.541
2,6.235,4.456,2.952,4.779,2.27
2,6.302,3.165,2.394,3.162,1.22
2,6.479,2.304,1.209,7.326,1.309
2,6.531,2.727,2.845,11.493,1.094
2,6.614,4.548,1.25,12.036,1.559
1,6.665,1.26,1.16,1.079,1.384
2,6.981,4.554,1.295,3.626,3.457
1,6.999,2.04,0.624,1.181,1.189
2,7.159,4.098,3.294,2.54,1.919
1,7.181,1.448,0.996,0.964,1.231
1,7.396,1.406,1.25,1.288,1.228
1,7.479,1.42,0.867,1.2,0.868
2,7.601,9.123,1.28,4.612,1.989
1,7.713,1.405,0.874,1.241,0.865
1,7.732,1.363,1.128,1.001,1.074
1,7.999,2.112,0.764,1.289,1.093
2,8.143,8.71,0.747,2.634,2.091
1,8.318,1.501,1.398,1.926,0.883
2,8.368,5.708,1.085,2.365,1.236
1,8.688,2.019,1.254,1.934,1.115
2,8.818,3.766,0.542,3.054,2.236
1,8.871,2.018,1.245,1.384,1.266
2,8.878,1.641,1.094,10.361,1.124
2,9.065,2.992,0.905,7.542,0.68
1,9.105,2.149,1.144,2.372,0.903
1,9.164,1.277,0.9,1.772,0.981
1,9.378,1.284,1.005,1.11,0.952
2,9.471,2.313,1.261,2.779,1.107
2,9.735,3.121,1.601,7.59,2.278
2,9.821,4.166,0.779,2.227,1.133
2,10.067,7.706,2.985,11.821,0.855
2,10.15,2.504,1.324,2.572,0.833
2,10.284,7.598,1.787,3.52,1.943
1,10.492,1.201,0.615,1.87,1.187
2,10.534,2.737,0.935,3.845,2.292
1,10.539,1.381,0.972,1.406,0.841
1,10.546,2.204,0.923,1.216,0.843
1,10.765,0.991,0.925,1.932,0.922
1,10.807,1.99,0.929,1.789,1.293
1,11.084,1.79,0.878,1.792,0.922
2,11.214,1.743,1.215,1.812,0.878
2,11.252,5.335,3.336,9.692,1.783
1,11.387,1.252,1.242,1.249,0.97
1,11.579,1.251,1.339,1.236,1.393
1,11.587,1.301,0.627,1.211,1.261
1,11.845,1.255,1.124,1.41,0.903
1,12.125,1.944,1.095,1.243,0.947
2,12.16,5.824,1.957,2.765,2.854
1,12.491,1.807,1.141,1.407,1.254
2,12.521,4.07,1.107,5.141,2.782
2,12.523,10.999,1.365,3.509,1.176
2,12.615,4.792,1.723,5.094,3.167
1,12.717,1.515,0.641,1.244,0.977
2,12.851,2.402,2.26,12.508,3.294
2,12.857,10.841,1.668,4.028,2.394
1,12.955,1.412,0.626,1.252,1.134
1,13.143,1.218,0.837,2.424,1.237
1,13.232,1.422,1.385,0.985,1.192
2,13.239,13.9,1.695,11.024,2.173
1,13.289,1.207,1.234,1.441,1.192
2,13.304,2.687,1.556,2.156,0.818
1,13.412,1.414,0.864,1.286,0.903
2,13.583,5.986,3.169,4.13,1.093
2,13.588,3.923,1.106,4.195,1.74
1,13.688,1.77,0.619,1.319,0.932
1,13.825,1.514,0.978,1.053,1.394
2,13.841,4.312,1.19,2.229,3.225
2,13.917,11.941,1.605,10.532,1.694
1,14.016,1.339,0.62,1.232,1.335
1,14.116,1.271,1.027,1.277,0.948
1,14.402,1.005,1.151,1.328,1.339
1,14.497,1.233,1.143,2.138,0.797
1,14.541,2.001,0.985,1.263,0.811
2,14.683,2.478,1.494,2.227,1.156
1,14.736,1.288,1.125,1.926,1.431
1,14.842,0.937,0.963,1.115,0.612
1,14.892,2.056,0.85,1.278,0.612
1,15.013,1.763,1.177,2.121,0.995
2,15.062,5.813,2.943,13.587,1.502
1,15.084,1.323,0.908,1.248,0.955
1,15.265,2.333,0.619,1.218,1.087
1,15.337,1.001,0.788,0.933,0.927
1,15.343,0.935,1.219,1.512,0.853
2,15.467,5.338,0.541,10.607,0.557
1,15.545,1.301,0.628,2.043,1.235
1,15.637,1.825,0.794,1.425,0.863
1,15.749,1.934,1.385,1.236,1.129
1,16.101,1.274,1.143,1.491,1.191
1,16.118,1.51,1.232,1.812,0.858
1,16.153,1.417,1.247,1.476,1.337
1,16.19,1.289,1.12,1.223,0.824
1,16.198,1.267,1.385,1.214,1.093
1,16.322,1.757,0.963,1.803,1.178
2,16.329,4.79,1.213,5.812,0.697
1,16.363,1.316,0.824,1.201,0.954
1,16.442,1.892,1.128,1.885,0.893
2,16.728,3.194,1.69,7.377,2.366
1,16.74,1.447,1.401,1.247,1.189
1,16.927,1.303,1.128,2.34,0.82
2,16.965,1.703,1.663,1.73,1.793
2,17.005,4.612,2.873,5.965,1.133
1,17.28,1.027,0.883,1.817,0.909
2,17.311,4.718,3.25,7.573,1.46
1,17.393,1.812,1.271,1.261,1.405
1,17.394,1.293,0.929,1.5,0.963
2,17.498,3.654,1.302,5.812,1.663
1,17.512,1.224,0.884,1.213,1.128
2,17.696,12.818,1.188,6.047,0.981
2,18.117,2.395,3.343,3.046,0.68
1,18.155,1.046,0.874,1.212,0.849
1,18.334,1.29,0.904,1.334,0.692
1,18.341,1.426,1.447,1.959,0.894
2,18.623,2.54,1.606,5.302,1.639
1,18.635,1.223,0.821,1.108,0.875
1,18.724,1.757,0.85,1.461,1.377
1,18.758,1.3,0.999,1.232,0.85
1,18.987,1.001,1.171,1.233,1.187
1,19.01,1.41,1.178,1.241,0.902
1,19.022,1.277,0.746,1.23,0.884
2,19.129,1.616,0.855,3.645,1.95
2,19.164,5.165,2.838,5.214,1.275
1,19.2,1.288,1.088,1.207,0.869
1,19.291,2.126,1.235,1.25,1.203
2,19.354,1.962,1.518,3.21,1.043
1,19.713,1.821,1.401,1.82,1.431
1,19.77,1.303,1.261,1.246,0.935
2,19.834,3.492,0.842,1.703,0.855
2,20.001,12.35,0.89,4.113,1.106
2,20.007,11.333,0.667,7.287,2.779
1,20.31,1.235,0.913,1.006,1.457
2,20.441,2.838,0.71,4.209,2.751
2,20.529,10.22,0.865,3.92,1.541
2,20.561,11.42,1.212,2.097,0.601
1,20.737,1.26,0.613,2.112,0.904
2,20.888,3.755,1.101,4.919,2.394
2,21.024,5.786,3.113,5.106,2.002
2,21.062,5.985,2.139,11.972,0.819
2,21.08,2.637,0.669,3.645,1.671
2,21.154,2.515,3.422,4.378,0.657
2,21.178,2.881,0.429,3.21,1.648
1,21.244,1.795,0.914,1.257,1.264
1,21.499,1.191,0.621,1.501,1.134
2,21.514,8.464,1.011,2.767,0.614
2,21.537,3.169,0.752,4.852,1.485
2,21.54,12.106,2.232,4.933,3.424
1,21.73,1.241,0.922,2.144,0.879
2,21.736,2.197,1.188,3.485,1.057
1,21.775,1.412,1.446,1.268,1.233
2,21.993,8.1,1.279,1.807,3.012
1,22.116,1.083,0.873,0.993,1.335
2,22.161,4.289,2.166,8.036,1.694
2,22.225,2.234,1.626,8.69,0.47
1,22.273,1.236,0.967,2.228,0.904
1,22.291,1.414,0.642,2.459,0.958
1,22.297,1.751,0.929,1.086,0.613
2,22.329,5.214,3.265,10.331,1.092
2,22.36,3.855,1.243,2.662,0.929
1,22.426,1.814,0.896,1.826,1.227
1,22.639,1.418,0.922,1.821,0.804
1,22.844,1.046,1.237,1.994,0.884
2,22.962,5.661,1.631,10.367,0.766
1,23.238,0.954,0.884,2.13,0.823
2,23.462,4.195,1.522,3.787,1.236
2,23.475,5.219,1.348,8.71,0.981
1,23.561,1.468,0.872,1.262,0.794
1,23.751,1.439,0.837,2.128,0.923
1,23.789,1.327,1.149,1.486,0.922
2,23.829,4.033,1.336,2.241,2.776
1,23.912,2.028,0.988,1.25,1.242
1,23.987,2.441,0.776,0.953,1.22
2,23.988,2.446,3.112,7.542,1.348
2,24.026,2.742,1.215,4.612,1.989
1,24.079,1.257,0.853,1.301,0.926
1,24.253,1.123,1.128,1.3,0.617
2,24.265,4.456,0.805,8.437,1.551
1,24.58,1.959,0.913,1.537,1.522
1,24.589,1.932,1.449,1.418,1.346
2,24.641,2.25,1.231,7.178,1.352
2,24.645,9.003,2.173,7.605,1.966
2,24.665,5.715,0.912,10.546,1.329
1,24.735,2.006,0.854,1.943,1.184
2,24.74,9.3,2.998,2.637,1.194
2,24.882,7.287,0.601,5.698,1.365
2,24.923,7.584,2.589,2.184,0.733
1,25.098,1.786,0.952,1.757,0.879
2,25.239,8.293,0.959,6.348,2.182
2,25.553,1.962,2.016,3.288,3.142
1,25.655,2.074,0.611,0.945,0.884
2,25.879,13.827,1.95,4.529,0.669
1,26.021,1.242,0.947,1.224,0.897
2,26.033,13.827,2.105,5.671,1.11
1,26.055,2.087,1.342,1.216,0.891
1,26.09,1.244,0.968,1.424,0.873
2,26.256,2.206,0.611,8.022,1.32
2,26.287,2.25,1.075,4.146,1.011
1,26.292,1.238,1.231,2.06,0.889
2,26.411,1.75,0.807,1.977,3.012
1,26.472,1.799,0.865,1.213,0.607
1,26.485,1.497,0.85,1.11,0.863
2,26.633,1.962,2.903,4.07,1.415
