task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T4,2.996,2.0,2.0,2.0,2.0,1.97,2.01
T4,6.31,2.0,2.0,2.0,2.01,2.0,2.0
T3,7.458,5.0,5.0,5.0,4.97,4.92,5.01
T3,10.32,5.0,5.0,5.0,5.08,5.03,4.95
T3,14.738,5.0,5.0,5.0,4.93,4.96,5.03
T4,15.925,2.0,2.0,2.0,2.03,1.97,1.99
T2,17.915,15.0,15.0,15.0,14.79,15.2,15.09
T3,26.64,5.0,5.0,5.0,4.99,5.08,5.01
T4,27.028,2.0,2.0,2.0,2.02,1.98,1.98
T3,27.509,5.0,5.0,5.0,5.0,5.08,4.96
T2,30.757,15.0,15.0,15.0,14.9,14.98,15.11
T3,31.939,5.0,5.0,5.0,5.03,5.04,5.0
T3,36.179,5.0,5.0,5.0,4.92,4.99,5.07
T2,38.621,15.0,15.0,15.0,14.78,14.83,14.88
T2,39.391,15.0,15.0,15.0,14.92,14.88,15.04
T4,40.442,2.0,2.0,2.0,2.01,1.97,1.99
T2,40.615,15.0,15.0,15.0,14.75,15.12,14.94
T2,46.857,15.0,15.0,15.0,14.85,15.21,15.05
T1,48.202,10.0,10.0,10.0,9.84,9.88,9.9
T1,51.111,10.0,10.0,10.0,10.14,9.86,9.89
T4,53.374,2.0,2.0,2.0,2.0,2.02,2.02
T4,56.423,2.0,2.0,2.0,1.98,1.97,1.97
T2,57.515,15.0,15.0,15.0,15.03,15.13,15.0
T4,60.511,2.0,2.0,2.0,2.01,2.02,1.97
T3,76.805,5.0,5.0,5.0,4.96,4.92,4.97
T2,80.228,15.0,15.0,15.0,14.82,14.96,14.85
T1,81.021,10.0,10.0,10.0,9.86,10.09,10.06
T1,81.625,10.0,10.0,10.0,9.87,10.12,9.96
T4,84.936,2.0,2.0,2.0,2.02,2.03,2.0
T2,85.186,15.0,15.0,15.0,15.06,15.19,15.05
T3,89.068,5.0,5.0,5.0,4.96,4.94,4.95
T2,96.353,15.0,15.0,15.0,14.9,15.03,15.08
T1,99.371,10.0,10.0,10.0,9.86,9.87,9.87
T2,105.282,15.0,15.0,15.0,15.22,15.2,15.11
