task_type,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
T4,0.111,108.9,0.94,10.54,1.0,99.88,106.51,99.46,114.78,113.72,1.02,10.9,1.12,112.85,106.67,105.72,106.89
T3,0.844,111.99,1.03,9.87,1.01,96.43,106.15,106.66,93.02,99.31,0.97,10.86,1.05,99.53,101.11,109.79,99.85
T3,0.937,115.49,0.99,9.83,1.16,97.71,108.78,108.26,92.73,98.8,0.99,9.34,1.05,105.14,99.22,95.12,100.38
T4,0.979,110.84,0.97,10.81,0.97,104.68,107.03,103.98,113.15,114.11,0.93,10.68,1.11,112.92,115.98,104.28,107.73
T4,1.074,106.28,1.04,11.56,1.01,108.67,103.37,102.42,108.31,105.37,1.08,10.38,1.02,98.09,114.88,112.0,112.26
T1,1.084,107.24,0.96,10.21,1.04,100.67,110.02,110.3,99.58,103.55,1.05,11.66,1.09,104.34,106.37,101.03,108.06
T4,1.464,113.33,0.95,10.72,0.99,101.02,99.12,109.37,99.62,110.48,0.96,11.78,1.13,96.97,115.39,114.56,117.66
T3,1.97,108.62,1.0,10.65,1.05,96.99,113.35,96.37,98.52,106.47,0.98,9.34,1.0,96.75,104.72,99.29,104.51
T1,2.372,96.91,1.01,11.21,1.06,97.26,110.14,110.93,98.41,101.4,1.03,10.66,1.01,108.98,101.75,107.87,95.4
T4,2.702,113.59,1.09,11.45,1.07,112.19,109.52,103.72,111.42,108.1,1.02,11.33,1.04,97.91,113.42,106.23,110.34
T1,2.853,97.47,1.05,10.52,1.09,110.92,99.77,116.53,105.96,103.89,0.98,10.99,0.98,111.69,111.83,116.5,102.05
T4,2.876,103.44,1.04,11.79,1.06,112.6,100.79,98.78,111.59,98.9,1.08,10.23,1.05,97.87,99.62,102.59,109.57
T3,2.929,103.49,0.96,10.44,1.14,97.32,100.95,108.77,102.9,113.92,0.94,10.52,1.04,97.71,108.9,102.52,95.34
T2,3.021,101.68,1.11,10.1,1.03,101.38,96.34,100.85,116.1,114.03,1.1,11.68,1.01,108.45,99.3,114.42,101.74
T3,3.113,116.38,1.07,10.54,1.03,99.79,102.21,98.74,93.58,103.57,0.96,10.6,1.08,109.74,113.17,110.34,101.09
T2,3.147,104.61,1.05,10.91,1.05,96.34,105.57,101.79,100.69,113.92,0.96,10.26,1.08,101.28,93.4,106.85,114.85
T2,3.246,111.42,1.02,10.04,0.98,105.89,102.9,111.48,115.61,116.7,1.0,10.47,0.99,101.41,107.28,109.03,105.56
T2,4.132,115.84,0.96,10.73,1.04,105.26,92.54,111.19,108.52,102.16,0.99,10.88,1.08,99.39,96.76,99.92,101.69
T2,4.224,110.8,1.07,11.5,1.05,104.85,92.9,114.31,113.52,105.04,1.04,10.33,0.95,100.52,103.44,109.14,99.64
T1,4.358,108.74,1.05,10.02,0.95,102.12,106.39,105.55,109.29,92.07,1.1,11.74,0.97,97.58,100.28,109.74,107.58
T4,4.456,99.95,1.0,11.33,1.11,113.91,113.42,113.25,107.34,103.7,0.95,11.12,1.02,100.64,105.07,103.86,112.36
T4,4.488,106.03,1.01,11.54,1.05,98.88,103.76,115.28,115.86,110.9,1.11,11.66,1.0,108.6,112.48,109.51,104.57
T4,4.56,99.48,1.04,10.32,1.04,112.64,115.35,109.01,101.76,102.58,1.03,10.95,1.1,98.09,112.91,103.6,103.14
T4,4.718,99.49,1.06,11.75,1.04,99.3,100.13,111.29,113.3,111.74,0.95,11.47,0.96,101.48,116.55,114.58,112.54
T2,4.748,106.88,1.03,10.15,0.93,110.2,102.91,103.64,112.37,103.58,1.06,10.62,1.02,108.79,99.03,107.1,104.4
T2,5.159,100.66,1.08,10.45,0.99,102.19,92.57,97.34,100.52,101.03,1.0,10.97,0.92,98.15,92.44,102.68,109.76
T2,5.38,109.24,0.98,10.68,1.1,98.4,92.97,106.92,114.56,103.34,1.13,11.42,0.98,101.22,93.03,113.55,98.42
T3,5.532,103.48,1.0,10.78,1.05,100.66,101.81,103.6,108.88,115.55,1.05,9.7,1.11,113.14,106.84,95.32,103.44
T3,5.939,99.11,0.94,10.35,1.08,101.2,113.17,98.4,94.34,101.93,1.05,9.28,1.01,112.12,114.88,105.74,102.21
T2,6.062,112.85,1.12,11.64,1.06,96.3,107.28,114.47,100.19,106.24,0.98,10.77,0.98,109.03,96.76,98.14,102.71
T2,6.069,117.78,0.95,11.82,1.08,93.49,97.54,102.68,115.08,111.62,1.05,10.11,0.95,93.39,106.14,101.38,110.31
T3,6.093,113.4,0.96,9.68,1.09,110.46,110.05,98.55,98.8,108.04,0.95,10.04,1.03,97.1,99.73,100.94,105.97
T2,6.139,115.92,1.05,11.83,0.99,105.87,101.79,114.52,107.06,109.68,1.06,11.8,1.0,98.05,93.12,114.33,99.98
T4,6.433,104.15,0.96,11.64,0.99,108.46,110.3,105.78,104.12,116.4,0.95,10.91,0.97,109.81,107.37,113.26,101.15
T2,6.497,103.84,1.12,10.31,0.95,103.38,105.91,105.15,111.28,109.15,1.1,10.4,1.04,99.15,96.94,101.42,116.54
T1,6.671,94.69,1.01,10.3,1.08,103.88,97.63,114.01,109.38,99.76,0.99,10.65,1.01,102.12,112.38,114.6,97.17
T4,7.508,100.37,1.04,11.16,1.1,105.15,108.06,102.24,109.79,109.51,1.1,9.97,0.99,98.62,116.75,113.08,108.24
T4,7.527,100.75,0.98,11.32,1.03,99.0,104.13,101.28,106.6,115.2,0.94,10.38,1.01,107.29,98.52,113.55,104.07
T1,7.655,98.93,1.08,11.76,1.05,112.49,103.68,102.57,107.2,98.24,1.03,11.35,1.06,106.9,111.74,109.4,102.3
T4,7.86,106.28,0.99,10.89,1.11,108.19,98.97,105.57,99.96,108.04,1.05,11.7,0.97,104.68,107.98,103.81,100.09
T3,7.873,114.47,1.09,9.4,1.03,106.07,105.15,101.82,98.21,100.29,0.94,10.75,1.12,112.08,107.5,100.45,100.7
T2,8.283,100.24,1.05,10.99,0.92,96.58,93.21,102.76,116.1,108.99,1.06,11.08,1.0,109.64,108.49,98.5,109.57
T2,8.41,110.51,1.12,10.64,0.95,110.66,100.47,105.96,106.31,101.67,0.98,10.97,0.98,101.09,100.77,110.76,113.5
T1,8.422,95.71,1.08,11.23,1.06,108.28,112.99,106.74,105.24,101.35,1.05,11.17,0.99,107.34,111.27,116.21,98.02
T3,8.471,105.91,0.93,10.31,1.03,95.46,99.85,100.46,94.24,103.48,1.01,10.22,1.02,96.26,105.54,105.51,94.05
T2,8.677,111.49,1.0,11.85,0.95,96.15,97.21,98.94,100.0,102.99,1.03,11.85,0.98,100.08,95.99,115.64,113.31
T4,8.724,108.68,1.03,11.46,1.02,105.45,106.42,108.0,105.33,111.39,0.97,11.75,1.09,107.06,111.5,108.71,113.33
T3,9.227,99.08,1.02,10.67,1.03,108.75,98.6,109.12,107.55,112.84,1.02,9.7,1.05,104.4,112.06,109.12,107.18
T3,9.426,108.49,1.0,10.31,1.08,112.57,99.86,103.65,106.23,112.0,1.0,10.4,1.05,103.85,98.09,104.09,103.01
T4,9.556,98.92,0.93,11.47,1.0,107.56,113.02,106.39,101.87,108.93,1.06,10.86,1.03,114.46,106.34,108.32,105.61
T2,9.891,117.31,1.12,11.29,0.95,94.18,109.01,108.77,105.78,101.49,1.04,10.59,1.01,93.2,101.0,97.58,98.42
T4,10.006,115.6,1.1,10.75,1.09,102.91,104.16,99.9,111.42,115.48,1.07,10.8,0.97,96.97,102.84,100.9,118.07
T2,10.077,108.69,1.07,10.55,0.93,94.21,106.31,98.6,109.6,101.7,1.03,10.21,1.08,96.62,97.2,100.67,109.12
T1,10.372,97.95,1.1,11.41,1.08,111.59,99.14,116.9,109.03,92.74,1.0,11.76,1.07,103.79,113.76,104.88,106.78
T4,10.619,107.3,0.95,11.73,1.07,98.64,98.45,105.43,102.19,101.16,1.0,11.18,1.08,111.48,101.16,116.47,114.36
T2,10.654,114.75,1.0,10.94,1.02,100.95,92.82,108.35,103.45,106.09,1.11,11.14,0.98,98.87,107.51,110.75,114.21
