task_type,arrival_time
Face_recog,0.617
Text_detection,0.764
Text_detection,2.63
Object_detection,3.92
Object_detection,5.551
Face_recog,5.988
Text_detection,6.676
Text_detection,7.348
Object_detection,8.314
Face_recog,8.343
Speech_recog,8.961
Text_detection,10.753
Speech_recog,10.914
Face_recog,13.087
Speech_recog,13.303
Speech_recog,15.134
Object_detection,17.628
Object_detection,17.652
Object_detection,18.3
Face_recog,18.776
Speech_recog,19.314
Text_detection,23.453
Object_detection,23.855
Face_recog,24.512
Speech_recog,25.311
Text_detection,25.842
Speech_recog,26.288
Text_detection,26.518
Speech_recog,28.775
Speech_recog,30.578
Object_detection,32.594
Object_detection,33.329
Speech_recog,37.198
Object_detection,37.608
Face_recog,40.018
Face_recog,45.088
Face_recog,48.685
Face_recog,49.136
Text_detection,59.944
Text_detection,67.313
