task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.838,3.01,5.929,3.088,5.987
1,1.018,1.996,1.041,1.979,1.093
1,1.264,1.942,1.038,1.911,1.03
1,1.341,1.924,1.004,1.968,1.01
1,1.618,1.941,1.097,1.972,1.028
1,2.099,1.972,1.035,1.921,1.08
2,2.821,3.008,5.957,3.032,5.934
1,4.673,1.938,1.077,1.968,1.081
2,5.238,3.045,5.939,3.086,5.97
2,5.42,3.09,5.901,3.063,5.988
1,5.562,1.919,1.046,1.913,1.017
1,6.441,1.94,1.085,1.925,1.057
1,7.741,1.919,1.008,1.942,1.067
2,8.981,3.045,5.922,3.096,5.996
1,9.332,1.948,1.094,1.987,1.017
1,9.928,1.902,1.039,1.938,1.037
1,10.536,1.916,1.032,1.977,1.008
2,10.732,3.065,5.927,3.048,5.934
1,10.792,1.911,1.0,1.93,1.091
1,11.776,1.903,1.1,1.96,1.078
1,13.657,1.975,1.048,1.922,1.01
1,14.705,1.968,1.097,1.952,1.054
2,15.365,3.007,5.948,3.012,5.954
1,16.932,1.965,1.075,1.937,1.081
1,17.309,1.925,1.062,1.963,1.002
1,17.585,1.954,1.093,1.925,1.093
1,17.616,1.916,1.019,1.93,1.011
1,17.922,1.944,1.04,1.922,1.024
1,18.192,1.99,1.056,1.952,1.089
2,18.221,3.008,6.0,3.052,5.95
1,20.37,1.969,1.02,1.904,1.05
1,20.615,1.943,1.066,1.93,1.014
2,21.174,3.076,6.0,3.019,5.932
2,21.325,3.045,5.957,3.028,5.94
2,21.484,3.003,5.994,3.095,5.969
1,21.764,1.908,1.039,1.958,1.021
1,22.066,1.929,1.081,1.993,1.084
1,22.074,1.951,1.042,1.987,1.065
2,23.247,3.038,5.979,3.001,5.94
1,23.569,1.987,1.043,1.925,1.093
1,24.597,1.943,1.032,1.994,1.077
2,25.118,3.066,5.908,3.028,5.901
1,25.232,1.974,1.096,1.906,1.096
1,25.451,1.998,1.075,1.991,1.093
1,25.928,1.901,1.016,1.978,1.097
1,26.144,1.952,1.083,1.996,1.069
2,27.153,3.037,5.949,3.087,5.94
2,27.229,3.003,5.931,3.083,5.946
1,27.428,1.967,1.026,1.983,1.089
2,27.717,3.069,5.987,3.063,5.947
1,28.795,1.95,1.033,1.967,1.062
1,29.075,1.917,1.004,1.905,1.046
1,29.135,1.966,1.038,1.941,1.024
1,29.388,1.975,1.028,1.989,1.092
1,29.763,1.996,1.046,1.927,1.037
2,29.93,3.043,5.913,3.043,5.989
1,29.966,1.974,1.09,1.95,1.081
2,30.875,3.06,5.941,3.046,5.946
1,31.565,1.955,1.063,1.92,1.026
1,32.135,1.982,1.023,1.988,1.087
1,33.004,1.956,1.094,1.978,1.085
1,33.005,1.925,1.08,1.917,1.081
1,33.836,1.931,1.035,1.949,1.098
1,35.074,1.916,1.08,1.927,1.023
1,35.33,1.902,1.043,1.964,1.021
1,35.368,1.903,1.094,1.967,1.052
1,35.528,1.998,1.022,1.92,1.064
2,35.643,3.078,5.939,3.084,5.987
1,36.119,1.998,1.006,1.909,1.048
2,36.744,3.076,5.913,3.022,5.966
2,37.119,3.039,5.933,3.095,5.966
1,37.884,1.939,1.001,1.936,1.076
1,38.197,1.963,1.064,1.975,1.037
1,38.648,1.981,1.087,1.927,1.048
1,38.774,1.959,1.046,1.97,1.039
1,39.517,1.967,1.04,1.989,1.098
1,39.826,1.988,1.093,1.946,1.039
1,40.326,1.917,1.051,1.966,1.037
1,41.139,1.968,1.036,1.996,1.055
1,42.131,1.949,1.098,1.91,1.081
2,42.73,3.06,5.98,3.024,5.996
2,43.26,3.004,5.938,3.071,5.965
1,43.714,1.954,1.048,1.926,1.056
1,44.077,1.953,1.086,1.941,1.095
1,44.823,1.959,1.03,1.956,1.038
1,47.873,1.973,1.066,1.908,1.027
2,50.656,3.008,5.934,3.064,5.954
1,52.234,1.942,1.011,1.989,1.003
2,52.747,3.097,5.937,3.037,5.924
1,52.814,1.986,1.003,1.946,1.06
2,53.007,3.069,5.962,3.007,5.934
1,53.679,1.909,1.011,1.966,1.056
1,54.758,1.995,1.058,1.962,1.005
2,54.818,3.022,5.903,3.099,5.919
2,54.904,3.037,5.96,3.001,5.927
1,56.147,1.969,1.034,1.94,1.091
2,56.222,3.01,5.972,3.09,5.922
1,58.094,1.931,1.057,1.968,1.005
1,58.263,1.929,1.077,1.913,1.042
1,58.851,1.974,1.079,2.0,1.077
2,59.924,3.041,5.941,3.003,5.908
1,60.005,1.998,1.068,1.979,1.084
1,61.096,1.934,1.004,1.916,1.018
2,61.658,3.011,5.916,3.099,5.949
1,61.807,1.922,1.089,1.982,1.001
1,63.288,1.965,1.001,1.995,1.043
1,63.469,1.948,1.057,1.95,1.01
1,63.542,1.914,1.07,1.918,1.091
2,64.531,3.0,5.989,3.055,5.96
1,64.614,1.995,1.04,1.931,1.046
1,65.589,1.948,1.091,1.922,1.075
1,65.637,1.969,1.072,1.915,1.064
1,66.332,1.921,1.092,1.914,1.046
1,66.57,1.997,1.087,1.923,1.091
2,66.607,3.008,5.972,3.035,5.929
1,66.645,1.995,1.032,1.912,1.055
1,67.421,1.997,1.091,1.929,1.092
1,67.799,1.988,1.085,1.904,1.041
1,67.852,1.949,1.039,1.986,1.011
1,67.958,1.938,1.096,1.975,1.058
1,68.892,1.936,1.09,1.923,1.02
2,69.431,3.006,5.991,3.001,5.912
1,69.441,1.944,1.056,1.99,1.051
1,69.762,1.917,1.05,1.944,1.095
2,70.71,3.09,5.97,3.043,5.934
1,72.387,1.964,1.088,1.904,1.06
1,72.401,1.948,1.081,1.978,1.041
1,72.61,1.904,1.021,1.904,1.057
1,73.65,1.959,1.03,1.906,1.082
1,73.843,1.901,1.095,1.902,1.019
1,73.904,1.927,1.027,1.906,1.001
2,74.687,3.066,5.933,3.04,5.986
2,76.799,3.041,5.96,3.088,5.938
1,77.085,1.959,1.062,1.929,1.001
1,78.157,1.92,1.015,1.946,1.016
1,79.243,1.927,1.034,1.953,1.025
1,79.645,1.931,1.086,1.95,1.04
1,80.426,1.918,1.084,1.987,1.057
1,81.642,1.941,1.045,1.913,1.042
1,81.816,1.968,1.054,1.929,1.075
1,81.891,1.975,1.094,1.952,1.061
1,82.11,1.986,1.01,1.91,1.08
1,84.076,1.954,1.086,1.954,1.027
1,87.108,1.913,1.075,1.941,1.082
1,88.132,1.922,1.047,1.963,1.06
1,88.547,1.996,1.015,1.92,1.091
1,89.399,1.958,1.02,1.929,1.06
1,89.699,1.907,1.047,1.913,1.004
1,90.854,1.999,1.062,1.996,1.073
1,92.094,1.964,1.069,1.998,1.03
1,92.647,1.937,1.031,1.949,1.086
1,92.957,1.958,1.1,1.974,1.063
1,94.453,1.99,1.046,1.98,1.049
1,94.901,1.905,1.036,1.923,1.08
2,95.292,3.032,5.96,3.095,5.947
1,96.149,1.971,1.047,1.95,1.027
1,96.555,1.954,1.001,1.976,1.001
1,99.434,1.996,1.047,1.998,1.041
1,100.148,1.965,1.055,1.927,1.072
1,100.324,1.935,1.017,1.949,1.061
1,100.631,1.964,1.037,1.961,1.044
1,101.917,1.949,1.02,1.931,1.046
1,102.34,1.951,1.048,1.944,1.091
1,102.342,1.906,1.073,1.964,1.009
2,102.523,3.089,5.923,3.099,5.998
1,102.812,1.975,1.097,1.979,1.061
1,102.863,1.985,1.0,1.965,1.027
2,103.234,3.067,5.911,3.033,5.944
1,106.138,1.937,1.067,1.945,1.066
1,106.623,1.901,1.037,1.951,1.016
2,106.757,3.085,5.906,3.074,5.996
1,109.181,1.993,1.037,1.978,1.001
1,109.907,1.913,1.001,1.957,1.04
1,110.079,1.903,1.026,1.989,1.031
1,111.79,1.965,1.043,1.901,1.002
1,112.82,1.99,1.063,1.992,1.011
1,117.55,1.982,1.044,1.967,1.053
2,117.755,3.005,5.995,3.098,5.968
2,118.14,3.012,5.901,3.016,5.987
1,120.069,1.913,1.042,1.973,1.015
2,120.598,3.093,5.949,3.076,5.953
1,121.381,1.911,1.023,1.927,1.011
2,123.131,3.06,5.966,3.038,5.911
1,123.439,1.91,1.09,1.97,1.086
1,124.882,1.992,1.047,1.982,1.007
1,125.129,1.938,1.039,1.938,1.026
2,125.192,3.005,5.94,3.003,5.995
2,125.31,3.0,5.94,3.027,5.911
1,125.616,1.951,1.041,1.909,1.005
1,125.703,1.991,1.051,1.94,1.018
2,126.914,3.073,5.943,3.079,5.974
1,127.631,1.948,1.077,1.91,1.001
1,128.008,1.967,1.001,1.991,1.003
2,128.706,3.055,5.959,3.044,5.944
2,128.735,3.093,5.997,3.066,5.988
1,129.632,1.913,1.047,1.911,1.019
1,129.864,1.945,1.088,1.949,1.073
1,130.444,1.935,1.094,1.957,1.046
1,130.77,1.993,1.082,1.96,1.029
2,131.09,3.075,5.955,3.072,5.908
1,131.213,2.0,1.07,1.993,1.093
1,131.251,1.946,1.089,1.966,1.075
1,133.274,1.983,1.07,1.946,1.027
1,133.971,1.998,1.008,1.919,1.095
1,134.183,1.968,1.079,1.937,1.054
2,135.109,3.09,5.938,3.085,5.991
2,135.318,3.027,5.947,3.004,5.993
1,136.869,1.994,1.025,1.963,1.092
1,138.371,1.907,1.033,1.971,1.06
1,138.389,1.931,1.001,1.941,1.07
1,138.665,1.943,1.075,1.969,1.065
1,139.27,1.983,1.044,1.99,1.043
1,140.233,1.987,1.039,1.952,1.088
2,140.35,3.062,5.951,3.083,5.938
1,140.823,1.927,1.008,1.952,1.086
1,141.616,1.929,1.041,1.902,1.061
1,142.733,1.9,1.06,1.99,1.051
1,143.276,1.902,1.004,1.949,1.068
2,143.277,3.004,5.934,3.037,5.995
1,144.504,1.918,1.094,2.0,1.02
1,147.255,1.918,1.077,1.948,1.06
1,147.261,1.978,1.039,1.982,1.057
2,148.967,3.088,5.944,3.063,5.913
1,149.785,1.914,1.089,1.906,1.072
1,150.317,1.978,1.03,1.931,1.003
1,151.025,1.949,1.086,2.0,1.066
1,152.305,1.923,1.002,1.903,1.082
1,153.197,1.918,1.072,1.957,1.042
1,154.078,1.916,1.017,1.921,1.043
1,154.124,1.926,1.043,1.996,1.09
1,154.497,1.998,1.054,1.972,1.081
1,155.639,1.97,1.081,1.966,1.052
1,156.34,1.918,1.011,1.916,1.05
1,159.381,1.949,1.059,1.927,1.091
1,159.414,1.905,1.018,1.903,1.081
1,159.97,1.991,1.072,1.903,1.065
1,160.302,1.972,1.091,1.999,1.065
2,161.842,3.079,5.931,3.041,5.959
1,162.448,1.998,1.065,1.906,1.032
1,162.877,1.965,1.094,1.993,1.063
1,164.362,1.934,1.022,1.969,1.067
2,164.968,3.033,5.906,3.078,5.912
1,167.847,1.967,1.026,1.948,1.024
1,167.936,1.984,1.015,1.976,1.084
1,168.591,1.919,1.085,1.941,1.06
2,168.6,3.017,5.921,3.049,6.0
1,169.499,1.948,1.023,1.916,1.043
1,169.783,1.992,1.083,1.996,1.051
1,170.823,1.916,1.024,1.967,1.076
1,171.043,1.94,1.057,1.903,1.06
1,172.103,1.947,1.073,1.903,1.024
2,172.501,3.096,5.922,3.04,5.911
1,173.431,1.963,1.067,1.926,1.075
2,173.506,3.084,5.912,3.042,5.986
1,173.808,1.968,1.018,1.954,1.096
2,174.547,3.003,5.923,3.047,5.937
1,174.903,1.979,1.052,1.982,1.078
2,175.061,3.027,5.989,3.016,5.905
1,175.658,1.979,1.041,1.926,1.036
2,176.384,3.032,5.957,3.043,5.924
1,176.466,1.995,1.093,1.947,1.079
1,177.758,1.975,1.018,1.989,1.041
1,178.396,1.957,1.087,1.971,1.028
1,178.534,1.981,1.058,1.986,1.006
1,178.812,1.985,1.035,1.978,1.043
1,179.584,1.998,1.079,1.983,1.041
1,179.79,1.932,1.012,1.922,1.063
1,180.865,1.954,1.058,1.94,1.073
1,180.881,1.941,1.061,1.978,1.076
2,181.573,3.086,5.903,3.008,5.938
1,182.448,1.968,1.008,1.946,1.071
2,182.656,3.016,5.992,3.049,5.95
2,182.878,3.01,5.901,3.071,5.926
