task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
2,0.021,98.24,110.07,1.03,99.36,11.19,1.01,105.91,10.69,95.87,106.03,1.03,108.94,10.73,0.99,104.66,9.6
4,0.634,108.78,103.71,1.14,103.14,9.5,1.07,96.99,9.99,101.73,97.31,1.16,113.69,10.68,1.08,97.45,10.05
2,0.644,96.69,108.85,1.02,103.67,10.86,1.09,102.41,10.76,107.52,106.47,1.06,104.62,10.31,1.08,109.74,10.76
1,1.061,109.69,102.61,1.12,103.12,10.54,0.97,108.31,10.56,100.28,113.92,1.11,110.59,9.96,0.94,116.73,10.59
2,1.569,103.76,105.28,1.06,102.1,11.04,1.11,98.91,10.59,96.35,112.45,0.97,107.65,11.15,1.02,109.74,11.16
3,2.176,101.85,99.99,0.97,101.69,10.46,1.04,94.9,10.92,109.4,110.58,1.0,96.07,10.84,1.07,94.18,11.69
4,2.393,100.9,104.14,1.14,101.77,9.5,0.98,100.15,10.24,98.67,95.3,1.1,114.19,11.07,1.13,101.06,9.99
1,2.593,103.53,114.6,1.09,108.13,10.76,1.02,104.03,9.46,106.13,107.73,1.01,111.27,9.88,1.0,100.51,9.68
4,2.885,111.08,102.56,1.13,102.52,11.12,1.09,110.96,10.41,111.71,104.36,1.18,113.33,9.54,1.08,99.56,10.46
4,2.918,99.06,106.72,1.05,109.65,11.15,1.07,102.18,10.44,110.02,105.67,1.0,110.24,9.86,1.12,107.3,10.95
3,3.118,100.17,98.27,1.06,98.06,10.5,1.03,92.94,10.03,103.74,106.36,0.98,108.93,9.94,1.06,94.92,10.78
2,3.125,100.14,110.24,1.06,100.33,10.71,1.04,101.31,9.88,105.41,106.22,1.09,112.62,11.2,1.08,94.13,9.53
3,3.689,111.19,102.54,1.03,106.25,10.03,0.93,95.19,11.32,107.16,102.32,1.05,98.47,9.77,0.94,94.04,10.21
2,4.199,106.96,101.0,1.02,99.72,10.96,1.08,108.97,10.1,110.36,113.82,1.06,103.76,11.19,1.01,110.27,10.93
