task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
1,0.064,102.81,1.08,100.33,1.0,11.1,104.93,101.64,104.47,103.99,1.09,92.06,1.16,11.06,105.63,102.72,96.56
1,0.33,102.03,0.98,98.85,1.06,10.62,92.68,111.91,96.5,95.09,0.99,98.9,1.11,9.98,98.04,95.17,99.66
1,0.875,103.16,1.06,107.22,1.04,11.45,101.38,105.75,110.27,106.79,1.08,104.7,1.11,11.51,95.28,110.9,101.57
4,1.057,101.06,1.02,102.39,0.96,10.92,102.0,105.87,96.41,113.68,1.03,109.03,1.0,11.12,103.0,108.76,98.87
4,1.232,110.76,1.03,105.43,1.1,11.2,108.73,98.21,106.54,96.71,0.95,97.24,1.09,9.58,105.31,93.53,95.02
2,1.253,110.49,1.04,102.5,1.01,9.4,111.09,103.51,109.05,110.26,1.09,102.3,1.08,10.95,104.43,99.97,106.26
4,1.509,112.59,0.97,103.09,1.11,10.72,102.27,94.86,99.24,114.44,1.0,94.01,1.08,10.35,96.02,98.64,99.93
4,2.467,98.48,0.94,100.79,1.1,10.65,107.94,95.14,97.98,97.96,1.06,99.35,0.94,10.18,98.66,105.01,107.04
3,2.893,117.54,1.07,101.07,1.15,10.97,106.11,103.57,97.59,105.61,1.0,112.54,1.0,10.02,107.3,107.48,106.59
3,3.228,107.12,0.96,115.27,1.09,11.22,108.52,103.97,106.86,103.24,1.02,111.79,1.07,9.82,105.6,109.31,107.2
3,3.374,114.05,0.95,106.36,1.08,9.98,105.07,95.99,106.63,118.05,1.07,111.64,1.16,10.3,94.38,92.26,98.75
3,3.563,106.5,1.05,99.82,1.17,9.66,106.4,108.25,104.14,106.24,1.07,108.69,1.11,10.4,100.61,99.95,97.4
2,3.592,105.24,1.02,102.39,1.1,10.68,100.62,100.98,99.36,105.17,1.12,92.55,0.96,9.96,99.42,110.44,106.42
1,3.592,107.35,1.16,96.92,1.04,10.62,107.2,105.09,112.3,102.42,1.12,97.66,1.15,10.88,110.0,107.74,109.68
1,3.667,94.3,1.15,99.04,1.15,10.72,109.98,97.55,103.15,95.97,0.98,93.67,1.14,10.89,95.68,101.75,103.49
4,3.934,102.46,1.09,103.87,0.97,10.08,105.48,95.65,104.64,110.05,1.03,105.88,1.05,9.75,97.73,105.85,99.46
3,4.058,100.1,0.93,105.22,1.12,10.05,103.34,103.74,101.39,102.9,1.06,116.0,1.11,10.33,98.34,103.41,106.27
4,4.107,105.25,1.08,100.01,1.04,10.86,98.95,95.82,96.48,109.54,1.03,106.54,1.09,10.29,100.47,99.36,103.47
2,4.49,104.05,1.06,99.34,1.07,9.85,102.05,104.83,116.91,115.36,1.16,107.33,1.08,10.2,106.01,101.59,112.27
2,4.736,111.36,1.06,93.74,1.03,9.95,96.11,110.15,99.67,113.08,1.04,104.48,1.07,10.62,98.36,109.92,106.73
1,5.256,104.49,1.16,96.1,1.0,10.25,108.33,94.79,107.1,95.26,1.13,107.41,1.06,11.39,109.78,96.56,107.78
4,5.518,103.73,1.01,108.36,1.0,10.49,102.86,103.84,95.78,103.22,1.05,109.55,1.03,11.01,93.9,92.96,102.52
4,5.815,112.22,0.98,94.41,1.07,9.59,104.52,94.21,106.8,109.47,1.01,107.23,1.08,10.42,108.73,106.51,108.25
4,6.378,112.77,1.05,103.71,1.05,10.6,106.17,103.9,109.87,110.45,0.97,97.23,0.96,10.9,96.89,92.5,101.26
4,6.464,105.37,0.94,96.44,1.08,10.8,96.55,93.51,110.61,96.4,0.94,96.69,0.95,10.43,102.54,103.23,105.25
3,6.964,109.1,1.09,114.39,1.15,9.86,95.82,96.29,111.34,116.15,1.08,102.22,1.04,10.28,107.4,109.31,107.96
4,7.021,111.44,0.95,106.09,1.01,11.06,110.98,101.56,107.7,97.72,1.07,101.85,1.05,9.49,105.71,99.95,98.26
4,7.251,101.01,1.03,97.23,1.06,9.86,99.52,95.47,108.99,103.83,0.97,99.75,1.01,11.02,106.6,98.82,95.43
4,7.273,107.65,0.98,99.38,1.02,10.2,105.68,92.87,109.28,110.95,1.08,100.68,1.08,10.33,100.97,96.78,112.59
1,7.293,103.99,1.06,93.11,1.17,9.71,104.26,100.67,107.1,99.84,1.05,105.37,1.11,11.12,94.02,101.97,109.68
1,7.38,107.35,1.04,105.56,1.08,11.36,99.05,103.47,97.88,92.86,1.1,105.55,1.01,11.16,102.55,94.67,109.92
4,7.823,101.75,1.07,103.5,1.02,10.35,95.12,99.36,112.39,113.0,1.09,96.21,1.09,11.06,96.46,101.79,96.56
