task_type,m1_1,m2_1,m3_1,m4_1
T2,0.212,1.064,1.33,1.776
T2,0.242,0.997,1.407,1.905
T2,0.238,1.14,1.427,1.661
T1,0.019,0.081,0.124,0.153
T2,0.222,1.067,1.488,1.875
T4,0.277,1.119,1.627,2.169
T3,0.231,1.247,1.452,1.934
T4,0.244,1.128,1.569,2.164
T2,0.211,1.071,1.411,1.678
T2,0.224,1.107,1.477,1.762
T3,0.244,1.194,1.543,2.08
T2,0.217,1.074,1.523,1.709
T1,0.018,0.082,0.112,0.147
T1,0.019,0.09,0.119,0.146
T1,0.02,0.089,0.121,0.158
T4,0.243,1.193,1.682,1.867
T4,0.248,1.252,1.48,2.017
T2,0.233,1.035,1.407,1.916
T4,0.242,1.165,1.722,2.036
T2,0.225,1.001,1.323,1.854
T3,0.254,1.069,1.525,1.807
T3,0.23,1.088,1.666,2.043
T4,0.262,1.29,1.716,1.934
T1,0.02,0.092,0.109,0.143
T3,0.255,1.151,1.481,1.879
T1,0.019,0.085,0.126,0.141
T4,0.279,1.126,1.665,1.906
T3,0.26,1.099,1.64,1.803
T3,0.245,1.104,1.653,1.928
T1,0.02,0.087,0.121,0.134
T2,0.223,1.047,1.52,1.654
T3,0.264,1.238,1.651,1.977
T3,0.234,1.229,1.627,1.845
T2,0.238,1.132,1.334,1.781
T1,0.02,0.08,0.112,0.135
T1,0.019,0.084,0.113,0.151
T3,0.265,1.065,1.532,1.948
T2,0.24,1.022,1.384,1.693
T4,0.262,1.185,1.602,1.985
T4,0.258,1.301,1.555,1.945
T2,0.212,1.071,1.424,1.895
T3,0.259,1.238,1.431,2.078
T4,0.258,1.128,1.719,2.078
T4,0.257,1.244,1.621,2.01
T2,0.236,1.116,1.45,1.854
T4,0.251,1.118,1.523,2.041
T3,0.238,1.186,1.489,1.953
T2,0.218,0.981,1.363,1.758
T3,0.267,1.104,1.537,1.927
T2,0.248,1.129,1.517,1.827
T1,0.019,0.085,0.115,0.136
T4,0.243,1.126,1.561,2.023
T3,0.265,1.196,1.626,1.9
T1,0.019,0.091,0.108,0.134
T2,0.226,1.063,1.545,1.648
T3,0.233,1.198,1.7,1.81
T3,0.262,1.164,1.7,2.077
T4,0.241,1.143,1.715,2.141
T3,0.264,1.121,1.447,1.88
T4,0.272,1.268,1.719,2.14
T4,0.256,1.267,1.707,1.853
T2,0.21,1.039,1.402,1.72
T1,0.019,0.081,0.128,0.152
T1,0.019,0.094,0.111,0.158
T2,0.233,1.076,1.513,1.652
T1,0.019,0.081,0.116,0.152
T2,0.243,1.14,1.394,1.699
T4,0.237,1.173,1.656,2.139
T4,0.241,1.183,1.689,1.837
T4,0.255,1.157,1.653,1.983
T4,0.256,1.244,1.477,2.078
T2,0.215,1.067,1.447,1.785
T3,0.255,1.075,1.487,2.0
T1,0.017,0.085,0.117,0.157
T3,0.248,1.112,1.534,1.818
T2,0.218,1.005,1.315,1.64
T2,0.229,0.982,1.323,1.678
T4,0.267,1.117,1.658,2.108
T3,0.264,1.181,1.615,2.017
T3,0.254,1.168,1.504,1.831
T2,0.232,1.024,1.448,1.627
T2,0.248,1.089,1.454,1.649
T3,0.254,1.153,1.692,2.037
T3,0.271,1.237,1.691,2.015
T3,0.266,1.259,1.616,1.999
T4,0.246,1.153,1.677,2.08
T3,0.233,1.262,1.464,1.845
T3,0.239,1.227,1.438,2.013
T4,0.239,1.124,1.74,1.947
T2,0.218,1.061,1.342,1.798
