task_type,m1_1,m2_1,m3_1,m4_1
T2,15.93,79.803,99.734,133.2
T2,18.182,74.763,105.562,142.85
T2,17.835,85.473,107.02,124.558
T1,1.411,6.111,9.323,11.506
T2,16.674,80.042,111.6,140.646
T4,20.774,83.889,122.031,162.674
T3,17.332,93.547,108.923,145.04
T4,18.314,84.593,117.643,162.299
T2,15.794,80.308,105.796,125.832
T2,16.813,82.999,110.792,132.15
T3,18.268,89.557,115.745,155.97
T2,16.235,80.536,114.222,128.167
T1,1.362,6.135,8.424,11.041
T1,1.423,6.748,8.948,10.925
T1,1.478,6.674,9.038,11.844
T4,18.258,89.483,126.182,140.034
T4,18.602,93.936,110.981,151.254
T2,17.434,77.662,105.496,143.704
T4,18.164,87.4,129.179,152.696
T2,16.848,75.061,99.216,139.043
T3,19.049,80.165,114.35,135.497
T3,17.217,81.634,124.965,153.244
T4,19.673,96.757,128.686,145.062
T1,1.484,6.881,8.153,10.711
T3,19.151,86.308,111.053,140.946
T1,1.431,6.362,9.473,10.54
T4,20.939,84.422,124.853,142.956
T3,19.525,82.412,122.98,135.256
T3,18.391,82.81,123.957,144.618
T1,1.504,6.518,9.065,10.08
T2,16.694,78.504,114.028,124.025
T3,19.826,92.879,123.799,148.3
T3,17.517,92.139,122.028,138.361
T2,17.814,84.919,100.041,133.548
T1,1.49,6.01,8.415,10.092
T1,1.402,6.277,8.501,11.3
T3,19.887,79.842,114.922,146.127
T2,18.029,76.645,103.78,126.987
T4,19.633,88.862,120.126,148.912
T4,19.327,97.567,116.587,145.841
T2,15.894,80.328,106.779,142.158
T3,19.458,92.838,107.338,155.883
T4,19.325,84.574,128.93,155.869
T4,19.249,93.299,121.557,150.744
T2,17.702,83.698,108.755,139.044
T4,18.823,83.862,114.194,153.08
T3,17.873,88.938,111.694,146.456
T2,16.345,73.567,102.227,131.883
T3,19.997,82.777,115.288,144.547
T2,18.565,84.642,113.773,137.017
T1,1.444,6.374,8.638,10.224
T4,18.251,84.437,117.037,151.761
T3,19.857,89.681,121.966,142.485
T1,1.44,6.795,8.11,10.022
T2,16.928,79.705,115.908,123.566
T3,17.494,89.852,127.482,135.743
T3,19.651,87.332,127.465,155.745
T4,18.048,85.745,128.589,160.575
T3,19.783,84.109,108.503,140.966
T4,20.395,95.124,128.959,160.484
T4,19.205,95.054,128.012,138.986
T2,15.766,77.959,105.175,129.006
T1,1.409,6.041,9.565,11.397
T1,1.391,7.036,8.332,11.832
T2,17.464,80.689,113.483,123.899
T1,1.425,6.081,8.723,11.422
T2,18.208,85.504,104.548,127.447
T4,17.743,88.01,124.232,160.461
T4,18.089,88.749,126.666,137.778
T4,19.155,86.756,123.969,148.692
T4,19.177,93.326,110.778,155.813
T2,16.133,79.994,108.499,133.909
T3,19.148,80.589,111.496,150.015
T1,1.298,6.404,8.775,11.794
T3,18.61,83.4,115.077,136.352
T2,16.318,75.396,98.604,123.012
T2,17.186,73.666,99.251,125.841
T4,19.986,83.741,124.342,158.115
T3,19.765,88.598,121.103,151.26
T3,19.017,87.623,112.805,137.287
T2,17.423,76.833,108.585,122.041
T2,18.567,81.659,109.033,123.656
T3,19.04,86.505,126.898,152.773
T3,20.303,92.791,126.798,151.133
T3,19.96,94.447,121.197,149.934
T4,18.423,86.508,125.76,156.006
T3,17.469,94.625,109.777,138.34
T3,17.919,91.989,107.846,150.946
T4,17.898,84.27,130.478,146.011
T2,16.337,79.581,100.673,134.865
T3,18.448,86.325,123.376,152.899
T3,19.836,83.463,121.92,156.084
T1,1.392,6.039,8.828,10.376
T4,20.846,91.369,124.598,160.708
T1,1.321,6.115,8.959,10.906
T4,20.467,91.039,113.932,154.127
T4,19.445,83.542,112.168,162.659
T3,17.365,79.91,112.68,141.162
T4,20.629,92.104,114.065,162.014
T3,18.604,91.304,125.759,148.183
T2,18.565,79.819,99.091,129.864
T3,19.137,92.366,122.939,145.972
T3,17.348,88.467,122.083,142.351
T2,17.757,85.279,109.824,138.76
T2,17.253,86.307,106.251,130.081
T3,18.51,91.742,127.353,155.678
T1,1.473,6.833,9.061,11.601
T2,17.752,86.22,101.673,128.961
T2,16.719,85.066,108.944,121.376
T2,16.679,79.672,100.247,141.186
T3,18.733,86.087,107.812,153.4
T4,19.663,82.397,118.394,143.246
T1,1.484,6.763,9.14,11.837
T1,1.405,7.122,9.295,10.181
T2,18.343,83.172,104.943,126.353
T3,18.469,90.154,125.872,153.992
T2,16.099,78.497,108.124,135.66
T4,18.41,92.415,110.818,153.62
T2,17.012,80.538,98.541,134.28
T1,1.318,6.787,8.951,11.571
T3,18.457,88.307,109.579,156.834
T1,1.449,6.455,9.526,11.417
T1,1.334,6.01,8.383,11.484
T2,16.398,83.591,106.452,123.016
T1,1.307,6.988,8.69,10.215
T1,1.504,6.315,8.944,10.116
T1,1.321,6.064,8.701,11.387
T4,20.465,83.995,112.545,151.944
T4,17.835,91.42,120.294,137.612
T1,1.468,6.02,9.273,10.465
T4,20.961,94.261,114.158,142.812
T1,1.382,6.455,8.918,11.112
T1,1.374,6.651,9.122,11.534
T1,1.372,6.184,8.722,11.797
T4,19.258,93.718,114.875,151.802
T2,18.025,73.179,108.722,139.277
T1,1.392,6.019,9.481,11.877
T1,1.498,6.236,8.075,10.954
T3,19.644,80.121,124.585,153.074
T1,1.384,6.645,9.445,10.972
T2,16.468,82.66,109.783,138.033
T1,1.336,6.318,8.165,11.065
T1,1.324,6.954,8.465,11.674
T4,17.844,90.128,130.467,162.024
T4,20.523,86.016,125.602,148.289
T3,18.601,91.152,124.239,133.707
T2,15.883,76.43,98.053,139.941
T1,1.515,6.134,9.315,11.29
T1,1.331,6.353,8.534,11.139
T2,17.085,85.949,102.673,125.795
T4,18.794,83.62,114.637,151.69
T3,19.02,84.88,115.913,143.77
T3,18.358,93.079,127.38,143.644
T2,17.394,80.683,107.631,140.855
T1,1.321,6.446,8.061,11.493
T2,17.649,75.536,104.299,136.583
T3,17.335,88.312,109.378,135.621
T2,16.154,74.355,109.613,134.31
T2,18.282,74.918,105.163,125.881
T3,17.537,81.776,116.72,136.316
T2,16.305,74.668,105.596,127.936
T4,19.991,82.761,114.53,138.75
T4,19.665,86.214,112.517,159.471
T4,18.29,84.828,114.158,159.42
T4,19.652,88.064,121.495,137.421
T3,17.19,84.587,125.48,154.171
T3,18.409,82.972,107.637,148.108
T3,18.31,81.722,123.132,148.169
